" 表 12-2 公立職訓機構自辦訓練人數－按訓練性質分 ","","","","","","","  Table 12-2 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","","","",""," 表 12-2 公立職訓機構自辦訓練人數－按訓練性質分(續) ","","","","","","","  Table 12-2 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","","","","",
,,,,,,,"","","  Training Institute by Nature of Training","","","","","",,,,,,,,"","  Training Institute by Nature of Training (Cont.)ˉ","","","","","","",
" ","","","","","","  單位：人","","","","","","","","  Unit：Person"," ","","","","","","  單位：人","","","","","","","","  Unit：Person",
" ","  總        計","","  職         前        訓         練","","  Pre-job training","","","  職                    前                   訓                    練","","","  Pre-job training","","",""," ","  職 前 訓 練"," Pre-job training",""," 在　　　職　　　訓　　　練","","","","","","  On-the-job training","","","","",
" 年　月　別 ","","","  計","","  職 訓 師 資","","  高 級 技 術 員","","  一 般 技 術 員","","  服務、佐理人員","","  身心障礙者 (專班)",""," 年　月　別 ","  漁 業 人 員","","  計","","  職 訓 師 資","","  技 術 員 工","","  服務、 佐理人員","","  漁 業 人 員","","  其        他","",
" ","  Grand total","","  Total","","  Vocational training lecturers","","  Senior technicians","","  Junior technicians","","  Service workers & assistants","","  Disabilities",""," ","  Fisheries personnel","","  Total","","  Vocational training lecturers","","  Skilled technicians & workers","","  Service workers & assistants","","  Fisheries personnel","","  Others","",
" ","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓"," ","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓",
" Year and month ","","","","","","",,,,,,,,," Year and month ","","","","","","",,,,,,,,,
" ","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished"," ","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished",
" ","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training"," ","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training","  training","   training",
"  81年  1992 ","23809","23793","9800","9652","196","170","462","538","5879","5603","2936","3031","0","0","  81年  1992 ","327","310","14009","14141","0","0","9226","9348","4086","4140","697","653","0","0",
"  82年  1993 ","24068","22783","9654","8670","196","184","433","390","6264","5440","2469","2381","0","0","  82年  1993 ","292","275","14414","14113","0","0","8962","8768","4022","4005","485","423","945","917",
"  83年  1994 ","23488","21471","9860","8608","200","186","405","449","6145","5295","2793","2384","0","0","  83年  1994 ","317","294","13628","12863","127","127","8914","8018","3733","3207","407","387","447","1124",
"  84年  1995 ","22792","21038","9102","8013","194","198","387","384","5639","4882","2595","2268","0","0","  84年  1995 ","287","281","13690","13025","311","311","8823","8511","3828","3497","462","424","266","282",
"  85年  1996 ","26978","24657","9513","8582","202","186","389","331","5765","5255","2919","2607","0","0","  85年  1996 ","238","203","17465","16075","43","41","10476","9508","4938","4565","411","391","1597","1570",
"  86年  1997 ","29775","28253","11587","10916","220","201","407","329","6767","6429","3925","3701","39","19","  86年  1997 ","229","237","18188","17337","206","216","11480","10966","5077","4531","537","501","888","1123",
"  87年  1998 ","31381","29823","10995","10354","222","210","493","309","6268","5938","3533","3419","53","51","  87年  1998 ","426","427","20386","19469","245","244","12142","11311","6527","6233","549","569","923","1112",
"  88年  1999 ","29053","27065","10554","9428","240","216","498","328","5869","5245","3640","3372","45","50","  88年  1999 ","262","217","18499","17637","154","154","9938","9456","6303","5954","982","881","1122","1192",
"  89年  2000 ","28140","30030","10745","10992","176","232","484","418","6236","6567","3434","3294","79","111","  89年  2000 ","336","370","17395","19038","124","124","9172","10370","6096","6607","870","872","1133","1065",
"  90年  2001 ","34525","33342","11023","10675","189","167","466","421","5846","5723","3922","3735","93","91","  90年  2001 ","507","538","23502","22667","225","225","11751","11444","10203","9689","414","402","909","907",
"  91年  2002 ","42351","40410","21231","20705","0","186","298","470","10301","9963","10160","9629","77","74","  91年  2002 ","395","383","21120","19705","123","63","10749","9982","8691","8125","1226","1204","331","331",
"  92年  2003 ","37041","35347","22387","21425","0","0","33","215","13325","12379","8728","8504","23","23","  92年  2003 ","278","304","14654","13922","63","122","9455","8974","3987","3709","952","926","197","191",
"  93年  2004 ","29933","28835","16479","15136","0","0","37","219","9349","8230","6714","6316","0","0","  93年  2004 ","379","371","13454","13699","89","89","9286","9572","3553","3522","427","417","99","99",
