" 表 12-3 公立職訓機構自辦訓練人數─按訓練職類分 ","","","","","  Table 12-3 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","","","",""," 表 12-3 公立職訓機構自辦訓練人數─按訓練職類分(續) ","","","","","  Table 12-3 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","","","","",
,,,,,"","","  Training Institute by Trade","","","","","",,,,,,"","","  Training Institute by Trade (Cont.)","","","","","",
" ","","","","  單位：人","","","","","","","","  Unit：Person"," ","","","","  單位：人","","","","","","","","  Unit：Person",
" ","  總             計","","  金屬、機械加工類","","  銲 接 、 配 管 類","","  電 機、 電 匠 類","","  電 子、 儀 表 類","","  營 建 、 土 木 類",""," ","  紡織、服飾類","","  印刷、製版類","","  電腦設計類","","  美容、美髮等服務類","","  漁 業 人 員","","  其　他　類","",
" 年　月　別 ","","","","",,,,,,,,," 年　月　別 ","","","","",,,,,,,,,
" ","","","  Metal working","","","","  Electrical engineering","","       Electronics &","","   Construction &","",,,,,,"   Data processing","","  Beautician, hairdressing &","","","","","",
" ","  Grand total","","","","  Welding & plumbing","","","","","","",""," ","  Textiles & apparel","","  Printing & plate making","","","","","","  Fisheries personnel","","  Other skilled workers","",
" ","","","   & machinery","","","","        & electricians","","  metal manufacturing","","  civil engineering","",,,,,,"  & related workers","","      other service workers","","","","","",
" Year and month ","  開    訓"," 結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓"," Year and month ","  開    訓"," 結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓",
" ","  Starting"," Finished","  Starting"," Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished"," ","  Starting"," Finished","  Starting"," Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished",
" ","  training","  training","  training","  training","  training","   training","  training","   training","  training","   training","  training","   training"," ","  training","  training","  training","  training","  training","   training","  training","   training","  training","   training","  training","   training",
"  81年  1992 ","23809","23793","6904","6795","949","926","3918","3902","2044","2082","1669","1675","  81年  1992 ","638","711","188","238","4034","3947","2162","2275","1024","963","279","279",
"  82年  1993 ","24068","22783","7728","7165","745","645","4101","3789","2024","2008","1837","1746","  82年  1993 ","612","658","348","373","3108","2984","2423","2371","777","698","365","346",
"  83年  1994 ","23488","21471","7092","7165","572","580","3876","3379","2066","1687","1863","1652","  83年  1994 ","647","454","397","283","2942","2554","2540","2300","724","681","769","736",
"  84年  1995 ","22792","21038","6430","5945","702","615","3868","3674","2153","2096","1796","1539","  84年  1995 ","631","575","358","341","3005","2677","2470","2213","749","705","630","658",
"  85年  1996 ","26978","24657","7221","6460","887","702","4070","3741","2589","2471","1819","1696","  85年  1996 ","654","617","313","325","4158","3637","2733","2594","649","594","1885","1820",
"  86年  1997 ","29775","28253","7717","7342","966","917","4309","4184","2026","1922","1653","1674","  86年  1997 ","645","569","337","278","4794","4407","3419","3151","766","738","3143","3071",
"  87年  1998 ","31381","29823","7930","7423","1016","966","4098","3782","2356","2135","1542","1460","  87年  1998 ","668","646","362","378","5962","5565","3329","3333","975","996","3143","3139",
"  88年  1999 ","29053","27065","6901","6466","1134","972","3396","3130","2137","1860","1360","1341","  88年  1999 ","507","479","359","336","5769","5315","3499","3376","1244","1098","2747","2692",
"  89年  2000 ","28140","30030","6428","7032","775","923","2950","3359","2115","2294","1210","1280","  89年  2000 ","1015","1024","248","294","4858","5289","3580","3463","1206","1242","3755","3830",
"  90年  2001 ","34525","33342","7878","7665","972","978","3416","3274","2253","2179","1387","1343","  90年  2001 ","2342","2119","303","331","6586","6389","5138","4827","921","940","3329","3297",
"  91年  2002 ","42351","40410","7384","6959","876","846","3219","2989","5655","5750","1103","1013","  91年  2002 ","1690","1487","264","232","6722","6235","10346","9930","1621","1587","3471","3382",
"  92年  2003 ","37041","35347","5736","5760","801","781","2980","2984","8975","7829","831","947","  92年  2003 ","441","467","275","296","4670","4463","7348","7006","1230","1230","3754","3584",
"  93年  2004 ","29933","28835","6446","6040","1000","996","3128","3166","3959","3716","1224","1209","  93年  2004 ","581","508","60","102","4294","4318","5350","4933","806","788","3085","3059",
"  94年  2005 ","30300","28108","7370","6726","812","738","3086","3037","4991","4217","1182","1083","  94年  2005 ","631","596","57","53","3055","2818","5188","5166","1015","997","2913","2677",
"  95年  2006 ","19751","18292","6468","5996","914","834","3063","2991","1945","1585","691","604","  95年  2006 ","445","405","47","43","2402","2188","2326","2176","886","891","564","579",
"  96年  2007 ","20828","19283","6678","6146","875","854","3074","2725","1795","1737","866","734","  96年  2007 ","425","384","56","44","2848","2641","2789","2639","976","950","446","429",
"  97年  2008 ","22035","20532","7208","6528","1093","929","2903","2831","2197","1964","764","708","  97年  2008 ","305","341","60","24","3009","2902","3182","3042","892","868","422","395",
"  98年  2009 ","27490","25848","7005","6625","945","834","3616","3305","2058","1852","1899","1804","  98年  2009 ","580","573","30","26","3037","2805","4452","4275","3284","3186","584","563",
"  99年  2010 ","23077","21464","6285","5806","828","756","3090","3093","2139","1855","1115","1036","  99年  2010 ","432","400","23","20","2724","2426","3842","3567","2130","2056","469","449",
" 100年  2011 ","21337","19909","5621","5451","798","697","2771","2531","2100","1988","1043","945"," 100年  2011 ","507","495","24","19","2703","2477","4364","3952","956","940","450","414",
" 101年  2012 ","23355","21483","6622","6247","926","894","3128","2723","1878","1730","1189","1060"," 101年  2012 ","524","445","24","19","2717","2460","4958","4533","921","903","468","469",
" 102年  2013 ","25114","23106","7094","6332","1067","911","3241","3107","1548","1414","1344","1098"," 102年  2013 ","552","558","15","33","2701","2423","5934","5686","1008","985","610","559",
" 103年  2014 ","25052","23088","6416","6021","1010","936","3890","3556","1520","1273","1340","1242"," 103年  2014 ","478","461","100","71","2381","2182","6510","5980","950","933","457","433",
" 104年  2015 ","24675","22649","5375","5042","1134","1002","3575","3269","1687","1597","1480","1252"," 104年  2015 ","407","372","37","45","3122","2798","6315","5770","898","886","645","616",
" 105年  2016 ","25285","23675","5264","5004","1261","1123","3727","3498","1630","1552","1666","1560"," 105年  2016 ","346","317","11","10","3368","3014","6476","6107","1028","1010","508","480",
" 　　  1月 　　 Jan. ","4125","690","772","226","215","24","682","100","285","0","357","64"," 　　  1月 　　 Jan. ","143","0","0","0","689","128","898","148","0","0","84","0",
" 　　  2月 　　 Feb. ","1054","456","330","126","66","41","170","118","66","52","70","0"," 　　  2月 　　 Feb. ","0","12","0","0","165","20","187","87","0","0","0","0",
