" 表 12-4 公立職訓機構自辦訓練人數－按訓練期限分 ","","","","","  Table 12-4 Number of Trainees in the Self-Sponsored Training at the Public Vocational","","","","","","","",
,,,,,"","","  Training Institute by Training Period","","","","","",
" ","","","","  單位：人","","","","","","","","  Unit：Person",
" ","  總　　　計","","  449 小時以下","","  450-899 小時","","  900-1799 小時","","  1800-3599 小時","","  3600 小時以上","",
" 年　月　別 ","  Grand total","","  449 Hours and less","","  450-899 Hours","","  900-1799 Hours","","  1800-3599 Hours","","  3600 Hours and over","",
" "," 開    訓"," 結    訓"," 開    訓"," 結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓","  開    訓","  結    訓",
" Year and month "," Starting"," Finished"," Starting"," Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished","  Starting","  Finished",
" "," training"," training","  training"," training","  training","  training","  training","  training","  training","  training","  training","  training",
"  90年  2001 ","34525","33342","24422","23542","2195","2083","5480","5162","1962","2134","466","421",
"  91年  2002 ","42351","40410","32467","30856","2912","2580","5277","4660","1397","1844","298","470",
"  92年  2003 ","37041","35347","28579","26581","3934","3280","3885","4004","610","1267","33","215",
"  93年  2004 ","29933","28835","22609","22035","2844","2188","4187","3897","256","496","37","219",
"  94年  2005 ","30300","28108","21982","20888","2270","2081","5685","4803","326","178","37","158",
"  95年  2006 ","19751","18292","12042","11439","2256","2232","5098","4382","320","215","35","24",
"  96年  2007 ","20828","19283","12751","12407","2157","2081","5404","4508","478","255","38","32",
"  97年  2008 ","22035","20532","13547","13308","2132","2075","5842","4735","464","386","50","28",
"  98年  2009 ","27490","25848","18524","18152","2297","1928","6016","5260","600","475","53","33",
"  99年  2010 ","23077","21464","13827","13330","2705","2439","5778","5044","730","614","37","37",
" 100年  2011 ","21337","19909","12545","11992","3077","2640","5076","4626","639","583","0","68",
" 101年  2012 ","23355","21483","14423","13469","3149","2766","5180","4671","603","557","0","20",
" 102年  2013 ","25114","23106","14954","13950","3706","3456","6193","5166","261","504","0","30",
" 103年  2014 ","25052","23088","15787","14761","3880","3520","5208","4684","177","123","0","0",
" 104年  2015 ","24675","22649","15745","14580","3774","3408","5037","4561","119","100","0","0",
" 105年  2016 ","25285","23675","16503","15588","3899","3696","4761","4288","122","103","0","0",
" 　　  1月 　　 Jan. ","4125","690","2412","325","679","58","1022","307","12","0","0","0",
" 　　  2月 　　 Feb. ","1054","456","537","233","155","31","362","192","0","0","0","0",
" 　　  3月 　　 Mar. ","1741","1485","1068","938","339","247","334","300","0","0","0","0",
" 　　  4月 　　 Apr. ","1674","1996","882","1317","423","249","369","430","0","0","0","0",
" 　　  5月 　　 May ","3274","1710","2795","1433","228","111","251","166","0","0","0","0",
" 　　  6月 　　 June ","871","2426","711","1369","99","485","61","479","0","93","0","0",
" 　　  7月 　　 July ","2999","2278","1515","1231","649","452","725","595","110","0","0","0",
" 　　  8月 　　 Aug. ","2412","2757","1396","2249","465","228","551","280","0","0","0","0",
" 　　  9月 　　 Sept. ","3404","1915","2600","1296","492","303","312","316","0","0","0","0",
" 　　 10月 　　 Oct. ","1942","1451","1269","1058","255","106","418","287","0","0","0","0",
" 　　 11月 　　 Nov. ","1376","1127","1031","878","41","111","304","138","0","0","0","0",
" 　　 12月 　　 Dec. ","413","5384","287","3261","74","1315","52","798","0","10","0","0",
" 資料來源： 公立職訓機構。 ","","","","","  Source： The Public Vocational Training Institute.","","","","","","","",
" ","","  -346-","","","","","","   -347-","","","","",
