" 表 12-5 公立職訓機構自辦訓練結訓人數－按性別分 ","","","","","","","  Table 12-5 Number of the Finished Trainees in the Self-Sponsored Training","","","","",""," 表 12-5 公立職訓機構自辦訓練結訓人數－按性別分(續) ","","","","","","","  Table 12-5 Number of the Finished Trainees in the Self-Sponsored Training","","","","","",
,,,,,,,"","  at the Public Vocational Training Institute by Sex","","","","",,,,,,,,""," at the Public Vocational Training Institute by Sex (Cont.)  ˉ","","","","",
" ","","","","","","  單位：人","","","","","","  Unit：Person"," ","","","","","","  單位：人","","","","","","  Unit：Person",
" ","","","  本　部　勞　動　力　發　展　署","","","","","  Workforce Development Agency, MOL","","","",""," ","  退輔會職訓中心","","  農委會漁業署遠","","  臺北市職能發展學院","","  高雄市訓練就業中心","","  新北市職訓中心","","  臺南市職訓就服中心","",
,,,,,,,,,,,,," ","","","  洋漁業開發中心","","","",,,,,,,
" 年　月　別 ","  總        計","","  北基宜花金馬分署","","  桃竹苗分署","","  中彰投分署","","  雲嘉南分署","","  高屏澎東分署",""," 年　月　別 ","","","  Deep Sea Fishery Research","","","",,,,,,,
,,,,,,,,,,,,,,,,,,,,"","","",""," Service Center Vocational Training","",
" ","","","  Regional Branch of WDA,","","  Regional Branch of WDA,","","","","","","  Regional Branch of WDA,",""," ","  Vocational Training","","  & Development Center","","  Taipei Competency","","  Kaohsiung Municipal Training","","  New Taipei City Government","","","",
" ","  Grand total","","  Taipei-Keelung-Yilan-Hualien-","","  Taoyuan-Hsinchu-Miaoli","","  Regional Branch of WDA,","","  Regional Branch of WDA,",""," Kaohsiung-Pingtung-Penghu-Taitung","",,,,,,,,"","","",""," and Employment, Bureau of Labor","",
,,,,,,,,,,,,," ","  Center, VAC","","  Fisheries Administration","","  Development College","","  and Employment Center","","  Vocational Training Center","","  Affairs, Tainan City Government","",
" ","","","  Kinmen-Matsu Region","","  Region",""," Taichung-Changhua-Nantou Region","","  Yunlin-Chiayiu-Tainan Region","","  Region",""," ","","","  Council of Agriculture","","","",,,,,,,
" Year and month ","","","","","","",,,,,,," Year and month ","","","","","","",,,,,,,
" ","  男","  女","  男","  女","  男","  女","  男","  女","  男","  女","  男","  女"," ","  男","  女","  男","  女","  男","  女","  男","  女","  男","  女","  男","  女",
" ","  Male","  Female","  Male","  Female","  Male","  Female","  Male","  Female","  Male","  Female","  Male","  Female"," ","  Male","  Female","  Male","  Female","  Male","  Female","  Male","  Female","  Male","  Female","  Male","  Female",
"  91年  2002 ","26880","13530","3453","1844","3509","2109","3482","2283","4370","1512","2699","544","  91年  2002 ","3989","900","1540","47","1977","996","366","1431","0","0","0","0",
"  92年  2003 ","23833","11514","3104","1057","3129","2730","3312","2361","4495","1352","2613","1870","  92年  2003 ","3483","366","1214","16","2268","1632","215","130","0","0","0","0",
"  93年  2004 ","20631","8204","2194","719","2618","1642","2841","1253","4257","1102","2295","1729","  93年  2004 ","3601","500","731","57","1813","1062","281","140","0","0","0","0",
"  94年  2005 ","19868","8240","2136","608","2934","1440","3734","1781","3282","1181","1689","2037","  94年  2005 ","3488","293","939","58","1427","715","239","127","0","0","0","0",
