""," 表 12-6 公立職訓機構自辦訓練結訓人數－","","","","","","  Table 12-6 Number of the Finished Trainees in the Self-Sponsored Training at the Public","","","","","","","","",""," 表 12-6 公立職訓機構自辦訓練結訓人數－","","","","","","  Table 12-6 Number of the Finished Trainees in the Self-Sponsored Training at the Public","","","","","","","","",
"","  按性別、教育程度及年齡分","","","","","","","  Vocational Training Institute by Sex, Educational Attainment and Age","","","","","","","","","  按性別、教育程度及年齡分(續)","","","","","","  Vocational Training Institute by Sex, Educational Attainment and Age (Cont.)","","","","","","","","",
"","","  中華民國105年","","","","  單位：班、人","","","","","   2016","","","  Unit：Class、Person","","","","  中華民國105年","","","","  單位：班、人","","","","","   2016","","","  Unit：Class、Person","",
"","","  總　計　Grand total","","  性　別　　Sex","","","  教　育　程　度　　　Educational attainment","","","","","  年　　　齡　　　　　Age","","","","","","  總　計　Grand total","","  性　別　　Sex","","","  教　育　程　度　　　Educational attainment","","","","","  年　　　齡　　　　　Age","","","",
""," 項　　目　　別","","","","","",,,,,,,,,,""," 項　　目　　別","","","","","",,,,,,,,,,
"","","  班　次","  人　數","  男","  女","  國中及以下","  高中(職)","  專　科","  大　學","  研究所以上","  未滿15歲","  15-24歲","  25-34歲","  35-44歲","  45歲及以上","","","  班　次","  人　數","  男","  女","  國中及以下","  高中(職)","  專　科","  大　學","  研究所以上","  未滿15歲","  15-24歲","  25-34歲","  35-44歲","  45歲及以上",
,,,,,,,"  Senior","","","","","","","","",,,,,,,,"  Senior","","","","","","","","",
""," Item","","","","","  Under junior","  (vocational)","  Junior","","  Graduate","  Under 15","","","","  Years &",""," Item","","","","","  Under junior","  (vocational)","  Junior","","  Graduate","  Under 15","","","","  Years &",
"","","  Classes","  Persons","  Male","  Female","  high school","  school","  college","  University","  school","  years","  Years","  Years","  Years","  over","","","  Classes","  Persons","  Male","  Female","  high school","  school","  college","  University","  school","  years","  Years","  Years","  Years","  over",
" 總　　　計"," 合　計","1134","23675","16682","6993","1042","5651","4680","10652","1650","0","2631","7091","7369","6584"," 　退輔會職訓中心"," 合　計","62","1617","1260","357","6","331","577","531","172","0","45","186","816","570",
" Grand total"," Total","","","","","",,,,,,,,,," 　Vocational Training Center, VAC"," Total","","","","","",,,,,,,,,,
""," 職　前","571","11396","7661","3735","323","2691","2386","5334","662","0","1443","3491","3633","2829",""," 職　前","42","1147","965","182","4","249","411","378","105","0","31","149","692","275",
""," Pre-job","","","","","",,,,,,,,,,""," Pre-job","","","","","",,,,,,,,,,
""," 在　職","563","12279","9021","3258","719","2960","2294","5318","988","0","1188","3600","3736","3755",""," 在　職","20","470","295","175","2","82","166","153","67","0","14","37","124","295",
""," On-the-job","","","","","",,,,,,,,,,""," On-the-job","","","","","",,,,,,,,,,
