" ","  表 12-7 技能檢定合格數","","","","","","","  Table 12-7 Number of Passing the Skills Certification","","","","","",""," ","  表 12-7 技能檢定合格數(續)","","","","","",""," Table 12-7 Number of Passing the Skills Certification(Cont.)","","","","","",
" ","","","  合　　　　格　　　　數　　(張)","","","","","","","  Number of passing (Sheet)","","","",""," ","","  合　　　　格　　　　數　　　(張)ˉ","","","","","","","  Number of passing (Sheet)","","","","",
" 年　月　別 ","  檢定職類數","  到檢人數","","","","",,,,,,,,," 年　月　別 ","","","","","","",,,,,,,,
" ","","","","","  級       別","  Type of License","","","","  職　　　　　類　　　　　別","","  Occupational classification","",""," ","  職　　　　　　類　　　　　　別","","","  Occupational classification","","","","  職                            類                            別","","","  Occupational classification","","",
" ","  (種)","  (人)","  總　　計","","","",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"","","  金屬及機械","  機械及設備","","","",""," ","  食品加工","  餐飲服務","","  美容美髮","  商業服務"," 職業安全衛生"," 職業安全衛生","","","","","","",
" ","","","","  合格率(%)","  甲　　級","  乙　　級","  丙　　級","  單 一 級","",""," 銲接配管類群","  電機類群","  資訊類群","  化工類群"," ","","","  農業類群","","","",""," 電子儀表類群","  營造類群","  服飾類群"," 印刷製版類群"," 消防設備類群","  其　　他",
" ","  Number of","  Number of","","","","","","","  加工類群","  修護類群","","","",""," ","  類群","  類群","","  類群","  類群","  操作類群","  管理類群","","","","","","",
" ","  the job","  the attending","","","","","","","  Metal &","  Machinery &","  Welding &","  Electrical","  Information","  Chemical"," Year and month ","  Food","  Catering","","  Beauty","  Commercial","  Occupational","  Occupational","  Electronic","","","  Printing &","  Fire-fighting","",
" ","  categories","  persons","","  Passing","","","","","","  equipments","","","",""," ","","","  Agriculture","  therapy &",""," safety & health"," safety & health","","  Construction"," Dress-making","","","  Others",
" Year and month ","  (Kind)","  (Person)","  Grand total","  Rate","  Class Ａ","  Class Ｂ","  Class C","  Class Unitary","  machining","  maintanance","  pipe-fitting","  mechinery","  technology","  engineering"," ","  processing","  service","  skills group","  Hair-dressing","  service","  operating","  managing","  instrument","  skills group","  skills group","  plate-making","  equipment","  skills group",
,,,,,,,"","","  skills group","","  skills group","  skills group","  skills group","  skills group"," ","  skills group","  skills group","","","  skills group","","","  skills group","","","  skills group","  skills group","",
,,,,,,,"","","","  skills group","","","",""," ","","","","  skills group","","  skills group","  skills group","","","","","","",
"  91年  2002 ","126","482053","251535","52.18","826","27864","221130","1715","18824","15797","3090","14962","42669","4192","  91年  2002 ","7883","55251","1668","10879","31464","1028","3433","15711","14909","1744","1371","0","6660",
"  92年  2003 ","126","435374","238839","54.86","841","20829","216004","1165","18070","12751","2660","17229","44204","3125","  92年  2003 ","8348","47117","2244","24089","27063","574","2520","11676","7250","1295","1759","0","6865",
"  93年  2004 ","129","410040","233909","57.05","753","20875","209482","2799","17159","12633","2787","12664","54706","3515","  93年  2004 ","9791","29694","2399","23800","31361","2308","2832","12090","6819","1288","1909","0","6154",
"  94年  2005 ","134","459347","260907","56.8","583","21060","236451","2813","17924","12201","6804","13700","64097","3836","  94年  2005 ","10856","36660","2111","25142","29751","2094","1576","12043","9262","1261","2106","0","9483",
"  95年  2006 ","134","454213","267297","58.85","592","21802","242456","2447","19375","11860","5493","14714","75452","3451","  95年  2006 ","12316","36490","2358","26699","25670","1596","2145","10896","8216","1060","2915","0","6591",
