" ","","  表 13-1 產業及社福外籍勞工人數－按開放項目分","","","","",""," Table 13-1 Foreign Workers in Productive Industries and Social Welfare by Various Type","","","","","",""," ","","  表 13-1 產業及社福外籍勞工人數－按開放項目分(續)","","","","","","  Table 13-1 Foreign Workers in Productive Industries and Social Welfare","","","","","","","",
,,,,,,,,,,,,,,,,,,,,,,,"","","  by Various Type(Cont.)ˉ","","","","","",
" ","","","","","","","  單位：人","","","","","","","  Unit：Person"," ","","","","","","","  單位：人","","","","","","","","  Unit：Person",
" ","","","",""," 產 　業    外    籍      勞     工","","","","","  Foreign workers in productive industries","","","",""," ","","","","  產　　業　　外　　籍　　勞　　工","","","",""," Foreign workers in productive industries","","",""," 社福外籍勞工 Foreign workers in social welfare","","",
" ","  項　目　別",""," 總　　　　計","","","","","","","",""," 經濟部加工","",""," ","  項　目　別","","",""," 製造業兩年","","","","","","  臺商回臺","","","","",
" ","","","","  計"," 政府重大","  六行業"," 船　　員"," 六十八種行業"," 七十三種行業"," 陶瓷等六行業","  新廠及"," 出口區及科"," 三K行業專案 (2)  ˉ"," 重大投資製造業"," ","",""," 重大投資營造業"," 七行業專案"," 期滿重整 (3)  ˉ"," 傳統製造業"," 非傳統製造業","  特殊時程","  附加","  國內新增","  投資案","  屠宰工作","  計"," 看　護　工","  家庭幫傭",
" ","","","",""," 公共工程"," 十五種職業","","","",""," 擴充設備案","","","",,,,,,,,,"  產業","  外籍勞工","  投資案","","","","","",
,,,,,,,,"","","",""," 學園專案 (1)  ˉ","",""," ","","","",""," Quota readjusted","","","","",""," Investment in","","","","",
" ","","","",""," Governmental","","",,,,,,,,,,,,,,,,"  Specific",""," Domestic new"," taiwan by over-","","","","",
" ","  Item",""," Grand total","",""," 6 industries and","","",""," Chinaware etc.,","  New and","",""," Major investing"," ","  Item",""," Major investing",""," two years after"," Traditional"," Non-traditional","","","","","","","  Nursing","",
" ","","","","  Total"," major construc-"," 15 occupations","  Crewmen"," 68 industries"," 73 industries"," 6 industries"," expanded firms"," EPZ and SBIP"," 3 K industries"," manufacturing"," ","",""," construction"," 7 industries"," initial allocation"," manufacturing"," manufacturing","  timeframe"," Extra workers","  investment"," seas taiwanese","  Slaughtering","  Total","  workers","  Home-maids",
" ","","","",""," tion projects","","",,,,,,,," ","","","",""," of manufacturing","","","  industries","","  projects","  businesses","","","","",
"  83年底 ","   End of 1994","","151989","138531","28241","5887","1044","21348","25954","21034","31497","1090","2360","0","  83年底 ","   End of 1994","","76","0","0","0","0","0","0","0","0","0","13458","4257","9201",
"  84年底 ","   End of 1995","","189051","171644","35117","6433","1454","18157","20423","16597","34654","4813","20537","11089","  84年底 ","   End of 1995","","1095","1275","0","0","0","0","0","0","0","0","17407","8902","8505",
"  85年底 ","   End of 1996","","236555","206300","39696","5043","1384","18773","25452","23633","34060","4165","19513","28891","  85年底 ","   End of 1996","","1355","4335","0","0","0","0","0","0","0","0","30255","16308","13947",
"  86年底 ","   End of 1997","","248396","209284","40138","5875","1144","17636","16107","19534","37018","4607","3428","36160","  86年底 ","   End of 1997","","1405","3304","22928","0","0","0","0","0","0","0","39112","26233","12879",
"  87年底 ","   End of 1998","","270620","217252","44702","5138","1109","16093","6032","11860","26871","3816","1045","49718","  87年底 ","   End of 1998","","2164","1395","47309","0","0","0","0","0","0","0","53368","41844","11524",
"  88年底 ","   End of 1999","","294967","220174","41588","2259","993","12785","892","1438","7251","467","146","67128","  88年底 ","   End of 1999","","2929","142","81915","241","0","0","0","0","0","0","74793","67063","7730",
"  89年底 ","   End of 2000","","326515","220184","32572","518","1185","6469","352","360","1393","371","86","65916","  89年底 ","   End of 2000","","3241","41","101972","5587","121","0","0","0","0","0","106331","98508","7823",
"  90年底 ","   End of 2001","","304605","191671","29619","208","1249","2292","207","192","459","212","51","50520","  90年底 ","   End of 2001","","2502","17","93405","10361","377","0","0","0","0","0","112934","103780","9154",
