" 表 13-2 產業及社福外籍勞工人數－按產業分 ","","","","","","","  Table 13-2 Foreign Workers in Productive Industries and Social Welfare by Industry","","","","","","","",
" ","","","","","","  單位：人","","","","","","","","  Unit：Person",
" ","","",""," 產 　業    外    籍      勞     工","",""," Foreign workers in productive industries","","","  社  福  外  籍  勞  工　　Foreign workers in social welfare","","","","",
" 年   月   底   別 ","  總　　計","","",""," 農、林、漁、","",,,,,,,,,
" ","","  計","",""," 牧業 (船員)  ˉ","  製 造 業","  重大投資"," 營建工程業"," 重大公共工程","  計","  男","  女","  看 護 工","  家庭幫傭",
" ","","","  男","  女","","",,,,,,,,,
" ","  Grand","","",""," Agriculture, forestry,","","","","  Major","","","","","",
" End of year and month ","","","","","","","  Major","","","","","","  Nursing","",
" ","  total","  Total","  Male","  Female"," fishing & animal","  Manufacturing","  investing"," Construction"," construction","  Total","  Male","  Female","  workers","  Home-maids",
" ","","","",""," husbandry (Crewmen)  ˉ","","","","  projects","","","","","",
"  81年底  End of 1992 ","15924","15255","0","0","70","8722","0","6463","6463","669","0","0","306","363",
"  82年底  End of 1993 ","97565","90040","0","0","426","72327","0","17287","17287","7525","0","0","1320","6205",
"  83年底  End of 1994 ","151989","138531","0","0","1044","109170","0","28317","28241","13458","0","0","4257","9201",
"  84年底  End of 1995 ","189051","171644","0","0","1454","132636","11089","37554","35117","17407","0","0","8902","8505",
"  85年底  End of 1996 ","236555","206300","0","0","1384","162482","28891","42434","39696","30255","0","0","16308","13947",
"  86年底  End of 1997 ","248396","209284","0","0","1144","165534","36160","42606","40138","39112","0","0","26233","12879",
"  87年底  End of 1998 ","270620","217252","0","0","1109","168197","49718","47946","44702","53368","0","0","41844","11524",
"  88年底  End of 1999 ","294967","220174","0","0","993","173735","67369","45446","41588","74793","0","0","67063","7730",
"  89年底  End of 2000 ","326515","220184","0","0","1185","181998","71624","37001","32572","106331","0","0","98508","7823",
"  90年底  End of 2001 ","304605","191671","142498","49173","1249","157055","61258","33367","29619","112934","2775","110159","103780","9154",
