" 表 13-3 產業及社福外籍勞工人數－按國籍分 ","","","","","",""," Table 13-3 Foreign Workers in Productive Industries and Social Welfare by Nationality","","","","","","",
" ","","","","","","  單位：人","","","","","","","  Unit：Person",
" ","","  產 　業    外    籍      勞     工　　Foreign workers in productive","","","",""," industries","","  社    福    外    籍      勞     工         Foreign workers in social welfare","","","","",
" 項　目　別 ","  總　　計","","","","","",,,,,,,,
" ","","  計","  印　　尼","  菲 律 賓","  泰　　國","  越　　南"," 其　　他","  計","  印　　尼","  菲 律 賓","  泰　　國"," 越　　南","  其　　他",
" Item ","  Grand total","","","","","",,,,,,,,
" ","","  Total","  Indonesia","  Philippines","  Thailand","  Vietnam","  Others","  Total","  Indonesia","  Philippines","  Thailand","  Vietnam","  Others",
"  89年底  End of 2000 ","326515","220184","14267","63389","137309","5112","107","106331","63563","34772","5356","2634","6",
"  90年底  End of 2001 ","304605","191671","12454","47904","123574","7695","44","112934","78678","24875","4158","5221","2",
"  91年底  End of 2002 ","303684","182973","11722","48203","108805","14210","33","120711","81490","21223","2733","15263","2",
"  92年底  End of 2003 ","300150","179552","8546","52008","101767","17206","25","120598","47891","29347","2961","40397","2",
"  93年底  End of 2004 ","314034","182967","5824","56704","101948","18458","33","131067","21457","34446","3333","71783","48",
"  94年底  End of 2005 ","327396","183381","7188","60656","95265","20229","43","144015","41906","35047","3057","63956","49",
"  95年底  End of 2006 ","338755","184970","9646","60947","90576","23769","32","153785","75577","29107","2318","46767","16",
"  96年底  End of 2007 ","357937","195709","13871","62054","85129","34629","26","162228","101619","24369","1819","34414","7",
"  97年底  End of 2008 ","365060","196633","16650","57742","74080","48148","13","168427","111114","22894","1504","32912","3",
"  98年底  End of 2009 ","351016","176073","18346","49401","60137","48179","10","174943","121058","22676","1295","29914","0",
"  99年底  End of 2010 ","379653","193545","21313","54218","64516","53488","10","186108","135019","23320","1226","26542","1",
" 100年底  End of 2011 ","425660","227806","27329","59824","70695","69955","3","197854","148080","23017","1068","25688","1",
" 101年底  End of 2012 ","445579","242885","33724","63865","66741","78551","4","202694","157403","22921","870","21499","1",
" 102年底  End of 2013 ","489134","278919","45919","67442","60964","104590","4","210215","167315","21582","745","20572","1",
" 103年底  End of 2014 ","551596","331585","54907","86749","59267","130658","4","220011","174584","24784","666","19974","3",
" 104年底  End of 2015 ","587940","363584","59261","95445","57815","151062","1","224356","177265","27613","557","18919","2",
" 105年底  End of 2016 ","624768","387477","61645","105529","58309","161993","1","237291","183535","30268","560","22927","1",
"  1月底  End of Jan. ","590086","363747","59459","95550","57809","150928","1","226339","178498","27943","556","19340","2",
"  2月底  End of Feb. ","590690","363022","59514","95573","57562","150372","1","227668","179310","28346","564","19446","2",
"  3月底  End of Mar. ","594886","365257","59880","95821","57743","151812","1","229629","180631","28719","572","19705","2",
"  4月底  End of Apr. ","595695","365887","59943","96096","56848","152999","1","229808","180609","28816","561","19820","2",
"  5月底  End of May ","597802","367714","59907","97201","56643","153962","1","230088","180379","29118","562","20027","2",
"  6月底  End of June ","602309","372296","59620","100026","57471","155178","1","230013","179504","29645","560","20302","2",
"  7月底  End of July ","603109","373477","58587","101930","57269","155690","1","229632","178498","29930","555","20648","1",
"  8月底  End of Aug. ","605935","374706","58824","103496","57001","155384","1","231229","179697","30081","557","20893","1",
"  9月底  End of Sept. ","609272","376752","58880","104305","57565","156001","1","232520","180377","30309","558","21275","1",
" 10月底  End of Oct. ","613641","379298","59728","104716","57438","157415","1","234343","181584","30387","560","21811","1",
" 11月底  End of Nov. ","618924","383291","60641","104997","58012","159640","1","235633","182495","30307","557","22273","1",
" 12月底  End of Dec. ","624768","387477","61645","105529","58309","161993","1","237291","183535","30268","560","22927","1",
" 資料來源： 勞動部勞動力發展署。 ","","","","","",""," Source：  Workforce Development Agency, MOL.","","","","","","",
" 說　　明： 「其他」包含馬來西亞、蒙古等其他國籍。 ","","","","","",""," Note：  ”Others” includes Malaysia, Mongolia, and other countries.","","","","","","",
" ","","   -366-","","","","","","","","   -367-","","","",
