" ","  表 13-8 產業及社福外籍勞工健康檢查概況","","","","","","","",""," Table 13-8 Health Check of Foreign Workers in Productive Industries and Social Welfare","","","","","","","","",
" ","","","","","","","","  單位：人次、％","","","","","","","","","  Unit：Person-case、％","",
" ","","  總　計","","","  印     尼","","","  菲   律   賓","",""," 泰     國","",""," 越     南","",""," 其     他","",
" ","","  Grand total","","","  Indonesia","","","  Philippines","",""," Thailand","",""," Vietnam","",""," Others","",
" 年          別 ","","","","","","","","","",,,,,,,,,,
" ","  健檢","  不合","  不合","  健檢","  不合","  不合","  健檢","  不合","  不合","  健檢","  不合","  不合","  健檢","  不合","  不合","  健檢"," 不合","  不合",
" ","  人數","  格數","  格率","  人數","  格數","  格率","  人數","  格數","  格率","  人數","  格數","  格率","  人數","  格數","  格率","  人數"," 格數","  格率",
" ","    No. of","   No. of","","    No. of","   No. of","","    No. of","   No. of","","  No. of"," No. of"," Ratio of","  No. of"," No. of"," Ratio of"," No. of"," No. of"," Ratio of",
" Year ","   persons","  persons","  Ratio of","   persons","  persons","  Ratio of","   persons","  persons","  Ratio of"," persons"," persons",""," persons"," persons",""," persons"," persons","",
" ","","","   check","","","   check","","","   check","","","  check","","","  check","","","  check",
" ","  receiving","   failing","   failure","  receiving","   failing","   failure","  receiving","   failing","   failure"," receiving"," failing","  failure"," receiving"," failing","  failure"," receiving"," failing","  failure",
" ","    check","   check","","    check","   check","","    check","   check","","  check"," check","","  check"," check","","  check"," check","",
"  83年  1994 ","306770","4520","1.47","13285","337","2.54","75639","845","1.12","210515","3263","1.55","0","0","0","7331","75","1.02",
"  84年  1995 ","384377","5215","1.36","11608","335","2.89","108958","1213","1.11","259881","3628","1.4","0","0","0","3930","39","0.99",
"  85年  1996 ","439346","5217","1.19","18363","401","2.18","155184","2015","1.3","263605","2765","1.05","0","0","0","2194","37","1.69",
"  86年  1997 ","463803","7930","1.71","28673","814","2.84","185041","3574","1.93","249119","3524","1.41","0","0","0","970","18","1.86",
"  87年  1998 ","534250","8053","1.51","42042","813","1.93","220107","3610","1.64","271120","3616","1.33","0","0","0","981","14","1.43",
"  88年  1999 ","591113","11521","1.95","72067","1611","2.24","233614","5396","2.31","284738","4504","1.58","116","6","5.17","578","4","0.69",
"  89年  2000 ","660464","14234","2.16","138617","3787","2.73","216119","5496","2.54","292710","4480","1.53","12471","458","3.67","547","13","2.38",
"  90年  2001 ","646947","14792","2.29","184151","5556","3.02","160595","3957","2.46","277243","4089","1.47","24473","1131","4.62","485","59","12.16",
"  91年  2002 ","619969","13199","2.13","198073","5281","2.67","133462","2571","1.93","238282","3484","1.46","50113","1863","3.72","39","0","0",
"  92年  2003 ","586929","11495","1.96","131967","3462","2.62","147546","2154","1.46","210095","2498","1.19","97287","3378","3.47","34","3","8.82",
"  93年  2004 ","404989","8175","2.02","39815","974","2.45","115207","1648","1.43","135034","1376","1.02","114800","4177","3.64","133","0","0",
"  94年  2005 ","402807","10573","2.62","59441","771","1.3","124694","2774","2.22","117636","1856","1.58","100898","5171","5.12","138","1","0.72",
"  95年  2006 ","448459","19917","4.44","112228","5424","4.83","123334","5681","4.61","133069","3784","2.84","79780","5023","6.3","48","5","10.42",
"  96年  2007 ","470079","25882","5.51","150136","10152","6.76","116282","6317","5.43","122775","4396","3.58","80856","5013","6.2","30","4","13.33",
"  97年  2008 ","506483","32264","6.37","182404","15088","8.27","116643","7213","6.18","111346","4034","3.62","96081","5928","6.17","9","1","11.11",
"  98年  2009 ","407950","7137","1.75","164686","3181","1.93","83551","1345","1.61","80550","844","1.05","79157","1767","2.23","6","0","0",
"  99年  2010 ","440352","2959","0.67","175194","1032","0.59","95204","628","0.66","87430","418","0.48","82520","881","1.07","4","0","0",
" 100年  2011 ","505085","3246","0.64","202961","1203","0.59","101116","668","0.66","99622","514","0.52","101383","861","0.85","3","0","0",
" 101年  2012 ","517005","4430","0.86","220274","1667","0.76","104547","888","0.85","91845","639","0.7","100333","1236","1.23","6","0","0",
" 102年  2013 ","567411","4624","0.81","245570","1887","0.77","107989","838","0.78","81265","640","0.79","132581","1259","0.95","6","0","0",
