" 表 13-9 產業及社福外籍勞工犯罪概況 ","","","","","","","","","","  Table 13-9 Status of Crimes Committed Foreign Workers in","","","","","","","",
,,,,,,,,,"","","  Productive Industries and Social Welfare","","","","","","",
" ","","","","","","","  單位：件、人","","","","","","","","","  Unit：Case、Person","",
" ","","","",""," 按     犯    罪    類    別    分","","","",""," By classification of crimes","","","  按國籍別分(人)","  Status of Crimes Committed by Nationality  (Person)","","","",
" ","  總　　　計","","","","","","","",,,,,,,,,,
" 年　月　別 ","","","  竊　　　盜","","  公 共 危 險","","  毒　　　品","",,,,,,,,,,
,,,,,,,,,"  暴 力 犯 罪","","  其 他 犯 罪","","","","","","",
" ","  Grand total","","","","  Offenses against","","","","","","","","  印     尼","  菲  律  賓","  泰     國","  越     南","  其     他",
" ","","","  Larceny","","  public safety","","  Narcotics","","  Violent crimes","","  Others","","","","","","",
" Year and month ","  件    數","  人    數","  件    數","  人    數","  件    數","  人    數","  件    數","  人    數","  件    數","  人    數","  件    數","  人    數","  Indonesia","  Philippines","  Thailand","  Vietnam","  Others",
" ","  Cases","  Persons","  Cases","  Persons","  Cases","  Persons","  Cases","  Persons","  Cases","  Persons","  Cases","  Persons","","","","","",
" ","73","107","32","44","0","0","0","0","21","35","20","28","7","26","64","0","10",
"  83年  1994 ","","","","","","","","",,,,,,,,,,
"  84年  1995 ","169","241","112","151","0","0","0","0","37","67","20","23","12","46","180","0","3",
" ","183","284","127","207","0","0","0","0","40","57","16","20","2","86","194","0","2",
"  85年  1996 ","","","","","","","","",,,,,,,,,,
" ","137","222","74","103","0","0","0","0","43","96","20","23","10","45","167","0","0",
"  86年  1997 ","","","","","","","","",,,,,,,,,,
"  87年  1998 ","199","231","120","140","0","0","0","0","64","77","15","14","22","60","148","0","1",
"  88年  1999 ","147","1267","94","99","0","0","0","0","37","1151","16","17","110","567","590","0","0",
" ","126","147","84","100","0","0","0","0","31","36","11","11","21","39","85","2","0",
"  89年  2000 ","","","","","","","","",,,,,,,,,,
"  90年  2001 ","158","224","96","128","0","0","0","0","49","69","13","27","37","43","137","7","0",
"  91年  2002 ","146","180","95","112","0","0","0","0","34","44","17","24","44","25","70","41","0",
" ","148","197","107","125","0","0","0","0","30","41","11","31","36","19","66","76","0",
"  92年  2003 ","","","","","","","","",,,,,,,,,,
" ","137","163","91","115","0","0","0","0","31","33","15","15","11","22","64","66","0",
"  93年  2004 ","","","","","","","","",,,,,,,,,,
"  94年  2005 ","192","242","120","139","0","0","0","0","16","26","56","77","13","31","127","71","0",
" ","200","244","119","127","0","0","0","0","8","9","73","108","18","25","114","87","0",
"  95年  2006 ","","","","","","","","",,,,,,,,,,
" ","271","283","134","151","0","0","0","0","11","13","126","119","41","26","107","109","0",
"  96年  2007 ","","","","","","","","",,,,,,,,,,
"  97年  2008 ","279","323","121","140","0","0","0","0","10","12","148","171","38","51","139","92","3",
"  98年  2009 ","280","311","123","117","0","0","0","0","12","27","145","167","52","22","113","121","3",
" ","268","297","128","133","0","0","0","0","11","12","129","152","42","37","77","140","1",
"  99年  2010 ","","","","","","","","",,,,,,,,,,
" ","289","326","115","121","0","0","0","0","9","16","165","189","42","27","143","114","0",
" 100年  2011 ","","","","","","","","",,,,,,,,,,
" 101年  2012 ","628","663","222","236","0","0","0","0","10","26","396","401","93","59","224","284","3",
" ","957","1016","304","329","159","157","105","132","24","25","365","373","205","83","239","483","6",
" 102年  2013 ","","","","","","","","",,,,,,,,,,
" ","988","940","330","287","161","155","145","165","17","30","335","303","180","126","216","417","1",
" 103年  2014 ","","","","","","","","",,,,,,,,,,
" 104年  2015 ","1017","1023","264","247","208","193","202","228","15","22","328","333","176","112","315","420","0",
" ","1257","1296","282","266","365","363","260","326","16","35","334","306","165","167","357","607","0",
" 105年  2016 ","","","","","","","","",,,,,,,,,,
" 　　  1月 　　 Jan. ","80","74","25","24","16","16","5","6","0","1","34","27","12","19","9","34","0",
" 　　  2月 　　 Feb. ","79","84","22","25","16","16","7","9","1","1","33","33","11","15","20","38","0",
" ","137","125","33","23","26","26","28","38","2","3","48","35","16","23","41","45","0",
" 　　  3月 　　 Mar. ","","","","","","","","",,,,,,,,,,
" 　　  4月 　　 Apr. ","90","105","20","20","15","15","25","35","1","1","29","34","13","21","32","39","0",
" 　　  5月 　　 May ","95","96","22","22","26","24","22","28","3","3","22","19","19","8","26","43","0",
" ","108","112","26","26","31","31","19","23","1","4","31","28","11","9","27","65","0",
" 　　  6月 　　 June ","","","","","","","","",,,,,,,,,,
" 　　  7月 　　 July ","117","119","18","18","34","32","33","43","1","1","31","25","16","7","33","63","0",
" 　　  8月 　　 Aug. ","102","104","20","18","34","34","24","34","1","1","23","17","9","13","25","57","0",
" ","119","121","27","28","48","49","24","27","0","0","20","17","19","10","36","56","0",
" 　　  9月 　　 Sept. ","","","","","","","","",,,,,,,,,,
" 　　 10月 　　 Oct. ","123","127","31","26","48","49","24","25","2","9","18","18","9","17","41","60","0",
" 　　 11月 　　 Nov. ","122","126","18","19","46","45","31","33","1","1","26","28","16","15","47","48","0",
" ","85","103","20","17","25","26","18","25","3","10","19","25","14","10","20","59","0",
" 　　 12月 　　 Dec. ","","","","","","","","",,,,,,,,,,
" 資料來源： 內政部警政署。 ","","","","","","","",""," Source： National Police Agency, Ministry of the Interior.","","","","","","","","",
