" 表 13-10 產業及社福外籍勞工行蹤不明概況 ","","","",""," Table 13-10 Missing Status of Foreign Workers in Productive Industries and Social Welfare","","","","","","","",
" ","","",""," 單位：人、％","","","","","","","  Unit：Person、％","",
" ","  總　計","","  印     尼","","  菲   律   賓","","  泰     國","","  越     南","","  其     他","",
" 項　目　別 ","  Grand total","","  Indonesia","","  Philippines","","  Thailand","","  Vietnam","","  Others","",
" 人  數 ",""," 比率"," 人  數"," 比率","  人  數","  比率","  人  數","  比率","  人  數","  比率","  人  數","  比率",
" Item ","","","","",,,,,,,,,
" Persons ",""," Rate"," Persons"," Rate","  Persons","  Rate","  Persons","  Rate","  Persons","  Rate"," Persons","  Rate",
"  83年  1994 ","5922","3.9","136","2.26","1865","4.85","3787","3.6","0","0","134","5.72",
"  84年  1995 ","11424","4.56","232","4.27","3599","6.59","7495","5.91","0","0","98","4.73",
"  85年  1996 ","7424","3.49","263","2.58","3000","3.59","4131","2.93","0","0","30","2.01",
"  86年  1997 ","5508","2.32","334","2.65","2962","3.25","2194","1.66","0","0","18","1.58",
"  87年  1998 ","4677","1.82","493","2.8","2450","2.27","1728","1.32","0","0","6","0.87",
"  88年  1999 ","4057","1.44","760","2.54","1882","1.63","1403","1.03","0","0","12","2.23",
"  89年  2000 ","4268","1.37","1680","2.93","1303","1.19","1234","0.88","35","0.72","16","12.13",
"  90年  2001 ","5089","1.58","2804","3.21","1048","1.22","942","0.68","293","2.75","2","2.54",
"  91年  2002 ","7079","2.31","3809","3.99","643","0.93","1042","0.86","1584","7.79","1","2.76",
"  92年  2003 ","9688","3.23","3411","4.62","873","1.17","1171","1.09","4233","9.63","0","0",
"  93年  2004 ","12062","3.96","1978","4.92","1177","1.35","1369","1.32","7536","10.16","2","2.61",
"  94年  2005 ","12938","4.16","1973","6.65","1543","1.65","2040","2.1","7363","8.17","19","19.96",
"  95年  2006 ","10918","3.26","4232","6.06","1023","1.09","1239","1.3","4422","5.82","2","3.17",
"  96年  2007 ","11226","3.2","4870","4.71","867","0.99","959","1.07","4529","6.5","1","2.52",
"  97年  2008 ","11105","3.01","5506","4.44","643","0.76","680","0.82","4275","5.6","1","4.6",
"  98年  2009 ","10743","3.1","4672","3.47","552","0.79","381","0.6","5138","6.6","0","0",
"  99年  2010 ","14147","3.85","6484","4.34","662","0.87","411","0.64","6590","8.36","0","0",
" 100年  2011 ","16320","4.02","7984","4.77","790","0.98","561","0.8","6985","7.93","0","0",
" 101年  2012 ","17579","4.01","7969","4.31","675","0.79","468","0.66","8467","8.66","0","0",
" 102年  2013 ","19471","4.19","9759","4.79","685","0.79","289","0.46","8738","7.82","0","0",
" 103年  2014 ","17311","3.34","8594","3.88","562","0.56","286","0.48","7868","5.77","1","14.81",
" 104年  2015 ","23149","4.02","9569","4.05","685","0.58","277","0.47","12618","7.79","0","0",
" 105年  2016 ","21708","3.59","8833","3.68","547","0.42","274","0.47","12054","6.86","0","0",
" 　　  1月 　　 Jan. ","1282","0.22","620","0.26","55","0.04","14","0.02","593","0.35","0","0",
" 　　  2月 　　 Feb. ","1852","0.31","601","0.25","55","0.04","18","0.03","1178","0.69","0","0",
" 　　  3月 　　 Mar. ","2714","0.46","1014","0.42","52","0.04","24","0.04","1624","0.95","0","0",
" 　　  4月 　　 Apr. ","1651","0.28","858","0.36","45","0.04","22","0.04","726","0.42","0","0",
" 　　  5月 　　 May ","1608","0.27","616","0.26","37","0.03","32","0.06","923","0.53","0","0",
" 　　  6月 　　 June ","1850","0.31","704","0.29","28","0.02","37","0.06","1081","0.62","0","0",
" 　　  7月 　　 July ","1953","0.32","775","0.33","41","0.03","29","0.05","1108","0.63","0","0",
" 　　  8月 　　 Aug. ","2121","0.35","838","0.35","54","0.04","19","0.03","1210","0.69","0","0",
" 　　  9月 　　 Sept. ","1875","0.31","766","0.32","43","0.03","25","0.04","1041","0.59","0","0",
" 　　 10月 　　 Oct. ","1832","0.3","695","0.29","45","0.03","16","0.03","1076","0.6","0","0",
" 　　 11月 　　 Nov. ","1622","0.26","714","0.29","51","0.04","25","0.04","832","0.46","0","0",
" 　　 12月 　　 Dec. ","1348","0.22","632","0.26","41","0.03","13","0.02","662","0.36","0","0",
" 未查獲人數 ","","","","",,,,,,,,,
" Number of the uncaptured ","53734","","23959","","2569","","897","","26308","","1","",
" missing foreign workers ","","","","",,,,,,,,,
" 資料來源： 內政部移民署。 ","","","",""," Source：  National Immigration Agency.","","","","","","","",
" 說       明： 1.月外勞行蹤不明比率＝月外勞行蹤不明人數÷本月與上月外勞人數平均數*100% ","","","",""," Note：  1.Monthly foreign workers missing rate＝ number of missing foreign workers in the month  ÷ mid-month foreign workers × 100%.","","","","","","","",
" 2.年外勞行蹤不明比率＝年外勞行蹤不明人數÷本年各月底外勞人數平均數*100% ","","","","","  2.Yearly foreign workers missing rate ＝ number of missing foreign workers in the year ÷ annual foreign workers × 100%.","","","","","","","",
" 3.自99年1月起剔除重複報案件數和外僑人數。 ","","","","","  3.The repeated reports and the aliens are removed from the data series from Jan. 2010.","","","","","","","",
" 4.「其他」包含馬來西亞、蒙古等其他國籍。 ","","","","","  4.”Others” includes Malaysia, Mongolia, and other countries.","","","","","","","",
" ","","  -376-","","","","","","   -377-","","","","",
