"  表 13-13 勞工保險受聘僱外國人職業災害保險給付人次─按行業及國籍分","","","","","","","","  Table 13-13 Occupational Injuries Benefits of the Employed Foreign Workers","","","","","","","","","",
,,,,,,,,"",""," under Labor Insurance by Industry and Nationality","","","","","","","",
"","","","  中華民國105年","","",""," 單位：人次","","","","","   2016","","","","  Unit：Person-case","",
"","",""," 總　　　計　　Grand total","","",""," 製　造　業"," Manufacturing","",""," 營建工程業　　Construction","","",""," 其　　　他　　Others","","",
"  項　　目　　別","","","","","","","",,,,,,,,,,,
"","","  計"," 傷 病"," 失 能"," 死 亡","  計"," 傷 病","  失能","  死亡","  計","  傷病","  失能","  死亡","  計","  傷病","  失能","  死亡",
""," Item",""," Injury or","","",""," Injury or","","",""," Injury or","","",""," Injury or","","",
"",""," Total",""," Disability"," Death"," Total",""," Disability","  Death","  Total",""," Disability","  Death","  Total",""," Disability","  Death",
"","",""," illness","","",""," illness","","","","  illness","","",""," illness","","",
" 總　　　計"," Grand total","1481","1201","255","25","1156","924","213","19","54","47","6","1","271","230","36","5",
" 　印尼"," Indonesia","290","225","62","3","223","168","53","2","3","3","0","0","64","54","9","1",
" 　日本"," Japan","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0",
" 　韓國"," Korea, R.O.","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0",
" 　馬來西亞"," Malaysia","3","3","0","0","0","0","0","0","1","1","0","0","2","2","0","0",
" 　菲律賓"," Philippines","131","109","20","2","117","97","18","2","1","1","0","0","13","11","2","0",
" 　泰國"," Thailand","238","190","41","7","204","167","33","4","12","8","3","1","22","15","5","2",
" 　越南"," Vietnam","752","610","129","13","598","479","108","11","23","21","2","0","131","110","19","2",
" 　荷蘭"," Holland","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",
" 　烏克蘭"," Ukraine","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0",
" 　加拿大"," Canada","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0",
" 　衣索匹亞"," Ethiopia","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0",
" 　不詳"," Unknown","61","58","3","0","14","13","1","0","13","12","1","0","34","33","1","0",
" 資料來源： 勞動部勞動及職業安全衛生研究所。","","","","","","",""," Source：  Institute of Labor, Occupational Safety and Health, MOL.","","","","","","","","","",
" 說　　明： 同表13-11說明1及說明2。","","","","","","",""," Note：  See note 1 and note 2 of Table 13-11.","","","","","","","","","",
"","","","   -384-","","","","","","","","","   -385-","","","","","",
