" 表 13-14 外國專業人員人數－按性別及申請類別分 ","","","","","","  Table 13-14 Foreign Workers for Special Professions or Technical Assignments","","","","","","",
,,,,,,"",""," by Sex and Categories of Work","","","","",
" ","","","","","  單位：人次","","","","","","  Unit：Person-case","",
" ","","","  有　效　聘　僱　許　可　人　數","","","","","  Persons of effective employment permit","","","","",
" ","","","","  性　　　別　　　Sex","","",""," 申　　　請　　　類　　　別　　　　Categories of Work","","","","",
" 項　　目　　別 "," 累計申請"," 累計聘僱許可","","","",,,,,,,,
" ","","","  計","","",""," 宗教、藝術"," 補習班語文教師工作","",""," 華僑或外國人投資","",
,,,,,,"  專門性或"," 及演藝工作","","  履　　約","  學　校"," 設立事業之主管工作","  運動教練及",
" ","","","","  男","  女"," 技術性工作",""," Full-time teacher teaching","","  教師工作","","  運動員工作",
" ",""," Accumulation of","","","","","  Religious,"," courses on foreign","",""," Director of a business","",
" Accumulation of ","","","","","",,,,,,,,
,,,,,," Specialized","  artistic,"," languages at a short-term","",""," invested in or set up","",
" Item "," application"," the employment  permit","  Total","  Male","  Female"," or technical","  and show"," class registered for"," Execute bond","  School"," by overseas Chinese","  Sports coach",
,,,,,,"","","","","  Teacher","","  and athlete",
,,,,,,"  work"," business work"," supplementary schooling","",""," or foreigner(s)  ˉ","",
"  93年底  End of 2004 ","30789","30266","20751","16474","4277","11228","1311","5934","0","1604","633","41",
"  94年底  End of 2005 ","64345","63755","25933","20930","5003","13118","1516","6630","1537","2061","1044","27",
"  95年底  End of 2006 ","99888","99588","29336","24128","5208","16292","1488","6392","1465","2212","1440","47",
"  96年底  End of 2007 ","135986","133642","28956","23805","5151","15467","1792","5983","1981","2243","1451","39",
"  97年底  End of 2008 ","168262","164126","27319","22365","4954","14509","1546","5839","1575","2356","1452","42",
"  98年底  End of 2009 ","198699","193188","25909","20983","4926","13380","1518","5841","1241","2375","1503","51",
"  99年底  End of 2010 ","231748","224735","26589","21605","4984","13938","1699","5640","1376","2397","1503","36",
" 100年底  End of 2011 ","268992","260203","26798","21664","5134","13981","1685","5715","1327","2406","1644","40",
" 101年底  End of 2012 ","307336","297051","27624","22209","5415","14465","1948","5615","1269","2445","1853","29",
" 102年底  End of 2013 ","344832","333114","27627","22093","5534","14855","1818","5094","1403","2408","2010","39",
" 103年底  End of 2014 ","385393","372055","28559","22727","5832","15672","1962","5040","1342","2291","2207","45",
" 104年底  End of 2015 ","425563","410432","30185","23758","6427","16982","1782","5000","1719","2299","2357","46",
" 105年底  End of 2016 ","467464","450183","31025","24133","6892","17868","1698","4875","1750","2254","2530","50",
"  1月底  End of Jan. ","428273","413062","29523","23244","6279","16605","1619","4942","1592","2344","2367","54",
"  2月底  End of Feb. ","430387","415331","29301","23065","6236","16590","1445","4910","1608","2346","2341","61",
"  3月底  End of Mar. ","434559","419158","30769","24082","6687","17080","2037","5008","1641","2569","2370","64",
"  4月底  End of Apr. ","437252","421896","30440","23714","6726","16911","1911","4970","1515","2715","2354","64",
"  5月底  End of May ","440563","424974","30517","23789","6728","16896","1636","5059","1549","2940","2369","68",
"  6月底  End of June ","444403","428250","31402","24317","7085","17161","1911","5151","1520","3210","2385","64",
"  7月底  End of July ","448933","432482","31569","24454","7115","17319","2130","5154","1546","2952","2402","66",
"  8月底  End of Aug. ","452954","436483","30061","23513","6548","17124","1818","4945","1654","2053","2405","62",
"  9月底  End of Sept. ","456698","439717","30183","23580","6603","17170","2071","4697","1629","2130","2426","60",
" 10月底  End of Oct. ","460421","443340","30278","23740","6538","17321","1864","4793","1614","2160","2469","57",
" 11月底  End of Nov. ","464038","446786","30648","23943","6705","17534","1669","4883","1644","2209","2516","193",
" 12月底  End of Dec. ","467464","450183","31025","24133","6892","17868","1698","4875","1750","2254","2530","50",
" 資料來源： 勞動部勞動力發展署。 ","","","","",""," Source：  Workforce Development Agency, MOL.","","","","","","",
" 說    明： 1.本資料為該署受理本項業務(93年1月15日)起計算，自95年8月起納入科學工業園區資料，96年8月起納入加 ","","","","",""," Note：  1.Data series from Jan. 2004 have been established.","","","","","","",
"    工出口區資料。 ","","","","","","  2.Foreign Workers For Special Professions or Technical Assignments in the table represent the Class A Foreign Workers stipulated","","","","","","",
" 2.本表外國專業人員係指依雇主聘僱外國人許可及管理辦法第二條第一款規定之第一類外國人。 ","","","","","","     in accordance with Article 2 of the Regulations on the Permission and Administration of the Employment of Foreign Workers.","","","","","","",
" 3.有效聘僱許可人數係指取得聘僱許可人數中，扣除聘僱許可屆滿、提早解約出國者及經勞動力發展署廢止 ","","","","","","  3.Persons of the effective employment permit exclude expirtation, rescission and abloishment.","","","","","","",
"    聘僱許可人數。 ","","","","","",,,,,,,,
" ","","   -386-","","","","","","","  -387-","","","",
