"","  表 13-17 外國專業人員人數－按地區分","","","",
"  Table 13-17 Foreign Workers for Special Professions or Technical Assignments by Area","","","","",
"",""," 中華民國105年底   End of 2016","  單位：人次　Unit：Person-case","",
"  地　　區　　別",""," 累　計　申　請"," 累計聘僱許可"," 有效聘僱許可人數",
"",""," Accumulation of"," Accumulation of"," Persons of effective",
""," Area"," application"," the employment permit"," employment permit",
" 總　　  計"," Grand total","467464","450183","31025",
" 　新 北 市"," New Taipei City","39377","37703","3111",
" 　臺 北 市"," Taipei City","202602","194946","13711",
" 　桃 園 市"," Taoyuan City","29887","28775","2641",
" 　臺 中 市"," Taichung City","40501","38848","2931",
" 　臺 南 市"," Tainan City","24007","23242","1112",
" 　高 雄 市"," Kaohsiung City","39728","38034","2366",
" 　宜 蘭 縣"," Yilan County","7826","7623","105",
" 　新 竹 縣"," Hsinchu County","12357","11935","1003",
" 　苗 栗 縣"," Miaoli County","6190","5986","370",
" 　彰 化 縣"," Changhwa County","5548","5362","329",
" 　南 投 縣"," Nantou County","2776","2551","136",
" 　雲 林 縣"," Yunlin County","8189","7945","555",
" 　嘉 義 縣"," Chiayi County","3438","3334","124",
" 　屏 東 縣"," Pingtung County","5974","5801","240",
" 　臺 東 縣"," Taitung County","2233","2117","51",
" 　花 蓮 縣"," Hwalien County","3298","3174","150",
" 　澎 湖 縣"," Penghu County","238","227","21",
" 　基 隆 市"," Keelung City","1736","1634","93",
" 　新 竹 市"," Hsinchu City","26175","25668","1889",
" 　嘉 義 市"," Chiayi City","4092","4022","74",
" 　金 門 縣"," Kinmen County","1111","1079","9",
" 　連 江 縣"," Lienchiang County","181","177","4",
" 資料來源：  勞動部勞動力發展署。","","","","",
" 說       明：  1.本資料為該署受理本項業務(93年1月15日)起計算。","","","","",
"  2.本表外國專業人員係指依雇主聘僱外國人許可及管理辦法第二條第一款規定之第一類外國人。","","","","",
"  3.有效聘僱許可人數係指取得聘僱許可人數中，扣除聘僱許可屆滿、提早解約出國者及經勞動力發展署廢止","","","","",
"     聘僱許可人數。","","","","",
" Source： Workforce Development Agency, MOL.","","","","",
" Note： 1.Data series from Jan. 2004 have been established.","","","","",
"  2.Foreign Workers For Special Professions or Technical Assignments in the table represent the Class A Foreign Workers stipulated","","","","",
"     in accordance with Article 2 of the Regulations on the Permission and Administration of the Employment of Foreign Workers.","","","","",
"  3.Persons of the effective employment permit exclude expirtation, rescission and abloishment.","","","","",
"","","   -390-","","",
