" ","  表 14-1 平均每戶家庭收支概況","","","","",""," Table 14-1  Average Family Income and Expenditure per Household","","","","","",
" ","","","","","  單位：元","","","","","","","  Unit：NT$",
" ","  家庭戶數","  平均每戶","  平均每戶"," 平均每戶所得","",,,,,,,,
" 年　　別 ","","  人　　數","  就業人數"," 收入者人數","  所得收入","  非消費支出"," 可支配所得","  消費支出","  儲　　蓄"," 儲 蓄 率"," 住宅坪數"," 自有住宅率",
" ","  (戶)","  (人)","  (人)","  (人)","",,,,,,,,
,,,,,,"","","","","  (%)","  (坪)","  (%)ˉ",
" ","  No. of"," No. of persons"," No. of employed"," No. of income","","","","","",""," Average space"," Rate of",
" ","","","  persons per","  recipients",""," Nonconsumption","  Disposable"," Consumption","","","","",
" Year ","  households"," per household","  household"," per household"," Total receipts","  expenditures","  income","  expenditures","  Saving"," Saving Rate"," per household"," self-owned",
" ","  (Household)","  (Person)","","","","","","","",""," (Ping)","  house",
" ","","","  (Person)","  (Person)","",,,,,,,,
"  76年  1987 ","4574092","4.41","1.8","1.71","414060","47573","366487","275105","91382","24.93","31.7","78.58",
"  77年  1988 ","4735172","4.28","1.78","1.69","466704","56221","410483","302207","108276","26.38","32","77.76",
"  78年  1989 ","4896258","4.25","1.77","1.69","529689","64695","464994","336875","128119","27.55","33.3","79.02",
"  79年  1990 ","5026450","4.19","1.77","1.71","598356","78209","520147","370323","149824","28.8","33.9","80.47",
"  80年  1991 ","5159991","4.16","1.76","1.7","675525","88283","587242","411760","175482","29.88","34.4","80.4",
"  81年  1992 ","5287388","4.1","1.75","1.75","741360","101664","639696","445220","194476","30.4","35.5","82.8",
"  82年  1993 ","5419067","4.1","1.77","1.72","840378","112499","727879","504133","223747","30.74","36","81.88",
"  83年  1994 ","5567351","4.02","1.75","1.72","904135","134380","769755","545987","223768","29.07","36.77","82.52",
"  84年  1995 ","5731179","3.94","1.71","1.7","985929","174591","811338","591035","220303","27.15","37.17","83.56",
"  85年  1996 ","5908262","3.92","1.71","1.71","1008367","181989","826378","614435","211943","25.65","38.07","84.45",
"  86年  1997 ","6104309","3.84","1.69","1.71","1054049","190622","863427","634477","228951","26.52","39.19","84.57",
"  87年  1998 ","6273056","3.77","1.64","1.68","1070268","197093","873175","646343","226831","25.98","39.79","84.61",
"  88年  1999 ","6431105","3.63","1.6","1.67","1089575","200522","889053","655282","233770","26.29","39.59","84.91",
"  89年  2000 ","6588644","3.62","1.58","1.66","1091478","200033","891445","662722","228723","25.66","40.42","85.35",
"  90年  2001 ","6730886","3.58","1.56","1.64","1064136","195485","868651","657872","210779","24.27","40.99","85.64",
"  91年  2002 ","6839390","3.65","1.57","1.65","1064153","188234","875919","672619","203300","23.21","41.68","85.4",
"  92年  2003 ","6961560","3.53","1.54","1.64","1064825","183163","881662","666372","215290","24.42","41.87","85.11",
"  93年  2004 ","7083445","3.5","1.53","1.64","1074665","183416","891249","692648","198600","22.28","42.41","86.8",
"  94年  2005 ","7206883","3.42","1.51","1.64","1082168","187594","894574","701076","193497","21.63","42.21","87.33",
"  95年  2006 ","7307999","3.41","1.52","1.66","1099739","186647","913092","713024","200068","21.91","42.84","87.83",
"  96年  2007 ","7414281","3.38","1.5","1.66","1108674","184800","923874","716094","207780","22.49","43.34","88.14",
"  97年  2008 ","7544629","3.35","1.49","1.65","1099994","186308","913687","705413","208274","22.79","43.23","87.36",
"  98年  2009 ","7688014","3.34","1.46","1.64","1074180","186575","887605","705680","181925","20.5","43.96","87.89",
"  99年  2010 ","7840923","3.25","1.44","1.62","1071938","182585","889353","702292","187061","21.03","43.06","84.89",
" 100年  2011 ","7959828","3.29","1.49","1.68","1104265","196278","907988","729010","178978","19.71","44.01","84.58",
" 101年  2012 ","8077323","3.23","1.46","1.68","1122379","198796","923584","727693","195891","21.21","43.56","85.77",
" 102年  2013 ","8191640","3.21","1.46","1.71","1140271","198063","942208","747922","194286","20.62","43.45","85.34",
" 103年  2014 ","8290000","3.15","1.45","1.71","1157926","201077","956849","755169","201680","21.08","44.12","84.01",
" 104年  2015 ","8386495","3.1","1.43","1.72","1167284","202388","964895","759647","205248","21.27","43.99","84.23",
" 資料來源： 行政院主計總處「家庭收支調查報告」。 ","","","","",""," Source：  Directorate-General of Budget, Accounting and Statistics, Executive Yuan. Report on the survey of family income and","","","","","","",
,,,,,,"  expenditure in Taiwan Area of R.O.C.","","","","","","",
" 說       明： 家庭收支調查報告每年8月發布上一年度資料,若需最新數據,請連結至行政院主計總處網站 ","","","","","",,,,,,,,
" (http://www.dgbas.gov.tw/np.asp?ctNode=2828)查詢。 ","","","","",""," Note：  Annual Family Income and Expenditure Survey Report publishes on August. If you need the latest figures, please connect to","","","","","","",
,,,,,,"  the website of Directorate-General of Budget,Accounting and Statistics Executive Yuan","","","","","","",
,,,,,,"  (http://www.dgbas.gov.tw/np.asp?ctNode=2828).","","","","","","",
" ","","   -392-","","","","","","","   -393-","","","",
