" ","  表 15-1 主要國家失業率","","","","","","","","  Table 15-1 Unemployment Rates in Major Countries","","","","","","","","",
" ","","","","","",""," 單位：％","","","","","","","",""," Unit：％","",
" 年　　　　別 中華民國 ",""," 香    港"," 日    本"," 韓    國","","  新　加　坡","",""," 美    國"," 加　拿　大",""," 德    國",""," 英    國",""," 法    國","",
" ","","","","","","  Singapore","","",,,,,,,,,,
,,,,,,,,," United States"," Canada",""," Germany","","   United",""," France","",
" Year R.O.C. ",""," Hong Kong"," Japan"," Korea, R.O.",""," 整體"," 居民","","","","","",""," Kingdom","","","",
" ","","","","",""," Total"," Resident","",,,,,,,,,,
"  67年平均  Avg. 1978 ","1.67","2.8","2.2",""," ...","3.6",""," ...","6.1","8.4","","3.7","",""," ...",""," ...",
"  68年平均  Avg. 1979 ","1.27","2.9","2.1",""," ...","3.4",""," ...","5.8","7.5","","3.2","",""," ...",""," ...",
"  69年平均  Avg. 1980 ","1.23","3.8","2",""," ...","3",""," ...","7.1","7.5","","3.2","",""," ...",""," ...",
"  70年平均  Avg. 1981 ","1.36","3.6","2.2",""," ...","2.9",""," ...","7.6","7.6","","4.5","",""," ...",""," ...",
"  71年平均  Avg. 1982 ","2.14","3.6","2.4",""," ...","2.6",""," ...","9.7","11","","6.4","",""," ...",""," ...",
"  72年平均  Avg. 1983 ","2.71","4.5","2.6",""," ...","3.2",""," ...","9.6","12","","7.9","",""," ...","7.9","",
"  73年平均  Avg. 1984 ","2.45","3.9","2.7",""," ...","2.7",""," ...","7.5","11.3","","7","","11.8","","9.5","",
"  74年平均  Avg. 1985 ","2.91","3.2","2.6",""," ...","4.1",""," ...","7.2","10.6","","7.1","","11.3","","10.3","",
"  75年平均  Avg. 1986 ","2.66","2.8","2.8",""," ...","6.5",""," ...","7","9.7","","6.4","","11.2","","10.2","",
"  76年平均  Avg. 1987 ","1.97","1.7","2.8",""," ...","4.7",""," ...","6.2","8.8","","6.2","","10.8","","10.7","",
"  77年平均  Avg. 1988 ","1.69","1.4","2.5",""," ...","2.6",""," ...","5.5","7.8","","6.2","","8.8","","10.2","",
"  78年平均  Avg. 1989 ","1.57","1.1","2.3","2.6","","1.8",""," ...","5.3","7.5","","5.6","","7.2","","9.6","",
