" ","  表 15-3 主要國家就業者產業結構","","","","","","","","","","  Table 15-3 Employed Persons by Industry Structure","","","","","","","","","",""," ","  表 15-3 主要國家就業者產業結構(續)","","","","","","","","","","","","","","","","","","   Table 15-3 Employed Persons by Industry Structure","","","","","","","","","","","",
,,,,,,,,,"","","","","  in Major Countries","","","","","","","","",,,,,,,,,,,,,,,,,,"","","","","","  in Major Countries(Cont.)","","","","","","","","",
" ","","","","","","","","  單位：％","","","","","","","","","","","","   Unit：％",""," ","","","","","","","","","","","","","","","  單位：％","","","","","","","","","","","","","","","  Unit：％",
" ","","  中華民國  (1) (2)","","","","  加 拿 大  (1) (3)","","","","   香   港 (1) (6)","","","","  日   本 (1) (4)","","","","   韓   國 (1)ˉ","","",""," ","","","  義 大 利 (1) (5)","","","","","","","","  德 國  (1) (7)ˉ","","","","","","","   新 加 坡 (1) (8)","","","","","   英   國 (9)","","","","","  美   國 (10)","","",
" 年　　　別 ","","  R.O.C.","","","","  Canada","","","","   Hong Kong","","","","  Japan","","","","   Korea, R.O.","","",""," 年　　　別 ","","","","  Italy","","","","","","","","  Germany","","","","","",""," Singapore","","","","   United Kingdom","","","","","  United States","","",
" ","  農業",""," 工業","  服務業","  農業",""," 工業","  服務業","  農業","","  工業","  服務業","  農業","","  工業","  服務業","  農業","","   工業","   服務業",""," ","  農業","","",""," 工業","","  服務業","","  農業","","",""," 工業","","  服務業","","  農業","","   工業","   服務業","","  農業","","   工業","   服務業","","  農業","","  工業","  服務業",
" Year ","  Agriculture,","  Goods-","  製造業","  Services-","  Agriculture,","  Goods-","  製造業","  Services-","  Agriculture","   Goods-","  製造業","  Services-","  Agriculture","  Goods-","  製造業","  Services-","  Agriculture","   Goods-","   製造業","   Services-",""," Year ","  Agriculture,","","  Goods-","","  製造業","","  Services-","","  Agriculture,","","  Goods-","","  製造業","","  Services-","","  AgricultureAgriculture","   Goods-","   製造業","   Services-","","  AgricultureAgriculture","   Goods-","   製造業","   Services-","","  AgricultureAgriculture","  Goods-","  製造業","  Services-",
" ","   forestry &","  producing","  Manufac-","  producing","   forestry &","  producing","  Manufac-","  producing","  ,forestry &","   producing","  Manufac-","  producing","  ,forestry &","  producing","  Manufac-","  producing","  ,forestry &","   producing","   Manufac-","   producing",""," ","   forestry &","","  producing","","  Manufac-","","  producing","","   forestry &","","  producing","","  Manufac-","","  producing","","  ,forestry &,forestry &","   producing","   Manufac-","   producing","","  ,forestry &,forestry &","   producing","   Manufac-","   producing","","  ,forestry &,forestry &","  producing","  Manufac-","  producing",
" ","    fishing","  industries","    turing","  industries","    fishing","  industries","    turing","  industries","    fishing","   industries","     turing","  industries","    fishing","  industries","     turing","  industries","    fishing","   industries","      turing","   industries",""," ","    fishing","","  industries","","    turing","","  industries","","    fishing","","  industries","","    turing","","  industries","","    fishing  fishing","   industries","      turing","   industries","","    fishing  fishing","   industries","      turing","   industries","","    fishing  fishing","  industries","     turing","  industries",
"  76年平均  Avg. 1987 ","15.28","42.76","35.17","41.95","4.6","24.87","16.55","70.53","1.54","42.92","34.17","55.54","8.27","33.78","24.11","57.54",""," ..."," ..."," ..."," ...","  76年平均  Avg. 1987 ","10.34","","32","","22.11","","57.67","",""," ...",""," ...",""," ...",""," ...","0.87","35.05","26.73","63.76","",""," ..."," ..."," ..."," ...","3.02","27.35","18.62","69.63",
