" 表 15-4 主要國家製造業薪資 ","","","","","","","  Table 15-4 Wages of Manufacturing Establishment in Major Countries","","","","","","","","","",
" 中華民國 ",""," 加 拿 大"," 德　　國",""," 香　　港",""," 日　　本"," 韓　　國"," 新 加 坡",""," 英　　國",""," 美　　國",""," 中國大陸","",
" 年　　　別 R.O.C. ",""," Canada"," Germany",""," Hongkong",""," Japan"," Korea, Rep. of"," Singapore",""," United Kingdom",""," United States",""," China","",
" （1）ˉ ",""," （2）  ˉ"," （3）  ˉ","","",""," （4）  ˉ"," （5） ˉ","",""," （6） ˉ","","",""," （7） ˉ","",
" 新臺幣/月 ",""," 加幣/週"," 馬克/歐元/時",""," 港幣/月",""," 日圓/月"," 韓幣/月"," 坡幣/月",""," 英磅/週",""," 美元/時",""," 人民幣/月","",
" Year ","","","","","","",,,,,,,,,,,
" NT$/Month ",""," Can$/Week"," Mark/Euro/Hour",""," HK$/Month",""," Yen/Month"," KRW/Month"," S$/Month",""," Pounds/Week",""," US$/Hour",""," RMB/Month","",
"  76年  1987 ","15333","521.31","17.53","",""," ...","287626","328696","1008.8","",""," ...",""," ...","118.17","",
"  77年  1988 ","16987","544.16","18.33","",""," ...","295409","393056","1115.9","",""," ...",""," ...","142.5","",
"  78年  1989 ","19429","570.59","19.1","",""," ...","311008","491632","1242.9","",""," ...",""," ...","158.33","",
"  79年  1990 ","22011","599.37","20.07","",""," ...","321802","590760","1395","",""," ...",""," ...","172.25","",
"  80年  1991 ","24426","641.52","21.31","",""," ...","336685","690310","1551.8","",""," ...",""," ...","190.75","",
"  81年  1992 ","26938","670.03","22.52","",""," ...","341508","798548","1686.2","",""," ...",""," ...","219.58","",
"  82年  1993 ","28822","688.88","23.79","",""," ...","341374","885398","1817.8","",""," ...",""," ...","279","",
"  83年  1994 ","30748","705.67","24.58","",""," ...","347853","1022496","1995.3","",""," ...",""," ...","356.92","",
"  84年  1995 ","32489","712.75","25.48","",""," ...","357524","1123895","2157","",""," ...",""," ...","430.75","",
"  85年  1996 ","33833","732.38","25.73","",""," ...","366103","1261168","2320","",""," ...",""," ...","470.17","",
"  86年  1997 ","35402","751.21","26.17","",""," ...","375612","1326241","2487","",""," ...",""," ...","494.42","",
"  87年  1998 ","36431","768.7","26.78","",""," ...","371437","1284477","2716","",""," ...",""," ...","588.67","",
"  88年  1999 ","37738","780.44","27.53","",""," ...","366793","1442921","2803","",""," ...",""," ...","649.5","",
"  89年  2000 ","38914","794.81","27.78","",""," ...","371452","1567510","3036","","369.25","",""," ...","729.17","",
"  90年  2001 ","38412","796.69","14.42","",""," ...","368915","1659109","3117","","382.83","",""," ...","814.5","",
"  91年  2002 ","38435","818.64","14.72","",""," ...","363937","1857171","3154","","396.58","",""," ...","916.75","",
"  92年  2003 ","39549","837.36","15.09","","9457","","369290","2017864","3265","","411.67","",""," ...","1055.92","",
"  93年  2004 ","40657","860.63","15.4","","9546","","380183","2209335","3350","","431.33","",""," ...","1187.58","",
"  94年  2005 ","41858","895.4","15.6","","8816","","380885","2387579","3495","","446.92","",""," ...","1327.83","",
"  95年  2006 ","42393","904.63","15.74","","9698","","385754","2522501","3618","","464.42","",""," ...","1518.75","",
"  96年  2007 ","43178","940.61","19.09","","10109","","374484","2688353","3764","","483","","21.5","","1762","",
"  97年  2008 ","43121","949.57","19.51","","10107","","374362","2677585","3955","","497.5","","22.16","","2033.67","",
"  98年  2009 ","39125","916.75","19.59","","9465","","349603","2736593","3966","","503.25","","23.04","","2234.17","",
"  99年  2010 ","42300","962.08","20.11","","9415","","362340","2985136","4263","","524.67","","23.31","","2576.33","",
" 100年  2011 ","43316","983.86","20.43","","10790","","368340","3034053","4388","","531.92","","23.69","","3055.42","",
" 101年  2012 ","43689","1007.74","21.03","","11566","","372073","3220594","4487","","541.25","","23.92","","3470.83","",
" 102年  2013 ","43829","1023.38","21.71","","12439","","372460","3371371",""," ...","554.42","","24.35","","3869.25","",
" 103年  2014 ","45207","1043.92","22.33","","12986","","382193","3505897",""," ...","565.67","","24.81","","4280.75","",
" 104年  2015 ","46781","1078.86",""," ...","13416","","376331","3616631",""," ...","573.08","","25.25","","4610.33","",
" 105年  2016 ","47258","1088.88",""," ...","13842","","378447","3754827",""," ...","584.67","","25.99","",""," ...",
" 資料來源： 勞動部「國際勞動統計」。 ","","","","","",""," Source：  MOL-Foreign Labor Statistics.","","","","","","","","","",
" 附　　註： (1)我國為平均薪資（含經常性及非經常性薪資）。 ˉ ˉ ","","","","","",""," Remark：  (1)R.O.C.: average salary (including regular and irregular salaries).","","","","","","","","","",
" (2)加拿大包含加班費，方法在1991年修正，資料無法直接比較。 ","","","","","","","  (2)Canada: included overtime wage. Methodology revised in 1991; data not strictly comparable.","","","","","","","","","",
" (3)1996年以前為西德資料。2001年起以歐元計。 方法在2006年修正，資料無法直接比較。 2006年以前為就業者 ","","","","","","","  (3)The data of Western Germany are adopted for years before 1996. Wages are expressed in Euro since 2001. Methodology","","","","","","","","","",
"     ，2007年後為受僱者。 ","","","","","","","      revised in 2006; data not strictly comparable. Prior to 2006,employees. After 2007, wage earners.","","","","","","","","","",
" (4)日本為規模5人以上之事業單位之薪資平均數值（含特別及加班收入）。ˉ ˉ ","","","","","","","  (4)Japan: average salary of enterprises with more than 5 employees (including special or overtime wages).","","","","","","","","","",
" (5)韓國1999年前為常僱員工，規模10人以上之事業單位。2000~2007年為常僱員工，規模5人以上之事業單位。 ","","","","","","","  (5)S. Korea: Prior to 1999: establishments with 10 or more permanent employees. In 2000~2007, establishments with 5 or more","","","","","","","","","",
"     2008年後為全體受僱者，規模5人以上之事業單位。 ","","","","","","","      permanent employees. After 2008, establishments with 5 or more employees.","","","","","","","","","",
" (6)英國為非季節調整年平均資料。 ","","","","","","","  (6)U.K.: non-seasonal adjusted data.","","","","","","","","","",
" (7)中國為國有單位、城鎮集體單位和其他單位。 ","","","","","","","  (7)China: State-owned units, urban collective-owned units and other ownership units.","","","","","","","","","",
" ","   -404-","","","","","","","","","   -405-","","","","","","",
