" ","  表 15-5 主要國家罷工及停工","","","","","","","","","",""," Table 15-5 Strikes and Stoppages in Major Countries","","","","","","",""," ","  表 15-5 主要國家罷工及停工 (續)","","","","","",""," Table 15-5 Strikes and Stoppages in Major Countries(Cont.)  ˉ","","","","",
" ","","","","","","  單位：次、千人、千日","","","","","","","","",""," Unit：Numbers、1000 persons、1000 days","","",""," ","","","","","  單位：次、千人、千日","","","","",""," Unit：Numbers、1000 persons、1000 days","",
" ",""," 加拿大 (1) (2)  ˉ","","",""," 法　　國 (3) (4)  ˉ","","","","",""," 德　　國 (5)  ˉ","","",""," 義 大 利 (6)  ˉ","","",""," ","  日　　本 (2) (7)ˉ","","","  韓　　國 (2) (8)ˉ","","",""," 英　　國 (9)  ˉ","",""," 美　　國 (10) (11)  ˉ","",
" 年　　　別 ","","  Canada","","","","  France","","","","",""," Germany","","",""," Italy","","",""," 年　　　別 ","","  Japan","",""," Korea, Rep. of","",""," Germany","",""," Italy","",
" ","  次數","  人數"," 損失日數","  次數","","  人數",""," 損失日數",""," 次數",""," 人數"," 損失日數"," 次數",""," 人數",""," 損失日數",""," ","  次數","  人數"," 損失日數","  次數","  人數"," 損失日數"," 次數"," 人數"," 損失日數"," 次數"," 人數"," 損失日數",
" Year "," Number of","  Workers","  Working"," Number of",""," Workers",""," Working",""," Number of",""," Workers"," Working"," Number of",""," Workers",""," Working",""," Year "," Number of","  Workers","  Working"," Number of"," Workers"," Working"," Number of"," Workers"," Working"," Number of"," Workers"," Working",
" ","   disputes","  involved","  days lost","   disputes",""," involved",""," days lost","","   disputes",""," involved"," days lost","   disputes",""," involved",""," days lost",""," ","   disputes","  involved","  days lost","   disputes"," involved"," days lost","   disputes"," involved"," days lost","   disputes"," involved"," days lost",
"  74年  1985 ","829","162","3126","1901","","23","","727","",""," ...","78","35","1341","","4843","","3831","","  74年  1985 ","627","123","264","265","29","64","903","791","6402","54","324","7079",
"  75年  1986 ","748","484","7152","1391","","22","","568","",""," ...","116","28","1469","","3607","","5644","","  75年  1986 ","620","118","253","276","47","72","1074","720","1920","69","533","11861",
"  76年  1987 ","668","582","3811","1391","","19","","512","",""," ...","155","33","1149","","4273","","4606","","  76年  1987 ","474","101","256","3749","935","6947","1016","887","3546","46","174","4469",
"  77年  1988 ","548","207","4901","1852","","27","","1094","",""," ...","34","42","1769","","2712","","3315","","  77年  1988 ","498","75","174","1873","294","5401","781","790","3702","40","118","4381",
"  78年  1989 ","627","445","3701","2040","","20","","800","",""," ...","44","100","1297","","4452","","4436","","  78年  1989 ","362","86","219","1616","409","6351","701","727","4128","51","452","16530",
"  79年  1990 ","579","271","5079","1790","","19","","528","",""," ...","257","364","1094","","1634","","5181","","  79年  1990 ","284","84","145","322","134","4487","630","298","1903","44","185","5926",
