" ","  表 15-6 主要國家職業災害死亡率","","","","","","","","","","","  Table 15-6 Fatal Rates of Industrial Accident in Major Countries","","","","","","","","","","","","",""," 表 15-6 主要國家職業災害死亡率 (續) ","","","","","","","","","","","","","  Table 15-6 Fatal Rates of Industrial Accident in Major Countries(Cont.)","","","","","","","","","","","",
" ","","","","","","",""," 單位：千人率","","","","","","","","","","","","","","","","  Unit："," o / oo"," ","","","","","","","","","",""," 單位：千人率","","","","","","","","","","","","  Unit："," o / oo",
" ","  中華民國 (1) (2)ˉ","","","",""," 加拿大 (3) (4)  ˉ","","","","","  法　　國 (2) (5)ˉ","","","","","",""," 德　　國 (1) (6)  ˉ","","",""," 日　　本 (3)  ˉ","","",""," ","",""," 韓　　國 (2)  ˉ","","","","",""," 新 加 坡 (3)  ˉ","","","","",""," 英　　國 (1) (3) (7)  ˉ","","","","",""," 美　　國 (8)  ˉ","","","",
" 年　　　別 ","","  R.O.C.","","","","  Canada","","","","","","  France","","","","",""," Germany","","","","  Japan","","",""," 年　　　別 ","",""," Korea, R. O.","","","","",""," Singapore","","","","",""," United Kingdom","","","","",""," United States","","","",
" "," 全體產業","  製造業","  營造業"," 全體產業","","  製造業","","  營造業",""," 全體產業","","  製造業","","  營造業",""," 全體產業",""," 製造業"," 營造業","  全體產業","","  製造業","","  營造業",""," "," 全體產業","","  製造業","","  營造業",""," 全體產業","","  製造業","","  營造業",""," 全體產業",""," 製造業",""," 營造業",""," 全體產業",""," 製造業",""," 營造業","",
" Year ","  All of the","  Manufac-"," Construction"," All of the",""," Manufac-",""," Construction","","  All of the","","  Manufac-",""," Construction",""," All of the",""," Manufac-"," Construction","  All of the","","  Manufac-",""," Construction",""," Year ","  All of the","","  Manufac-",""," Construction",""," All of the",""," Manufac-",""," Construction",""," All of the","","","","",""," All of the","","","","","",
" ","   Industry","    turing","","  Industry","","   turing","","","","   Industry","","    turing","","","","  Industry","","   turing","","   Industry","","    turing","","",""," ","   Industry","","    turing","","","","  Industry","","   turing","","","","",""," Manufacturing",""," Construction","","",""," Manufacturing",""," Construction","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  Industry","","","","","","  Industry","","","","","",
"  76年  1987 ","0.142","0.079","0.265",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ...","  76年  1987 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
"  77年  1988 ","0.152","0.079","0.28",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ...","  77年  1988 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
"  78年  1989 ","0.138","0.082","0.306",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ...","  78年  1989 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
"  79年  1990 ","0.133","0.079","0.286",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ...","  79年  1990 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
"  80年  1991 ","0.12","0.061","0.255",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ...","  80年  1991 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
"  81年  1992 ","0.103","0.066","0.217",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ...","  81年  1992 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
"  82年  1993 ","0.093","0.071","0.183",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ...","  82年  1993 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
"  83年  1994 ","0.095","0.068","0.231",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ...","  83年  1994 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
"  84年  1995 ","0.083","0.055","0.208","0.056","","0.072","","0.19","","0.049","","0.039","","0.166","","0.042",""," ..."," ...","0.046","","0.032","","0.188","","  84年  1995 ","0.34","","0.22","","0.32","","0.105","","0.044","","0.295","","0.01","","0.011","","0.077","","0.049","","0.035","","0.147","",
"  85年  1996 ","0.095","0.084","0.211","0.052","","0.075","","0.206","","0.053","","0.04","","0.19","","0.04",""," ..."," ...","0.044","","0.031","","0.182","","  85年  1996 ","0.33","","0.23","","0.32","","0.117","","0.039","","0.334","","0.009","","0.013","","0.082","","0.048","","0.035","","0.14","",
"  86年  1997 ","0.093","0.076","0.259","0.061","","0.081","","0.203","","0.048","","0.04","","0.167","","0.037",""," ..."," ...","0.039","","0.027","","0.151","","  86年  1997 ","0.33","","0.25","","0.31","","0.156","","0.07","","0.376","","0.009","","0.013","","0.057","","0.048","","0.036","","0.141","",
"  87年  1998 ","0.084","0.063","0.254","0.057","","0.078","","0.223","","0.045","","0.038","","0.159","","0.034",""," ..."," ...","0.033","","0.024","","0.132","","  87年  1998 ","0.29","","0.22","","0.36","","0.08","","0.05","",""," ...","0.008","","0.016","","0.044","","0.045","","0.034","","0.146","",
"  88年  1999 ","0.085","0.078","0.203","0.058","","0.086","","0.216","","0.045","","0.038","","0.138","","0.034",""," ..."," ...","0.037","","0.028","","0.146","","  88年  1999 ","0.31","","0.24","","0.28","","0.065","","0.02","",""," ...","0.007","","0.01","","0.055","","0.045","","0.036","","0.14","",
"  89年  2000 ","0.077","0.063","0.223","0.034","","0.033","","0.104","","0.044","",""," ...",""," ...","0.031",""," ..."," ...","0.035","","0.027","","0.136","","  89年  2000 ","0.27","","0.25","","0.22","","0.066","",""," ...",""," ...","0.009","","0.012","","0.065","","0.043","","0.033","","0.129","",
"  90年  2001 ","0.069","0.067","0.21","0.033","","0.034","","0.118","","0.042","",""," ...",""," ...","0.03",""," ..."," ...","0.033","","0.028","","0.124","","  90年  2001 ","0.26","","0.24","",""," ...","0.053","",""," ...",""," ...","0.008","","0.013","","0.052","","0.043","","0.032","","0.133","",
"  91年  2002 ","0.065","0.059","0.188","0.032","","0.031","","0.112","","0.038","",""," ...",""," ...","0.029",""," ..."," ...","0.031","","0.024","","0.12","","  91年  2002 ","0.25","","0.22","",""," ...","0.055","",""," ...",""," ...","0.007","","0.012","","0.05","","0.04","","0.031","","0.122","",
"  92年  2003 ","0.05","0.041","0.175","0.029","","0.029","","0.104","","0.037","",""," ...",""," ...","0.028",""," ..."," ...",""," ...",""," ...",""," ...","  92年  2003 ","0.28","","0.26","",""," ...","0.047","",""," ...",""," ...","0.007","","0.008","","0.046","","0.04","","0.025","","0.117","",
"  93年  2004 ","0.044","0.03","0.131","0.029","","0.031","","0.101","","0.035","",""," ...",""," ...","0.026",""," ..."," ...",""," ...",""," ...",""," ...","  93年  2004 ","0.27","","0.23","",""," ...","0.049","",""," ...",""," ...","0.007","","0.012","","0.036","","0.041","","0.028","","0.119","",
"  94年  2005 ","0.045","0.038","0.172","0.03","","0.036","","0.109","","0.027","","0.026","","0.078","","0.024",""," ..."," ...",""," ...",""," ...",""," ...","  94年  2005 ","0.207","","0.213","","0.194","","0.04","",""," ...",""," ...","0.007","","0.011","","0.028","","0.04","","0.024","","0.11","",
"  95年  2006 ","0.038","0.035","0.161","0.027","","0.023","","0.096","","0.03","","0.031","","0.102","","0.025",""," ..."," ...",""," ...",""," ...",""," ...","  95年  2006 ","0.21","","0.2","","0.248","","0.031","","0.017","","0.094","","0.008","","0.011","","0.033","","0.042","","0.027","","0.112","",
"  96年  2007 ","0.034","0.033","0.122","0.023","","0.031","","0.082","","0.034","","0.037","","0.12","","0.022",""," ..."," ...",""," ...",""," ...",""," ...","  96年  2007 ","0.192","","0.195","","0.218","","0.029","","0.037","","0.081","","0.007","","0.009","","0.033","","0.04","","0.024","","0.108","",
"  97年  2008 ","0.036","0.035","0.13","0.027","","0.024","","0.087","","0.02","","0.02","","0.06","","0.02",""," ..."," ...",""," ...",""," ...",""," ...","  97年  2008 ","0.18","","0.194","","0.206","","0.028","","0.029","","0.069","","0.005","","0.009","","0.019","","0.037","","0.025","","0.097","",
"  98年  2009 ","0.034","0.028","0.128","0.021","","0.02","","0.084","",""," ...",""," ...",""," ...","0.016",""," ..."," ...",""," ...",""," ...",""," ...","  98年  2009 ","0.157","","0.176","","0.189","","0.029","","0.026","","0.081","","0.004","","0.009","","0.02","","0.035","","0.023","","0.099","",
"  99年  2010 ","0.03","0.029","0.097","0.022","","0.017","","0.08","",""," ...",""," ...",""," ...","0.018",""," ..."," ...",""," ...",""," ...",""," ...","  99年  2010 ","0.155","","0.193","","0.191","","0.022","","0.016","","0.081","","0.005","","0.01","","0.025","","0.036","","0.023","","0.098","",
" 100年  2011 ","0.033","0.036","0.125",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ..."," 100年  2011 ","0.147","","0.164","","0.201","","0.023","","0.031","","0.055","","0.005","","0.01","","0.019","","0.035","","0.022","","0.091","",
" 101年  2012 ","0.032","0.032","0.131",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ..."," 101年  2012 ","0.12","","0.144","","0.178","","0.021","","0.028","","0.059","","0.004","","0.008","","0.021","","0.034","","0.022","","0.099","",
" 102年  2013 ","0.03","0.028","0.12",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ..."," 102年  2013 ","0.125","","0.122","","0.221","","0.021","","0.014","","0.07","","0.004","","0.004","","0.024","","0.033","","0.021","","0.097","",
" 103年  2014 ","0.027","0.023","0.136",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ..."," 103年  2014 ","0.108","",""," ...",""," ...","0.018","","0.014","","0.055","","0.004","","0.006","","0.019","","0.034","","0.023","","0.098","",
" 104年  2015 ","0.026","0.02","0.117",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...","0.016",""," ..."," ...",""," ...",""," ...",""," ..."," 104年  2015 ","0.101","",""," ...",""," ...","0.019","","0.014","","0.054","",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
" 105年  2016 ","0.027","0.03","0.096",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ..."," ..."," ...",""," ...",""," ...",""," ..."," 105年  2016 ",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",""," ...",
" 資料來源： 勞動部「國際勞動統計」。 ","","","","","","","","",""," Source："," MOL-Foreign Labor Statistics.","","","","","","","","","","","","","",""," 附　　註： (7)以4月為當年之開始。 ","","","","","","","","","","","",""," Remark：  (7)Year beginning in April of year indicated.						","","","","","","","","","","","",
,,,,,,,,,,,,,,,,,,,,,,,,,," (8)2006 年後為相當於千人全時就業者職業災害死亡千人率，計算方式(職災死亡人數/全體就業者總工作時數) ","","","","","","","","","","","","","  (8)The rate represents the number of fatal occupational injuries for 1,000 full-time equivalent workers and was calculated","","","","","","","","","","","",
" 附　　註： (1)係職業傷害部分。 ","","","","","","","","",""," Remark：","  (1)Occupational injuries only.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
" (2)每千人投保者平均災害率。 ","","","","","","","","","","","  (2)Per 1,000 persons insured.","","","","","","","","","","","","","","","     ×2,000,000，其中全時勞工依每週工作40 小時，每年工作50 週推計年工時2,000 小時；2005年以前計算方式 ","","","","","","","","","","","","","      as (the number of fatal work injuries/ total hours worked by all employees during the calendar year)*2,000,000,","","","","","","","","","","","",
" (3)每千人受僱者平均災害率。 ","","","","","","","","","","","  (3)Per 1,000 persons employed.","","","","","","","","","","","","","","","     (職災死亡人數/全體就業者人數)。 ","","","","","","","","","","","","","      where 2,000,000 is the base for 1,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year).","","","","","","","","","","","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      Prior to 2006, the rate was calculated as (the number of fatal work injuries/ total employees)*1,000.","","","","","","","","","","","",
" (4)2000年以後資料配合 ILO資料系統同步修正。 ","","","","","","","","","","","  (4)Data series from 2000 adjusted follow by the ILO.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
" (5)不含公共燃氣及電力服務、食品貿易、鐵路及海上運輸及通訊。 ","","","","","","","","","","","  (5)Excl. agents of public gas and electricity services, food trade, transport by rail and by sea and communications.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
" (6)每千人全時受僱者平均災害率。 ","","","","","","","","","","","  (6)Per thousand full-time equivalent workers.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","   -410-","","","","","","","","","","","","","","","","  -411-","","","","","","",""," ","","","","  -412-","","","","","","","","","","","","","","  -413-","","","","","","",
