" 表 16-1 基金運用餘額 ","","","",""," Table 16-1  Fund Utilization Balance","","",
" ","","","  單位：千元","","","","  Unit：NT$1,000",
" ",""," 勞　工　保　險　基　金","","","  勞　工　退　休　基　金","","",
,,,," 就業保險基金","",""," 就業安定基金",
" 年   底   別 ",""," Labor insurance fund","","","  Labor pension","","",
" 合　　計 ",""," 普通事故保險"," 職業災害保險"," Employment"," 舊　　　制"," 新　　　制"," Employment",
" End of year ","","","",,,,,
,,,," insurance fund"," Old mechanism"," New mechanism"," security fund",
" "," Total"," Ordinary injury"," Occupational injury",,,,,
"  81年底  End of 1992 ","73589421","0","0","0","60593457","0","0",
"  82年底  End of 1993 ","92175948","0","0","0","70229890","0","0",
"  83年底  End of 1994 ","113922247","0","0","0","83254131","0","0",
"  84年底  End of 1995 ","134729528","118921507","15808022","0","89379301","0","0",
"  85年底  End of 1996 ","206145019","185705469","20439549","0","105061587","0","0",
"  86年底  End of 1997 ","281983253","260662103","21321150","0","121604570","0","7716823",
"  87年底  End of 1998 ","354267386","330246802","24020584","0","142413528","0","9784111",
"  88年底  End of 1999 ","411022592","389847712","21174880","0","177276158","0","12489554",
"  89年底  End of 2000 ","479515105","458280996","21234109","0","236842642","0","14224245",
"  90年底  End of 2001 ","520145333","498138989","22727522","0","261387148","0","14378116",
"  91年底  End of 2002 ","491190795","483226826","13963970","0","293048927","0","14883882",
"  92年底  End of 2003 ","461850815","446858940","14991875","44765000","329334224","0","17048651",
"  93年底  End of 2004 ","459723506","443570006","16153500","56642200","373847267","0","17984613",
"  94年底  End of 2005 ","427946868","411373116","16573752","69185193","391742648","28213610","16978310",
"  95年底  End of 2006 ","436307650","419927150","16380500","81429382","420109000","127768299","18716240",
"  96年底  End of 2007 ","427039748","409664948","17374800","93471047","458988409","234680505","20441422",
"  97年底  End of 2008 ","214447227","198180427","16266800","104972748","471619982","340315655","21484073",
"  98年底  End of 2009 ","296607797","280339197","16268600","58294618","496826265","472413673","19009091",
"  99年底  End of 2010 ","376717476","358815076","17902400","61804445","537809111","597374432","16606085",
" 100年底  End of 2011 ","451985985","434846585","17139400","71147576","562128221","742798131","15261443",
" 101年底  End of 2012 ","484531775","467729675","16802100","80061704","580045746","884124826","14438817",
" 102年底  End of 2013 ","527988811","510564811","17424000","88179644","601618839","1078776307","15500071",
" 103年底  End of 2014 ","622459080","604248597","18210483","96807151","631035378","1310203361","16857395",
" 104年底  End of 2015 ","657404248","638782293","18621955","103431862","659473910","1521272125","21875904",
" 105年底  End of 2016 ","696539062","676659626","19879436","110078677","818383740","1698179650","28437007",
" 資料來源： 勞動部勞動基金運用局、勞動力發展署及勞工保險局。 ","","",""," Source： Bureau of Labor Funds, MOL and Workforce Development Agency and Bureau of Labor Insurance.","","","",
" ","   -414-","","","","   -415-","","",
