 ¦~                §O 	¸gÀÙ¦¨ªø²v  (¹ê½è) (%)	¸û¤W¦~(¦P´Á)¼W´î¦Ê¤ÀÂI	¥­§¡¨C¤H°ê¤º¥Í²£¤òÃB(¬ü¤¸)	¹ï¤W¦~(¦P´Á)ÅÜ°Ê²v	¥X¤f¶T©ö­È(¦Ê¸U¬ü¤¸)	¹ï¤W¦~(¦P´Á)ÅÜ°Ê²v	¶i¤f¶T©ö­È(¦Ê¸U¬ü¤¸)	¹ï¤W¦~(¦P´Á)ÅÜ°Ê²v	¤u·~¥Í²£«ü¼Æ(100¦~ = 100)	¹ï¤W¦~(¦P´Á)ÅÜ°Ê²v	»s³y·~³Ò°Ê¥Í²£¤O«ü¼Æ(100¦~ = 100)	¹ï¤W¦~(¦P´Á)ÅÜ°Ê²v	»s³y·~³æ¦ì²£¥X³Ò°Ê¦¨¥»«ü¼Æ(100¦~ = 100)	¹ï¤W¦~(¦P´Á)ÅÜ°Ê²v
  67¦~  1978 	13.56	2.15	1606	20.75	12755	35.6	11047	29.45	 ...	 ...	 ...	 ...	 ...	 ÿ
  68¦~  1979 	8.83	-4.73	1950	21.42	16169	26.76	14798	33.96	 ...	 ...	 ...	 ...	 ...	 ...
  69¦~  1980 	8.04	-0.79	2389	22.51	19878	22.94	19760	33.53	 ...	 ...	 ...	 ...	 ...	 ...
  70¦~  1981 	7.11	-0.93	2721	13.9	22686	14.13	21235	7.46	 ...	 ...	 ...	 ...	 ...	 ...
  71¦~  1982 	4.8	-2.31	2700	-0.77	22297	-1.72	18923	-10.89	 ...	 ...	21.47	 ...	98.88	 ...
  72¦~  1983 	9.04	4.24	2904	7.56	25207	13.05	20316	7.36	 ...	 ...	23.1	7.59	97.32	-1.58
  73¦~  1984 	10.05	1.01	3225	11.05	30580	21.32	21994	8.26	 ...	 ...	23.04	-0.26	105.33	8.23
  74¦~  1985 	4.81	-5.24	3315	2.79	30819	0.78	20141	-8.43	 ...	 ...	23.58	2.34	110.66	5.06
  75¦~  1986 	11.52	6.71	4038	21.81	39931	29.57	24195	20.13	 ...	 ...	25.3	7.29	111.03	0.33
  76¦~  1987 	12.7	1.18	5350	32.49	53754	34.62	35001	44.66	 ...	 ...	26.99	6.68	113.68	2.39
