年別,總人口,15歲以上民間人口,勞動力計,勞動力就業者,勞動力失業者,非勞動力
  67年平均  Avg. 1978 ,16974,10784,6337,6231,106,4448
  68年平均  Avg. 1979 ,17307,11092,6515,6432,83,4577
  69年平均  Avg. 1980 ,17642,11378,6629,6547,82,4749
  70年平均  Avg. 1981 ,17974,11698,6764,6672,92,4934
  71年平均  Avg. 1982 ,18293,12013,6959,6811,149,5054
  72年平均  Avg. 1983 ,18603,12263,7266,7070,197,4996
  73年平均  Avg. 1984 ,18865,12544,7491,7308,183,5052
  74年平均  Avg. 1985 ,19132,12860,7651,7428,222,5210
  75年平均  Avg. 1986 ,19363,13161,7945,7733,212,5216
  76年平均  Avg. 1987 ,19559,13432,8183,8022,161,5248
  77年平均  Avg. 1988 ,19781,13696,8247,8107,139,5449
  78年平均  Avg. 1989 ,20008,13955,8390,8258,132,5565
  79年平均  Avg. 1990 ,20233,14219,8423,8283,140,5795
  80年平均  Avg. 1991 ,20456,14496,8569,8439,130,5927
  81年平均  Avg. 1992 ,20652,14771,8765,8632,132,6006
  82年平均  Avg. 1993 ,20841,15087,8874,8745,128,6213
  83年平均  Avg. 1994 ,21037,15401,9081,8939,142,6321
  84年平均  Avg. 1995 ,21217,15687,9210,9045,165,6478
  85年平均  Avg. 1996 ,21383,15932,9310,9068,242,6621
  86年平均  Avg. 1997 ,21569,16170,9432,9176,256,6738
  87年平均  Avg. 1998 ,21784,16448,9546,9289,257,6902
  88年平均  Avg. 1999 ,21957,16687,9668,9385,283,7020
  89年平均  Avg. 2000 ,22126,16963,9784,9491,293,7178
  90年平均  Avg. 2001 ,22281,17179,9832,9383,450,7347
  91年平均  Avg. 2002 ,22397,17387,9969,9454,515,7417
  92年平均  Avg. 2003 ,22493,17572,10076,9573,503,7495
  93年平均  Avg. 2004 ,22574,17760,10240,9786,454,7520
  94年平均  Avg. 2005 ,22651,17949,10371,9942,428,7578
  95年平均  Avg. 2006 ,22738,18166,10522,10111,411,7644
  96年平均  Avg. 2007 ,22821,18392,10713,10294,419,7679
  97年平均  Avg. 2008 ,22905,18623,10853,10403,450,7770
  98年平均  Avg. 2009 ,22977,18855,10917,10279,639,7937
  99年平均  Avg. 2010 ,23036,19062,11070,10493,577,7992
 100年平均  Avg. 2011 ,23077,19253,11200,10709,491,8053
 101年平均  Avg. 2012 ,23148,19436,11341,10860,481,8096
 102年平均  Avg. 2013 ,23218,19587,11445,10967,478,8142
 103年平均  Avg. 2014 ,23262,19705,11535,11079,457,8170
 104年平均  Avg. 2015 ,23320,19842,11638,11198,440,8204
 105年平均  Avg. 2016 ,23366,19962,11727,11267,460,8235
