,15歲以上之民間人口,勞動力總計,勞動力就業者,勞動力失業者,非勞動力,勞動力參與率(%)_105年平均,勞動力參與率(%)_103年平均,勞動力參與率(%)_104年平均,失業率(%)_105年平均,失業率(%)_103年平均,失業率(%)_104年平均
總計,19962,11727,11267,460,8235,58.75,58.54,58.65,3.92,3.96,3.78
新北市,3430,2027,1947,80,1402,59.1,59.2,59.2,3.9,3.9,3.7
臺北市,2316,1332,1280,52,984,57.5,57.2,57.3,3.9,4,3.8
桃園市,1774,1055,1012,42,719,59.5,59.9,59.6,4,4,3.9
臺中市,2318,1359,1307,52,959,58.6,59.2,59,3.8,3.9,3.8
臺南市,1624,996,957,39,629,61.3,60.5,61,3.9,4.1,3.8
高雄市,2391,1373,1318,54,1018,57.4,57.1,57.4,4,3.9,3.8
宜蘭縣,395,230,221,9,165,58.3,57.9,58,4,3.9,3.9
新竹縣,448,261,251,10,187,58.3,57.9,58.1,3.9,3.9,3.7
苗栗縣,476,278,268,11,198,58.5,57.8,57.9,3.9,4.1,3.8
彰化縣,1099,657,631,25,442,59.8,59.3,59.6,3.8,3.9,3.7
南投縣,440,262,252,10,177,59.7,59.6,59.5,3.9,4,3.8
雲林縣,603,357,343,14,246,59.2,58.4,58.5,3.8,3.9,3.8
嘉義縣,458,272,262,11,185,59.5,58.5,59.1,3.9,3.9,3.8
屏東縣,725,423,406,17,302,58.3,57.7,57.5,3.9,3.9,3.8
臺東縣,187,109,105,4,78,58.3,57.4,57.7,3.9,3.9,3.7
花蓮縣,282,157,151,6,125,55.5,55.4,55.7,3.9,3.8,3.7
澎湖縣,87,46,44,2,41,52.5,53.3,52.7,3.8,3.9,3.7
基隆市,327,186,179,7,141,57,56.5,56.2,4,4,3.9
新竹市,355,214,206,8,141,60.2,60.2,60.3,3.9,3.9,3.9
嘉義市,228,132,127,5,96,57.8,56.6,57.1,3.7,3.7,3.5
