年別,總計,教育程度_國中及以下,教育程度_高中職總計,教育程度_高中,教育程度_高職,教育程度_大專及以上總計,教育程度_專科,教育程度_大學,教育程度_研究所,年齡_15-24歲,年齡_25-44歲,年齡_45-64歲,年齡_65歲以上,性別_男,性別_女
  67年平均  Avg. 1978 ,6231,4660,1041,380,661,530,265,265, ...,1773,2885,1511,63,4183,2048
  68年平均  Avg. 1979 ,6432,4699,1157,408,749,576,289,287, ...,1775,3025,1566,65,4306,2126
  69年平均  Avg. 1980 ,6547,4588,1279,449,829,681,350,331, ...,1732,3159,1594,63,4357,2191
  70年平均  Avg. 1981 ,6672,4589,1358,475,883,726,376,350, ...,1700,3282,1622,67,4448,2224
  71年平均  Avg. 1982 ,6811,4587,1465,492,973,758,399,360, ...,1655,3433,1654,68,4509,2301
  72年平均  Avg. 1983 ,7070,4672,1584,495,1089,814,427,387, ...,1644,3649,1701,76,4561,2509
  73年平均  Avg. 1984 ,7308,4715,1711,523,1188,882,469,413, ...,1630,3845,1752,80,4661,2647
  74年平均  Avg. 1985 ,7428,4703,1797,533,1264,928,510,419, ...,1568,3989,1780,92,4719,2709
  75年平均  Avg. 1986 ,7733,4762,1971,560,1411,1001,548,452, ...,1588,4216,1824,105,4821,2912
  76年平均  Avg. 1987 ,8022,4779,2134,592,1542,1109,614,495, ...,1591,4440,1879,112,4966,3057
  77年平均  Avg. 1988 ,8107,4655,2260,636,1624,1193,661,532, ...,1506,4585,1909,107,5043,3064
  78年平均  Avg. 1989 ,8258,4603,2388,662,1726,1267,702,565, ...,1467,4741,1929,121,5149,3110
  79年平均  Avg. 1990 ,8283,4456,2473,704,1770,1354,758,596, ...,1375,4877,1911,120,5175,3108
  80年平均  Avg. 1991 ,8439,4460,2572,745,1826,1407,798,609, ...,1345,5057,1908,129,5274,3165
  81年平均  Avg. 1992 ,8632,4414,2691,745,1946,1527,884,643, ...,1310,5249,1941,132,5380,3252
  82年平均  Avg. 1993 ,8745,4265,2822,759,2064,1658,954,704, ...,1278,5357,1968,142,5422,3323
  83年平均  Avg. 1994 ,8939,4262,2925,774,2151,1751,1019,732, ...,1296,5480,2016,147,5511,3428
  84年平均  Avg. 1995 ,9045,4180,2999,767,2232,1866,1066,800, ...,1256,5552,2081,156,5558,3487
  85年平均  Avg. 1996 ,9068,3953,3095,786,2309,2019,1162,858, ...,1203,5576,2140,148,5508,3560
  86年平均  Avg. 1997 ,9176,3877,3110,805,2304,2189,1250,938, ...,1193,5597,2236,150,5562,3613
  87年平均  Avg. 1998 ,9289,3762,3214,854,2359,2313,1308,1005, ...,1167,5651,2320,150,5610,3679
  88年平均  Avg. 1999 ,9385,3609,3317,874,2443,2459,1394,1065, ...,1193,5649,2399,144,5624,3761
  89年平均  Avg. 2000 ,9491,3520,3375,877,2498,2596,1473,1123, ...,1189,5679,2480,145,5670,3821
  90年平均  Avg. 2001 ,9383,3318,3371,859,2512,2694,1525,1169, ...,1117,5595,2528,143,5553,3830
  91年平均  Avg. 2002 ,9454,3179,3424,857,2567,2851,1581,1271, ...,1070,5616,2614,155,5547,3907
  92年平均  Avg. 2003 ,9573,3063,3491,869,2622,3019,1628,1391, ...,1013,5673,2728,159,5579,3994
  93年平均  Avg. 2004 ,9786,2975,3592,883,2709,3220,1677,1542, ...,989,5768,2873,156,5680,4106
  94年平均  Avg. 2005 ,9942,2880,3605,873,2732,3458,1724,1733, ...,944,5837,3005,157,5753,4190
  95年平均  Avg. 2006 ,10111,2770,3631,865,2766,3711,1759,1951, ...,902,5925,3116,169,5810,4301
  96年平均  Avg. 2007 ,10294,2689,3680,886,2794,3925,1764,2161, ...,870,5973,3264,187,5868,4426
  97年平均  Avg. 2008 ,10403,2560,3667,881,2786,4176,1787,2389, ...,821,5999,3392,191,5902,4501
  98年平均  Avg. 2009 ,10279,2392,3551,859,2692,4336,1767,2568, ...,749,5906,3430,194,5776,4502
  99年平均  Avg. 2010 ,10493,2361,3583,871,2712,4549,1798,2752, ...,758,5963,3573,199,5880,4613
 100年平均  Avg. 2011 ,10709,2312,3645,894,2751,4752,1814,2286,652,763,6016,3732,197,6006,4702
 101年平均  Avg. 2012 ,10860,2268,3674,910,2764,4917,1812,2412,694,780,6020,3854,206,6083,4777
 102年平均  Avg. 2013 ,10967,2226,3661,908,2753,5080,1807,2538,735,782,6012,3954,219,6116,4851
 103年平均  Avg. 2014 ,11079,2124,3675,928,2747,5280,1805,2679,796,774,5985,4083,237,6166,4913
 104年平均  Avg. 2015 ,11198,2061,3692,946,2746,5445,1805,2800,841,796,5990,4162,250,6234,4964
 105年平均  Avg. 2016 ,11267,2009,3688,951,2737,5571,1801,2900,870,814,5968,4227,258,6267,5000
