年別,總計,總計百分比,農、林、漁、牧業,農、林、漁、牧業百分比,工業,工業百分比,服務業,服務業百分比
67年平均Avg.1978,6231,100,1553,24.92,2460,39.47,2219,35.61
68年平均Avg.1979,6432,100,1380,21.46,2676,41.61,2375,36.93
69年平均Avg.1980,6547,100,1277,19.5,2784,42.52,2487,37.98
70年平均Avg.1981,6672,100,1257,18.84,2828,42.39,2587,38.78
71年平均Avg.1982,6811,100,1284,18.86,2813,41.31,2713,39.84
72年平均Avg.1983,7070,100,1317,18.63,2909,41.15,2844,40.22
73年平均Avg.1984,7308,100,1286,17.59,3089,42.26,2934,40.14
74年平均Avg.1985,7428,100,1297,17.45,3088,41.57,3044,40.98
75年平均Avg.1986,7733,100,1317,17.03,3215,41.57,3201,41.39
76年平均Avg.1987,8022,100,1226,15.28,3431,42.76,3366,41.95
77年平均Avg.1988,8107,100,1113,13.73,3443,42.47,3551,43.8
78年平均Avg.1989,8258,100,1066,12.9,3476,42.09,3717,45.01
79年平均Avg.1990,8283,100,1064,12.85,3382,40.83,3837,46.32
80年平均Avg.1991,8439,100,1093,12.95,3370,39.93,3977,47.12
81年平均Avg.1992,8632,100,1065,12.34,3419,39.61,4148,48.06
82年平均Avg.1993,8745,100,1005,11.49,3418,39.08,4323,49.43
83年平均Avg.1994,8939,100,976,10.92,3506,39.22,4456,49.86
84年平均Avg.1995,9045,100,954,10.55,3504,38.74,4587,50.71
85年平均Avg.1996,9068,100,918,10.12,3399,37.49,4751,52.39
86年平均Avg.1997,9176,100,878,9.57,3502,38.17,4795,52.26
87年平均Avg.1998,9289,100,822,8.85,3523,37.92,4944,53.23
88年平均Avg.1999,9385,100,774,8.25,3492,37.21,5118,54.54
89年平均Avg.2000,9491,100,738,7.78,3534,37.23,5220,54.99
90年平均Avg.2001,9383,100,706,7.52,3432,36.58,5245,55.9
91年平均Avg.2002,9454,100,709,7.5,3388,35.84,5356,56.66
92年平均Avg.2003,9573,100,696,7.27,3398,35.49,5480,57.24
93年平均Avg.2004,9786,100,642,6.56,3514,35.9,5631,57.54
94年平均Avg.2005,9942,100,590,5.94,3619,36.4,5733,57.67
95年平均Avg.2006,10111,100,554,5.48,3700,36.59,5857,57.92
96年平均Avg.2007,10294,100,543,5.28,3788,36.8,5962,57.92
97年平均Avg.2008,10403,100,535,5.14,3832,36.84,6036,58.02
98年平均Avg.2009,10279,100,543,5.28,3684,35.85,6051,58.87
99年平均Avg.2010,10493,100,550,5.24,3769,35.92,6174,58.84
100年平均Avg.2011,10709,100,542,5.06,3892,36.34,6275,58.6
101年平均Avg.2012,10860,100,544,5.01,3935,36.23,6381,58.75
102年平均Avg.2013,10967,100,544,4.96,3965,36.16,6458,58.89
103年平均Avg.2014,11079,100,548,4.95,4004,36.14,6526,58.91
104年平均Avg.2015,11198,100,555,4.95,4035,36.03,6609,59.02
105年平均Avg.2016,11267,100,557,4.95,4043,35.88,6667,59.17
