年月別,就業者_資訊及通訊傳播業,受雇者_資訊及通訊傳播業,就業者_金融及保險業,受雇者_金融及保險業,就業者_不動產業,受雇者_不動產業,就業者_專業、科學及技術服務業,受雇者_專業、科學及技術服務業,就業者_支援服務業,受雇者_支援服務業,就業者_公共行政及國防；強制性社會安全,受雇者_公共行政及國防；強制性社會安全,就業者_教育服務業,受雇者_教育服務業,就業者_醫療保健及社會工作服務業,受雇者_醫療保健及社會工作服務業,就業者_藝術、娛樂及休閒服務業,受雇者_藝術、娛樂及休閒服務業,就業者_其他服務業,受雇者_其他服務業
90年平均Avg.2001,190,,373,,40,,202,,153,,315,,484,,268,,93,,496,
91年平均Avg.2002,191,,380,,41,,220,,158,,316,,488,,281,,107,,496,
92年平均Avg.2003,187,,378,,44,,224,,180,,352,,514,,292,,110,,497,
93年平均Avg.2004,195,,390,,55,,234,,183,,357,,538,,303,,114,,510,
94年平均Avg.2005,199,,406,,61,,258,,194,,336,,556,,323,,116,,513,
95年平均Avg.2006,209,,407,,66,,264,,205,,334,,563,,334,,111,,524,
96年平均Avg.2007,206,193,404,401,74,63,301,222,215,190,332,332,588,551,340,304,101,77,523,311
97年平均Avg.2008,203,192,411,407,74,65,317,241,231,208,343,343,605,567,355,319,98,75,528,309
98年平均Avg.2009,207,196,413,409,68,60,315,247,232,210,382,382,613,582,368,334,96,76,527,317
99年平均Avg.2010,208,196,428,424,75,66,325,255,236,216,389,389,619,588,386,354,98,80,532,327
100年平均Avg.2011,218,204,428,423,87,78,339,268,247,224,388,388,629,598,408,377,94,73,536,328
101年平均Avg.2012,228,213,426,422,90,80,342,267,260,236,384,384,630,596,420,386,95,73,541,327
102年平均Avg.2013,234,220,422,418,92,83,347,274,263,241,383,383,634,600,427,396,96,75,541,328
103年平均Avg.2014,241,228,416,412,98,90,354,280,273,252,378,378,645,613,432,403,95,73,543,338
104年平均Avg.2015,246,232,420,416,100,91,362,293,281,260,375,375,650,619,438,410,99,79,546,340
105年平均Avg.2016,249,234,424,420,100,90,368,297,286,263,374,374,652,620,444,415,103,81,547,342
1月Jan.,246,227,421,418,98,87,366,313,285,259,374,374,649,615,441,409,102,82,547,339
2月Feb.,245,232,422,418,98,89,365,304,286,262,374,374,649,615,442,412,102,78,546,342
3月Mar.,246,238,423,420,99,89,365,290,285,266,373,373,652,625,441,410,102,80,548,343
4月Apr.,245,238,422,420,99,88,366,287,284,260,373,373,654,625,442,413,102,84,547,352
5月May,245,231,422,416,99,89,365,287,285,257,374,374,656,617,444,419,103,82,546,351
6月June,247,235,423,416,99,90,366,293,286,263,373,373,654,620,445,422,104,77,548,358
7月July,249,239,425,420,100,93,368,299,287,268,372,372,651,624,445,424,106,75,547,350
8月Aug.,251,237,426,423,101,93,371,300,288,266,372,372,650,624,445,416,105,81,546,335
9月Sept.,250,230,425,423,102,94,370,301,286,263,373,373,652,621,444,408,103,85,545,329
10月Oct.,252,228,427,423,103,96,369,297,287,263,374,374,651,616,445,412,102,86,547,332
11月Nov.,253,234,428,423,103,89,369,290,288,263,374,374,652,617,446,417,102,86,549,338
12月Dec.,254,236,427,423,102,87,371,299,289,267,375,375,653,619,447,420,101,82,551,331
