年月別,總計_空缺人數,總計_空缺率,礦業及土石採取業_空缺人數,礦業及土石採取業_空缺率,製造業_空缺人數,製造業_空缺率,電力及燃氣供應業_空缺人數,電力及燃氣供應業_空缺率,用水供應及污染整治業_空缺人數,用水供應及污染整治業_空缺率,營造業_空缺人數,營造業_空缺率,批發及零售業_空缺人數,批發及零售業_空缺率,運輸及倉儲業_空缺人數,運輸及倉儲業_空缺率,住宿及餐飲業_空缺人數,住宿及餐飲業_空缺率
91年2月Feb.2002,164785,2.87,1,0.01,81181,3.44,8,0.03,182,0.85,12755,3.22,35021,2.54,1964,0.74,5800,3.87
8月Aug.,163319,2.79,15,0.19,82822,3.42,10,0.04,151,0.71,11954,3,32677,2.33,1540,0.58,5977,3.76
92年2月Feb.2003,158851,2.7,1,0.01,81122,3.35,2,0.01,59,0.28,11929,3.04,30011,2.13,1709,0.65,5998,3.67
8月Aug.,155455,2.61,1,0.01,80589,3.27,4,0.01,40,0.19,11356,2.94,29921,2.13,2051,0.79,6639,3.92
93年2月Feb.2004,156573,2.58,12,0.18,81670,3.26,160,0.57,42,0.2,10937,2.83,30584,2.16,1429,0.55,6337,3.46
8月Aug.,159373,2.55,9,0.14,81657,3.18,26,0.09,118,0.54,11441,2.85,30614,2.11,1689,0.64,7063,3.46
94年2月Feb.2005,162502,2.58,16,0.26,83393,3.26,27,0.1,67,0.32,11614,2.88,30970,2.11,1913,0.73,7145,3.43
8月Aug.,165162,2.58,19,0.33,84502,3.29,28,0.1,43,0.21,11479,2.75,32207,2.15,2561,0.98,7737,3.44
95年2月Feb.2006,166206,2.57,39,0.7,85284,3.31,35,0.13,56,0.26,11344,2.75,31865,2.11,2381,0.91,7837,3.29
8月Aug.,173963,2.64,43,0.82,88415,3.38,37,0.14,80,0.35,13948,3.22,30870,2.03,3186,1.2,7887,3.13
96年2月Feb.2007,176627,2.66,0,0,87769,3.37,27,0.1,51,0.21,11771,2.73,33404,2.19,3505,1.32,7441,2.88
8月Aug.,171431,2.54,26,0.54,80957,3.08,1566,5.35,341,1.34,12704,2.89,30707,2.01,2764,1.04,5768,2.16
97年2月Feb.2008,182324,2.69,46,0.94,83756,3.17,42,0.15,675,2.56,11811,2.72,29391,1.92,4197,1.58,6215,2.26
8月Aug.,146233,2.14,15,0.31,66261,2.51,843,2.91,403,1.54,9963,2.23,27651,1.79,2844,1.07,5682,1.99
98年2月Feb.2009,117659,1.79,5,0.11,51288,2.09,4,0.01,300,1.17,6860,1.63,19197,1.31,2628,1.03,3948,1.38
8月Aug.,136233,2.06,11,0.26,61242,2.5,402,1.39,313,1.22,9543,2.2,22443,1.53,2925,1.14,5644,1.94
99年2月Feb.2010,163318,2.43,6,0.14,76594,3.06,21,0.07,510,1.93,8076,1.86,26166,1.75,3449,1.34,7359,2.45
8月Aug.,195695,2.82,6,0.14,89622,3.43,244,0.85,349,1.3,11071,2.45,35137,2.3,4218,1.61,12839,4.07
100年2月Feb.2011,238074,3.37,30,0.73,107866,4.05,44,0.16,569,2.16,13334,2.94,40682,2.62,5330,2,12937,3.97
8月Aug.,194632,2.71,22,0.52,79371,2.94,33,0.12,589,2.18,11970,2.61,37255,2.36,4763,1.75,13496,3.99
101年2月Feb.2012,205606,2.85,26,0.61,83045,3.09,563,1.92,359,1.32,11778,2.57,38354,2.4,4728,1.75,13073,3.71
8月Aug.,179787,2.48,46,1.11,68895,2.55,49,0.17,731,2.66,10670,2.31,35731,2.22,4574,1.68,14396,3.96
102年2月Feb.2013,189373,2.61,53,1.34,74425,2.77,618,2.06,724,2.59,10982,2.37,36925,2.28,4421,1.61,13333,3.63
8月Aug.,190895,2.59,54,1.38,75513,2.77,43,0.15,512,1.81,11878,2.54,37678,2.31,5110,1.83,13623,3.64
103年2月Feb.2014,214759,2.9,52,1.36,86041,3.14,700,2.35,761,2.65,12060,2.57,39027,2.37,5278,1.89,14137,3.71
8月Aug.,238493,3.15,115,2.81,98308,3.5,71,0.24,957,3.33,13181,2.79,45358,2.72,6466,2.26,16298,4.11
104年2月Feb.2015,240269,3.17,53,1.34,95375,3.41,666,2.21,585,2.07,13137,2.8,44295,2.64,7000,2.44,16157,4.01
8月Aug.,199182,2.61,98,2.44,72704,2.6,82,0.27,739,2.57,11900,2.51,37942,2.26,6834,2.34,16247,3.96
105年2月Feb.2016,205272,2.69,81,2.11,75849,2.72,130,0.43,627,2.22,11479,2.44,37996,2.25,6074,2.07,16235,3.9
8月Aug.,207483,2.7,48,1.24,79892,2.84,99,0.32,1054,3.65,10716,2.27,38643,2.27,6709,2.28,16022,3.79
