年月別,資訊及通訊傳播業_空缺人數,資訊及通訊傳播業_空缺率,金融及保險業_空缺人數,金融及保險業_空缺率,不動產業_空缺人數,不動產業_空缺率,專業_、科學及技術服務業_空缺人數,專業_、科學及技術服務業_空缺率,支援服務業_空缺人數,支援服務業_空缺率,教育服務業_空缺人數,教育服務業_空缺率,醫療保健及社會工作服務業_空缺人數,醫療保健及社會工作服務業_空缺率,藝術、娛樂及休閒服務業_空缺人數,藝術、娛樂及休閒服務業_空缺率,其他服務業_空缺人數,其他服務業_空缺率
91年2月Feb.2002,3183,2.1,11881,3.3,313,0.56,2344,1.5,604,0.53,...,...,2029,1.09,196,0.71,7323,8.99
8月Aug.,2702,1.73,12859,3.63,182,0.32,2347,1.53,402,0.33,...,...,2078,1.07,136,0.43,7467,8.96
92年2月Feb.2003,4298,2.72,8018,2.27,110,0.19,3738,2.37,1962,1.44,...,...,2121,1.07,102,0.31,7671,8.87
8月Aug.,3554,2.2,6882,1.92,15,0.03,3304,2.03,2097,1.43,...,...,2079,1.01,253,0.72,6670,7.43
93年2月Feb.2004,3566,2.2,6906,1.9,161,0.26,3071,1.85,2165,1.34,...,...,2221,1.04,223,0.58,7089,7.59
8月Aug.,3681,2.21,7300,1.98,151,0.23,3555,2.04,2300,1.31,...,...,2613,1.17,295,0.69,6861,7.29
94年2月Feb.2005,3789,2.29,7297,1.95,890,1.27,3560,2.01,2532,1.39,...,...,2093,0.92,199,0.47,6997,7.27
8月Aug.,3371,1.98,7485,1.98,650,0.91,2906,1.61,2740,1.38,...,...,2277,0.95,182,0.39,6975,7.26
95年2月Feb.2006,3507,2.04,8020,2.12,923,1.24,2693,1.47,2910,1.4,...,...,1986,0.81,203,0.43,7123,7.49
8月Aug.,4162,2.42,7977,2.14,1220,1.54,3216,1.71,3140,1.32,...,...,2432,0.96,376,0.7,6974,7.24
96年2月Feb.2007,4206,2.46,8985,2.39,1923,2.35,3922,2.02,4135,1.59,...,...,2545,0.98,371,0.7,6572,7.05
8月Aug.,4540,2.66,5254,1.39,4053,4.6,3739,1.88,10137,3.53,...,...,3773,1.41,1259,2.12,3843,4.23
97年2月Feb.2008,5656,3.24,12301,3.16,4057,4.61,3688,1.81,11251,3.77,...,...,4825,1.77,959,1.72,3454,3.84
8月Aug.,4125,2.33,5154,1.36,4501,4.93,3227,1.55,8304,2.59,...,...,3894,1.4,880,1.49,2486,2.82
98年2月Feb.2009,3093,1.78,10594,2.84,3500,4.06,3235,1.57,5404,1.89,1321,1.8,3889,1.37,909,1.67,1484,1.79
8月Aug.,4221,2.4,4947,1.36,4349,4.85,3531,1.66,7477,2.44,1447,2.02,4275,1.48,962,1.71,2501,2.95
99年2月Feb.2010,4157,2.35,10406,2.84,3597,3.92,4151,1.93,11409,3.56,1280,1.79,4014,1.37,1005,1.72,1118,1.31
8月Aug.,4691,2.62,5325,1.47,5317,5.35,6238,2.75,8255,2.55,1899,2.6,4779,1.61,1701,2.78,4004,4.56
100年2月Feb.2011,5644,3.09,11837,3.19,5562,5.25,5890,2.53,15759,4.73,1384,1.91,5398,1.81,2090,3.66,3718,4.24
8月Aug.,5891,3.11,7258,1.95,5499,4.97,5937,2.47,8369,2.5,1993,2.69,5702,1.87,2257,3.72,4227,4.72
101年2月Feb.2012,6242,3.3,12933,3.43,5540,5.01,6367,2.62,9425,2.84,1482,1.99,6435,2.09,1823,3.14,3433,3.97
8月Aug.,4692,2.48,6585,1.78,4317,3.91,6078,2.49,8823,2.64,1864,2.53,7391,2.36,1288,2.2,3657,4.22
102年2月Feb.2013,5421,2.83,8369,2.23,5274,4.69,6050,2.45,8693,2.61,1831,2.51,6716,2.11,1502,2.64,4036,4.57
8月Aug.,5070,2.62,6091,1.64,4688,4,6600,2.64,8972,2.66,1766,2.41,7680,2.36,1932,3.21,3685,4.14
103年2月Feb.2014,5601,2.88,11725,3.08,5940,4.96,6991,2.77,10122,2.98,1882,2.55,8138,2.47,2067,3.64,4237,4.79
8月Aug.,5721,2.9,6823,1.82,6286,5.01,7225,2.8,14466,4.07,1675,2.3,8993,2.68,2140,3.71,4410,4.88
104年2月Feb.2015,6106,3.06,12497,3.23,6150,5.06,7325,2.84,13754,3.92,1864,2.51,9039,2.66,1840,3.24,4426,4.87
8月Aug.,6087,3,8192,2.13,5441,4.38,7006,2.68,9854,2.78,1837,2.46,8549,2.48,1795,3.07,3875,4.26
105年2月Feb.2016,6125,3,12338,3.17,5371,4.44,7087,2.69,9922,2.81,1551,2.07,8550,2.46,1883,3.24,3974,4.4
8月Aug.,6552,3.16,6784,1.77,5291,4.36,7946,2.98,11146,3.12,1859,2.48,8274,2.35,2050,3.41,4398,4.76
