年底別,總計_工會數,總計_團體會員數,總計_會員人數,總計_全國勞工工會組織率,工會聯合組織_企業及產業_工會數,工會聯合組織_企業及產業_團體會員數,工會聯合組織_職業_工會數,工會聯合組織_職業_團體會員數,工會聯合組織_綜合性_工會數,工會聯合組織_綜合性_團體會員數,企業工會_工會數,企業工會_會員人數,產業工會_工會數,產業工會_會員人數,職業工會_工會數,職業工會_會員人數
76年底Endof1987,2510,...,2099813,34.2,23,...,16,...,25,,1160,703526,0,0,1286,1396287
77年底Endof1988,3041,...,2260585,37.6,23,...,28,...,25,,1285,696515,0,0,1680,1564070
78年底Endof1989,3315,4254,2419664,38.1,23,680,39,448,25,3126,1345,698118,0,0,1883,1721546
79年底Endof1990,3524,4435,2756620,43.3,23,659,39,444,25,3332,1354,699372,0,0,2083,2057248
80年底Endof1991,3654,4560,2941766,48,23,652,39,493,25,3415,1350,692579,0,0,2217,2249187
81年底Endof1992,3657,4596,3058414,48.1,21,610,40,478,25,3508,1300,669083,0,0,2271,2389331
82年底Endof1993,3689,4654,3172116,49.5,20,595,40,525,25,3534,1271,651086,0,0,2333,2521030
83年底Endof1994,3706,4651,3277833,48.9,20,575,42,521,25,3555,1237,637095,0,0,2382,2640738
84年底Endof1995,3704,4475,3135875,46.6,20,562,42,518,25,3395,1204,598479,0,0,2413,2537396
85年底Endof1996,3700,4526,3048270,44.6,20,560,43,585,25,3381,1190,587559,0,0,2422,2460711
86年底Endof1997,3714,4549,2952883,42.2,20,540,46,609,25,3400,1196,588997,0,0,2427,2363886
87年底Endof1998,3732,4541,2921400,41.1,20,527,47,618,25,3396,1176,575606,0,0,2464,2345794
88年底Endof1999,3804,4560,2927361,40,20,512,50,649,25,3399,1175,613963,0,0,2534,2313398
89年底Endof2000,3836,4503,2868330,38.5,20,478,50,647,25,3378,1128,588832,0,0,2613,2279498
90年底Endof2001,3945,4716,2879627,39.4,22,452,75,882,31,3382,1091,584337,0,0,2726,2295290
91年底Endof2002,4120,4757,2866403,38.5,22,443,80,848,40,3466,1112,562234,0,0,2866,2304169
92年底Endof2003,4185,4791,2908077,38.4,23,440,82,850,49,3501,1111,559289,0,0,2920,2348788
93年底Endof2004,4317,4866,2970716,37.8,23,412,81,837,54,3617,1117,595001,0,0,3042,2375715
94年底Endof2005,4335,4862,2992469,37,25,379,81,838,60,3645,1034,619067,0,0,3135,2373402
95年底Endof2006,4500,4871,2984601,36,36,342,105,792,71,3737,995,580315,0,0,3293,2404286
96年底Endof2007,4574,4912,3026508,35.8,36,329,105,793,75,3790,982,573161,0,0,3376,2453347
97年底Endof2008,4663,5228,3043223,36.1,35,291,104,684,77,4253,959,523289,0,0,3488,2519934
98年底Endof2009,4759,5298,3177591,37.8,35,284,104,687,78,4327,947,518073,0,0,3595,2659518
99年底Endof2010,4924,5317,3216502,37.3,34,287,104,688,78,4342,890,520947,0,0,3818,2695555
100年底Endof2011,5042,5298,3321969,34.8,37,318,107,748,81,4232,889,529685,37,34785,3891,2757499
101年底Endof2012,5225,5270,3387524,34.9,40,309,106,668,87,4293,892,537419,84,51603,4016,2798502
102年底Endof2013,5285,5218,3362024,34.3,40,302,106,652,90,4264,884,551267,101,67807,4064,2742950
103年底Endof2014,5382,5213,3349521,33.7,41,302,108,653,98,4258,905,551367,142,72781,4088,2725373
104年底Endof2015,5424,5175,3350520,33.4,43,304,109,649,100,4222,909,547283,158,79217,4105,2724020
105年底Endof2016,5485,5178,3348702,33.2,43,308,108,623,104,4247,924,553815,179,79687,4127,2715200
