,總計_工會數,總計_團體會員數,總計_會員人數,總計_男,總計_女,企業及產業_工會數,企業及產業_團體會員數,職業_工會數,職業_團體會員數,綜合性_工會數,綜合性_團體會員數,企業工會_工會數,企業工會_會員人數,產業工會_工會數,產業工會_會員人數,職業工會_工會數,職業工會_會員人數
總計Grandtotal,5485,5178,3348702,1686886,1661816,43,308,108,623,104,4247,924,553815,179,79687,4127,2715200
本部MinistryofLabor,162,1075,172442,141064,31378,29,194,106,568,18,313,7,146556,0,0,2,25886
新北市NewTaipeiCity,422,238,449971,217658,232313,0,0,0,0,5,238,69,33451,29,24671,319,391849
臺北市TaipeiCity,569,263,539215,275702,263513,4,2,0,0,18,261,159,105705,50,823,338,432687
桃園市TaoyuanCity,481,403,204346,105974,98372,1,4,0,0,3,399,171,53238,6,4097,300,147011
臺中市TaichungCity,444,435,289808,139903,149905,0,0,0,0,5,435,51,22329,11,5513,377,261966
臺南市TainanCity,414,373,228153,105924,122229,0,0,0,0,5,373,52,22394,14,10360,343,195399
高雄市KaohsiungCity,856,694,469106,223179,245927,6,67,1,55,9,572,174,63427,38,18130,628,387549
宜蘭縣YilanCounty,208,155,88525,41204,47321,0,0,0,0,5,155,15,2497,1,32,187,85996
新竹縣HsinchuCounty,155,137,53186,26880,26306,0,0,0,0,2,137,38,9427,6,1655,109,42104
苗栗縣MiaoliCounty,145,114,49544,26577,22967,0,0,0,0,3,114,16,5118,2,86,124,44340
彰化縣ChanghwaCounty,221,245,134315,67741,66574,0,0,0,0,7,245,30,11044,4,1115,180,122156
南投縣NantouCounty,132,57,66770,29439,37331,0,0,0,0,1,57,4,751,3,3294,124,62725
雲林縣YunlinCounty,211,120,104802,53884,50918,2,0,0,0,2,120,18,13103,2,6588,187,85111
嘉義縣ChiayiCounty,122,95,57321,30119,27202,0,0,0,0,1,95,10,7111,0,0,111,50210
屏東縣PingtungCounty,169,95,106736,49034,57702,0,0,0,0,5,95,14,5323,1,2797,149,98616
臺東縣TaitungCounty,73,58,18474,8875,9599,0,0,0,0,1,58,2,467,3,249,67,17758
花蓮縣HwalienCounty,141,115,52326,23771,28555,0,0,1,0,1,115,13,2107,5,156,121,50063
澎湖縣PenghuCounty,24,20,7878,3564,4314,0,0,0,0,1,20,1,100,0,0,22,7778
基隆市KeelungCity,185,176,85864,39447,46417,0,0,0,0,6,176,14,3286,1,24,164,82554
新竹市HsinchuCity,165,160,72112,32744,39368,0,0,0,0,2,160,10,3964,2,64,151,68084
嘉義市ChiayiCity,119,88,54051,23400,30651,0,0,0,0,2,88,10,3020,1,33,106,50998
金門縣KinmenCounty,23,19,5171,3149,2022,0,0,0,0,1,19,5,930,0,0,17,4241
連江縣LienchiangCounty,3,2,201,148,53,0,0,0,0,1,2,1,82,0,0,1,119
加工出口區ExportProcessingZones,40,41,37343,16975,20368,1,41,0,0,0,0,39,37343,0,0,0,0
科學工業園區ScienceParks,1,0,1042,531,511,0,0,0,0,0,0,1,1042,0,0,0,0
