┏,羆璸_穦计,羆璸_穦计,笰狶寒穨_穦计,,膓穨のホ蹦穨_穦计,膓穨のホ蹦穨_穦计,籹硑穨_穦计,籹硑穨_穦计,筿縐穨_穦计,,犁硑穨_穦计,犁硑穨_穦计
81┏Endof1992,1300,669083,12,4271,15,2427,1040,421790,24,38841,9,15405
82┏Endof1993,1271,651086,12,4097,13,2031,1011,406121,23,39243,9,14517
83┏Endof1994,1237,637095,12,4031,12,1797,983,398051,23,37755,9,13768
84┏Endof1995,1204,598479,12,3990,14,1754,939,383930,24,38304,9,13525
85┏Endof1996,1190,587559,12,3931,14,1623,915,372713,24,37370,10,9452
86┏Endof1997,1196,588997,12,3786,13,1445,918,365904,24,37403,9,8641
87┏Endof1998,1176,575606,12,3741,10,1185,902,356491,23,36370,10,8748
88┏Endof1999,1175,613963,11,4168,9,1060,886,357185,23,35114,11,30294
89┏Endof2000,1128,588832,10,3353,8,1058,844,335178,21,35158,12,9954
90┏Endof2001,1091,584337,8,2747,5,454,797,321965,19,34593,12,9358
