,,批發、零售及餐飲業_工會數,,運輸、倉儲及通信業_工會數,,,金融、保險、及不動產業_會員人數,,工商服務業_會員人數,,社會服務及個人服務業_會員人數,公共行政業_工會數,公共行政業_會員人數
81年底Endof1992,,12,3284,110,166344,53,4616,2,1695,23,10410,0,0
82年底Endof1993,,12,3321,112,164472,51,4494,2,1642,26,11148,0,0
83年底Endof1994,,12,3326,114,161029,44,4793,3,1764,25,10781,0,0
84年底Endof1995,,16,4111,116,134460,45,5093,3,1945,26,11367,0,0
85年底Endof1996,,16,4274,116,132293,51,10702,5,2235,27,12966,0,0
86年底Endof1997,,16,4131,117,129802,56,22849,3,2056,28,12980,0,0
87年底Endof1998,,13,3039,119,128450,55,22507,3,1919,28,13104,1,52
88年底Endof1999,,13,2988,117,128948,64,34658,3,1988,30,13669,8,3891
89年底Endof2000,,15,3197,111,127228,54,53115,3,1867,33,13215,17,5509
90年底Endof2001,,14,2731,113,127390,56,56947,3,1356,43,19082,21,7714
