,總計_工會數,總計_會員人數,農、林、漁、牧業_工會數,農、林、漁、牧業_會員人數,礦業及土石採取業_工會數,礦業及土石採取業_會員人數,製造業_工會數,製造業_會員人數,電力及燃氣供應業_工會數,電力及燃氣供應業_會員人數,用水供應及污染整治業_工會數,用水供應及污染整治業_會員人數,營建工程業_工會數,營建工程業_會員人數,批發及零售業_工會數,批發及零售業_會員人數,運輸及倉儲業_工會數,運輸及倉儲業_會員人數,住宿及餐飲業_工會數,住宿及餐飲業_會員人數
總計Grandtotal,1103,633502,9,1329,10,2437,571,286627,15,30987,6,1972,13,4429,23,2482,117,64955,8,1640
本部,7,146556,0,0,0,0,1,34015,1,27550,0,0,1,0,0,0,3,27913,0,0
MinistryofLabor,,,,,,,,,,,,,,,,,,,,
新北市NewTaipeiCity,98,58122,0,0,0,0,40,22098,3,296,2,464,1,32,8,620,11,5406,2,164
臺北市TaipeiCity,209,106528,0,0,3,45,23,11098,1,302,2,1073,7,3588,4,898,27,10758,2,581
桃園市TaoyuanCity,177,57335,0,0,0,0,147,47755,0,0,0,0,1,38,0,0,12,4039,2,682
臺中市TaichungCity,62,27842,1,92,0,0,35,16592,0,0,0,0,1,34,3,192,7,1698,0,0
臺南市TainanCity,66,32754,0,0,3,276,41,21189,0,0,0,0,0,0,0,0,3,471,0,0
高雄市KaohsiungCity,212,81557,0,0,2,388,97,38588,5,1838,0,0,2,737,5,646,30,6834,2,213
宜蘭縣YilanCounty,16,2529,1,153,0,0,10,2167,0,0,0,0,0,0,0,0,1,52,0,0
新竹縣HsinchuCounty,44,11082,0,0,0,0,35,9029,1,134,0,0,0,0,1,43,1,65,0,0
苗栗縣MiaoliCounty,18,5204,0,0,0,0,14,5075,0,0,0,0,0,0,0,0,0,0,0,0
彰化縣ChanghwaCounty,34,12159,0,0,0,0,24,9194,1,138,1,318,0,0,1,53,3,1646,0,0
南投縣NantouCounty,7,4045,1,185,0,0,4,928,0,0,0,0,0,0,0,0,0,0,0,0
雲林縣YunlinCounty,20,19691,0,0,1,1679,14,14754,2,652,0,0,0,0,0,0,2,121,0,0
嘉義縣ChiayiCounty,10,7111,0,0,1,49,9,7062,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣PingtungCounty,15,8120,2,277,0,0,8,2199,0,0,0,0,0,0,0,0,3,2772,0,0
臺東縣TaitungCounty,5,716,1,143,0,0,2,467,1,77,0,0,0,0,0,0,0,0,0,0
花蓮縣HwalienCounty,18,2263,1,129,0,0,9,1718,0,0,0,0,0,0,0,0,1,46,0,0
澎湖縣PenghuCounty,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
基隆市KeelungCity,15,3310,0,0,0,0,6,1024,0,0,0,0,0,0,0,0,7,2192,0,0
新竹市HsinchuCity,12,4028,1,190,0,0,5,1330,0,0,0,0,0,0,1,30,2,547,0,0
嘉義市ChiayiCity,11,3053,1,160,0,0,4,1217,0,0,0,0,0,0,0,0,2,208,0,0
金門縣KinmenCounty,5,930,0,0,0,0,2,661,0,0,1,117,0,0,0,0,1,87,0,0
連江縣LienchiangCounty,1,82,0,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0
加工出口區ExportProcessingZones,39,37343,0,0,0,0,39,37343,0,0,0,0,0,0,0,0,0,0,0,0
科學工業園區ScienceParks,1,1042,0,0,0,0,1,1042,0,0,0,0,0,0,0,0,0,0,0,0
