,出版、影音製作、傳播及資通訊服務業_工會數,出版、影音製作、傳播及資通訊服務業_會員人數,金融及保險業_工會數,金融及保險業_會員人數,不動產業_工會數,不動產業_會員人數,專業、科學及技術服務業_工會數,專業、科學及技術服務業_會員人數,支援服務業_工會數,支援服務業_會員人數,公共行政及國防；強制性社會安全_工會數,公共行政及國防；強制性社會安全_會員人數,教育業_工會數,教育業_會員人數,醫療保健及社會工作服務業_工會數,醫療保健及社會工作服務業_會員人數,藝術、娛樂及休閒服務業_工會數,藝術、娛樂及休閒服務業_會員人數,其他服務業_工會數,其他服務業_會員人數
總計Grandtotal,44,66990,66,66238,3,104,14,2072,7,147,48,21897,43,67364,26,6167,22,1059,58,4606
本部MinistryofLabor,1,57078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新北市NewTaipeiCity,2,1308,2,179,1,104,1,33,0,0,5,2667,11,23473,1,38,4,317,4,923
臺北市TaipeiCity,31,4962,46,59395,2,0,6,1531,4,0,10,10857,11,322,9,354,7,279,14,485
桃園市TaoyuanCity,1,33,0,0,0,0,1,50,1,30,5,529,1,3945,0,0,1,57,5,177
臺中市TaichungCity,1,43,3,1838,0,0,1,41,0,0,2,1929,3,5146,1,42,2,83,2,112
臺南市TainanCity,2,687,0,0,0,0,1,118,1,72,0,0,2,9300,2,142,3,139,8,360
高雄市KaohsiungCity,3,2021,10,2857,0,0,2,78,1,45,21,5476,4,15140,10,4314,2,92,16,2290
宜蘭縣YilanCounty,0,0,0,0,0,0,0,0,0,0,2,69,0,0,1,56,0,0,1,32
新竹縣HsinchuCounty,1,50,0,0,0,0,1,221,0,0,0,0,2,1459,1,41,0,0,1,40
苗栗縣MiaoliCounty,0,0,1,43,0,0,1,0,0,0,0,0,1,33,0,0,0,0,1,53
彰化縣ChanghwaCounty,1,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,37
南投縣NantouCounty,0,0,0,0,0,0,0,0,0,0,0,0,1,2932,0,0,0,0,1,0
雲林縣YunlinCounty,0,0,0,0,0,0,0,0,0,0,0,0,1,2485,0,0,0,0,0,0
嘉義縣ChiayiCounty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣PingtungCounty,0,0,0,0,0,0,0,0,0,0,1,75,1,2797,0,0,0,0,0,0
臺東縣TaitungCounty,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
花蓮縣HwalienCounty,0,0,1,0,0,0,0,0,0,0,0,0,2,245,0,0,2,62,2,63
澎湖縣PenghuCounty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
基隆市KeelungCity,0,0,0,0,0,0,0,0,0,0,1,70,1,24,0,0,0,0,0,0
新竹市HsinchuCity,0,0,1,1867,0,0,0,0,0,0,0,0,1,30,0,0,0,0,1,34
嘉義市ChiayiCity,0,0,1,30,0,0,0,0,0,0,1,225,1,33,1,1180,0,0,0,0
金門縣KinmenCounty,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
連江縣LienchiangCounty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加工出口區ExportProcessingZones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
科學工業園區ScienceParks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
