,團體協約_總計,團體協約_公營_總計,團體協約_民營_總計,團體協約_企業_總計,團體協約_公營,團體協約_民營,團體協約_職業_總計,團體協約_公營,團體協約_民營,勞資會議_總計,勞資會議_公營,勞資會議_民營
79年底,289,...,...,283,...,...,6,...,...,806,...,...
80年底,302,...,...,295,...,...,7,...,...,851,...,...
81年底,306,116,190,299,115,184,7,1,6,914,430,484
82年底,292,112,180,287,112,175,5,0,5,932,440,492
83年底,296,117,179,290,117,173,6,0,6,970,473,497
84年底,287,119,168,282,119,163,5,0,5,980,457,523
85年底,289,117,172,284,117,167,5,0,5,994,458,536
86年底,297,121,176,293,121,172,4,0,4,1013,451,562
87年底,300,122,178,296,122,174,4,0,4,1052,491,561
88年底,301,123,178,297,123,174,4,0,4,1296,547,749
89年底,301,121,180,297,121,176,4,0,4,1943,646,1297
90年底,309,126,183,305,126,179,4,0,4,2617,684,1933
91年底,283,108,175,281,108,173,2,0,2,2701,630,2071
92年底,274,100,174,272,100,172,2,0,2,3429,665,2764
93年底,260,98,162,241,87,154,19,11,8,5813,1260,4553
94年底,255,82,173,236,71,165,19,11,8,6804,1446,5358
95年底,75,16,59,73,16,57,2,0,2,7494,429,7065
96年底,71,15,56,69,15,54,2,0,2,16607,441,16166
97年底,60,14,46,59,14,45,1,0,1,22115,466,21649
98年底,43,12,31,42,12,30,1,0,1,24164,492,23672
99年底,43,13,30,42,13,29,1,0,1,28953,505,28448
