,團體協約_總計,團體協約_企業,團體協約_產業,團體協約_職業,團體協約_其他,勞資會議_總計,勞資會議_公營,勞資會議_民營
100年底,67,62,4,1,0,34423,532,33891
101年底,83,77,5,1,0,38541,576,37965
102年底,101,94,6,1,0,42773,577,42196
103年底,300,106,3,191,0,48769,609,48160
104年底,664,131,342,191,0,56205,659,55546
105年底,698,161,342,195,0,66003,684,65319
本部MinistryofLabor,3,3,0,0,0,0,0,0
新北市NewTaipeiCity,9,8,1,0,0,13403,35,13368
臺北市TaipeiCity,37,36,0,1,0,3915,121,3794
桃園市TaoyuanCity,16,16,0,0,0,9462,63,9399
臺中市TaichungCity,8,8,0,0,0,12747,94,12653
臺南市TainanCity,37,35,1,1,0,5537,44,5493
高雄市KaohsiungCity,565,34,339,192,0,5345,113,5232
其他縣市OtherCities,17,15,1,1,0,14880,214,14666
加工出口區ExportProcessingZones,6,6,0,0,0,170,0,170
科學工業園區ScienceParks,0,0,0,0,0,544,0,544
