,團體協約_總計,團體協約_企業,團體協約_產業,團體協約_職業,團體協約_其他,勞資會議_總計,勞資會議_公營,勞資會議_民營
總計Grandtotal,698,161,342,195,0,66003,684,65319
本部MinistryofLabor,3,3,0,0,0,0,0,0
新北市NewTaipeiCity,9,8,1,0,0,13403,35,13368
臺北市TaipeiCity,37,36,0,1,0,3915,121,3794
桃園市TaoyuanCity,16,16,0,0,0,9462,63,9399
臺中市TaichungCity,8,8,0,0,0,12747,94,12653
臺南市TainanCity,37,35,1,1,0,5537,44,5493
高雄市KaohsiungCity,565,34,339,192,0,5345,113,5232
宜蘭縣YilanCounty,0,0,0,0,0,655,16,639
新竹縣HsinchuCounty,3,3,0,0,0,904,0,904
苗栗縣MiaoliCounty,0,0,0,0,0,1128,20,1108
彰化縣ChanghwaCounty,2,1,0,1,0,6211,27,6184
南投縣NantouCounty,0,0,0,0,0,775,10,765
雲林縣YunlinCounty,1,0,1,0,0,1136,3,1133
嘉義縣ChiayiCounty,1,1,0,0,0,970,22,948
屏東縣PingtungCounty,6,6,0,0,0,936,7,929
臺東縣TaitungCounty,0,0,0,0,0,147,22,125
花蓮縣HwalienCounty,2,2,0,0,0,447,21,426
澎湖縣PenghuCounty,0,0,0,0,0,42,11,31
基隆市KeelungCity,1,1,0,0,0,210,17,193
新竹市HsinchuCity,1,1,0,0,0,882,9,873
嘉義市ChiayiCity,0,0,0,0,0,373,14,359
金門縣KinmenCounty,0,0,0,0,0,28,2,26
連江縣LienchiangCounty,0,0,0,0,0,36,13,23
加工出口區ExportProcessingZones,6,6,0,0,0,170,0,170
科學工業園區ScienceParks,0,0,0,0,0,544,0,544
