Year,爭議件數,爭議件數,爭議類別_契約爭議,爭議類別_契約爭議,爭議類別_契約終止,"爭議類別_資遣費	",,工資爭議,工資爭議,,工資爭議_工資內容,,工資爭議_積欠工資,,工資爭議_加班費及假日工時,,工時爭議,
78年1989,1943,"1,943",710,710,...,...,...,...,489,489,...,...,...,...,...,...,29,29ˉ
79年1990,1860,"1,860",788,788,...,...,...,...,418,418,...,...,...,...,...,...,12,12ˉ
80年1991,1810,"1,810",836,836,...,...,...,...,528,528,...,...,...,...,...,...,20,20ˉ
81年1992,1803,"1,747",848,828,...,...,...,...,557,542,...,...,...,...,...,...,9,8ˉ
82年1993,1878,"1,856",852,844,...,...,...,...,548,545,...,...,...,...,...,...,43,42ˉ
83年1994,2061,"2,021",931,912,322,319,572,557,643,635,54,51,487,483,115,112,27,27ˉ
84年1995,2271,"2,211",962,934,321,316,585,565,761,747,38,36,655,647,70,66,17,15ˉ
85年1996,2659,"2,581",1271,"1,228",409,402,830,804,891,874,30,28,767,753,81,81,15,13ˉ
86年1997,2600,"2,532",1172,"1,139",457,442,678,660,738,725,58,54,601,593,74,74,18,17ˉ
87年1998,4138,"4,043",1945,"1,890",844,829,1135,"1,101",1321,"1,293",119,115,1061,"1,039",122,118,36,36ˉ
88年1999,5860,"5,806",2976,"2,941",1209,"1,201",1915,"1,893",1953,"1,942",149,145,1615,"1,609",200,199,28,28ˉ
89年2000,8026,"6,579",3921,"3,155",1380,"1,194",2772,"2,137",3127,"2,611",187,148,2622,"2,197",360,299,63,51ˉ
90年2001,10955,"7,405",6187,"4,196",1682,"1,263",4779,"3,064",3895,"2,727",279,179,3215,"2,248",385,307,117,83ˉ
91年2002,14017,"9,392",7514,"5,048",1803,"1,162",5999,"3,939",6190,"4,256",886,612,4941,"3,313",684,495,185,126ˉ
92年2003,12204,"6,892",6427,"3,640",1446,744,4860,"2,858",5536,"3,042",1077,783,4126,"2,064",585,356,120,82ˉ
93年2004,10838,"5,827",4851,"2,709",1238,806,3769,"2,009",5289,"2,543",877,593,4186,"1,828",557,237,169,138ˉ
94年2005,14256,"8,173",6732,"4,086",1309,"1,028",5275,"2,991",6456,"3,391",815,489,5468,"2,776",579,313,204,167ˉ
95年2006,15464,"10,105",6669,"4,429",1356,"1,046",5216,"3,237",7584,"4,703",872,556,6437,"3,886",723,440,235,203ˉ
96年2007,19729,"10,188",8668,"4,763",1626,"1,041",6972,"3,534",10034,"4,781",1448,893,8303,"3,667",1036,531,380,295ˉ
