Year,退休爭議,,退休爭議_退休金給付,,福利爭議,,福利爭議_年終獎金,,勞保爭議,,勞保爭議_保險給付,,管理爭議,,職災爭議,,安全衛生爭議,,,,,,,,,,,,,,,,,,,,,,
78年1989,234,234,...,...,64,64,...,...,88,88,...,...,67,67,206,206ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
79年1990,202,202,...,...,29,29,...,...,87,87,...,...,55,55,191,191ˉ,1,1,,,,,,,,,,,,,,,,,,,,,
80年1991,210,210,...,...,51,51,...,...,111,111,...,...,58,58,233,233ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
81年1992,185,179,...,...,52,52,...,...,91,84,...,...,68,64,224,216ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
82年1993,207,205,...,...,61,61,...,...,121,120,...,...,73,73,234,225ˉ,1,1,,,,,,,,,,,,,,,,,,,,,
83年1994,210,206,150,148,55,54,31,31ˉ,105,100,60,58ˉ,64,59,295,288ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
84年1995,257,246,192,184,50,49,30,29ˉ,100,92,55,50ˉ,90,84,272,265ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
85年1996,239,225,170,160,32,31,25,24ˉ,98,90,57,52ˉ,62,60,262,254ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
86年1997,251,243,182,177,24,24,18,18ˉ,100,93,50,45ˉ,64,62,367,356ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
87年1998,306,300,238,233,67,67,39,39ˉ,121,114,52,48ˉ,81,81,493,483ˉ,1,1,,,,,,,,,,,,,,,,,,,,,
88年1999,363,358,275,273,56,56,28,28ˉ,125,120,63,59ˉ,103,103,656,651ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
89年2000,512,404,424,339,100,84,60,50ˉ,196,144,85,64ˉ,134,121,850,713ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
90年2001,613,403,525,357,93,79,47,45ˉ,230,153,86,65ˉ,199,127,814,554ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
91年2002,643,425,533,356,280,236,153,138ˉ,427,304,160,110ˉ,308,220,824,534ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
92年2003,507,335,428,283,234,186,140,127ˉ,322,180,124,63ˉ,198,148,866,565ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
93年2004,461,307,384,241,236,185,100,65ˉ,357,248,107,79ˉ,159,121,922,564ˉ,1,1,,,,,,,,,,,,,,,,,,,,,
94年2005,762,485,630,383,258,205,102,70ˉ,414,303,117,90ˉ,184,130,1144,736ˉ,7,6,,,,,,,,,,,,,,,,,,,,,
95年2006,610,394,504,329,221,177,98,76ˉ,535,417,110,83ˉ,228,169,1221,861ˉ,0,0,,,,,,,,,,,,,,,,,,,,,
96年2007,766,493,582,375,348,238,179,135ˉ,817,522,172,104ˉ,216,153,1393,861ˉ,3,3,,,,,,,,,,,,,,,,,,,,,
