,爭議件數,主要爭議類別_契約爭議,主要爭議類別_工資爭議,主要爭議類別_給付資遣費爭議,主要爭議類別_給付退休金爭議,主要爭議類別_勞工保險給付爭議,主要爭議類別_職業災害補償爭議,主要爭議類別_工會身分保護爭議,主要爭議類別_休假爭議,主要爭議類別_其他權利,主要爭議類別_調整工資爭議,主要爭議類別_結算年資爭議,主要爭議類別_調整工時爭議,主要爭議類別_其他調整爭議,爭議人數,處理方式_協調,處理方式_調解,處理方式_仲裁
總計Grandtotal,25587,1511,11355,6348,1379,471,1854,6,175,2379,24,1,8,76,36582,269,25056,12
本部MinistryofLabor,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
新北市NewTaipeiCity,4266,255,2124,1020,278,74,214,0,13,270,3,0,2,13,5707,0,4217,4
臺北市TaipeiCity,4451,338,2318,889,192,120,149,1,52,360,6,1,0,25,6257,0,4360,0
桃園市TaoyuanCity,3018,202,1349,752,216,75,222,3,21,166,5,0,1,6,4707,0,2936,0
臺中市TaichungCity,3389,117,1631,788,134,23,238,0,55,395,0,0,0,8,4385,0,3403,5
臺南市TainanCity,1769,68,583,601,93,20,164,0,7,227,0,0,1,5,2642,0,1737,0
高雄市KaohsiungCity,3820,255,1528,897,187,68,362,0,11,502,2,0,2,6,5106,0,3826,1
宜蘭縣YilanCounty,370,17,160,100,27,6,44,0,1,14,1,0,0,0,627,0,361,0
新竹縣HsinchuCounty,655,43,212,195,32,16,39,1,7,110,0,0,0,0,1136,0,658,1
苗栗縣MiaoliCounty,343,17,107,122,16,3,37,0,0,33,4,0,2,2,561,6,324,0
彰化縣ChanghwaCounty,804,27,354,217,73,8,79,0,3,41,1,0,0,1,1016,0,796,0
南投縣NantouCounty,156,12,73,43,3,7,10,0,0,8,0,0,0,0,179,1,155,0
雲林縣YunlinCounty,247,6,84,69,19,2,39,0,0,27,0,0,0,1,369,0,245,0
嘉義縣ChiayiCounty,296,14,123,81,10,1,49,0,0,18,0,0,0,0,459,0,301,0
屏東縣PingtungCounty,454,22,111,149,32,13,68,0,0,57,0,0,0,2,706,0,455,0
臺東縣TaitungCounty,59,1,21,14,0,0,11,0,0,11,0,0,0,1,95,0,64,0
花蓮縣HwalienCounty,273,10,111,70,9,6,41,0,1,25,0,0,0,0,377,0,274,0
澎湖縣PenghuCounty,22,1,15,4,0,0,0,0,0,1,1,0,0,0,136,0,21,0
基隆市KeelungCity,255,29,100,79,19,7,20,1,0,0,0,0,0,0,383,0,249,0
新竹市HsinchuCity,285,9,125,89,17,9,18,0,0,18,0,0,0,0,383,0,285,0
嘉義市ChiayiCity,367,18,164,90,17,6,18,0,1,53,0,0,0,0,476,254,121,0
金門縣KinmenCounty,2,0,0,1,0,0,1,0,0,0,0,0,0,0,105,0,2,0
連江縣LienchiangCounty,3,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0
加工出口區ExportProcessingZones,74,19,10,18,0,2,9,0,0,16,0,0,0,0,129,6,65,0
科學工業園區ScienceParks,208,31,51,58,5,5,22,0,3,27,1,0,0,5,632,2,198,0
