,總計,,農、林、漁、牧業,,礦業及土石採取業,,製造業,,水電燃氣業,,營造業,
81年1992,1803,"1,747",16,16,17,17,1214,1170,7,7,104,102
82年1993,1878,"1,856",12,11,17,16,1214,1199,6,6,156,155
83年1994,2061,"2,021",9,9,20,20,1269,1243,6,6,166,164
84年1995,2271,"2,211",4,4,18,18,1284,1248,8,8,227,222
85年1996,2659,"2,581",6,5,15,15,1424,1374,15,13,280,277
86年1997,2600,"2,532",8,8,9,9,1492,1446,2,1,229,229
87年1998,4138,"4,043",15,14,16,16,2076,2010,19,19,306,301
88年1999,5860,"5,806",24,24,10,10,2498,2471,12,12,450,443
89年2000,8026,"6,579",19,18,9,5,3325,2562,9,8,572,489
90年2001,10955,"7,405",34,22,22,19,4692,2844,36,25,631,439
