,批發、零售及餐飲業,,運輸、倉儲及通信業,,金融、保險及不動產業,,工商服務業,,社會服務及個人服務業,,公共行政業,
81年1992,127,125,,,81,80,,,89,86,0,0
82年1993,132,130,,,80,79,,,108,108,0,0
83年1994,202,198,,,84,83,,,148,144,0,0
84年1995,263,254,196,194,36,32,78,77,152,150,5,4
85年1996,312,306,237,233,46,44,141,137,177,171,6,6
86年1997,236,228,270,267,38,36,99,96,214,209,3,3
87年1998,506,497,367,363,139,138,266,266,415,406,13,13
88年1999,1074,"1,071",485,482,147,147,444,439,698,689,18,18
89年2000,1541,"1,310",536,477,216,198,756,651,1013,832,30,29
90年2001,1864,"1,405",632,469,234,185,1248,889,1533,"1,082",29,26
