年別,提撥勞工教育經費,班數,勞工刊物_雜誌型,勞工刊物_報紙型
83年1994,301563,1518,6,3
84年1995,236929,1194,4,2
85年1996,177132,1634,3,2
86年1997,138148,1652,3,1
87年1998,227430,1897,1,1
88年1999,248136,1451,2,3
89年2000,252653,1635,2,2
90年2001,193623,2028,3,4
91年2002,162694,1755,3,4
92年2003,157374,1958,8,2
93年2004,145124,3197,5,0
94年2005,132785,3369,6,0
95年2006,142436,4371,4,0
96年2007,137329,4389,3,0
97年2008,157412,4577,3,0
98年2009,148288,4655,3,0
99年2010,184326,5515,10,5
100年2011,173814,5425,2,23
101年2012,165280,4855,2,5
102年2013,174620,4937,8,10
103年2014,170718,3536,10,9
104年2015,148332,2880,2,26
105年2016,152854,2859,1,1
