年底別,應提繳單位,已繳納單位,已繳率,累計已繳納金額,累計已墊付金額,基金運用餘額
77年底Endof1988,107395,97330,90.63,...,...,...
78年底Endof1989,122653,109596,89.35,...,...,...
79年底Endof1990,131459,117670,89.51,772952,26522,783000
80年底Endof1991,141848,130299,91.86,1028767,30676,1103000
81年底Endof1992,156101,141554,90.68,1332073,31273,1490000
82年底Endof1993,166465,151733,91.15,1682788,31717,1953000
83年底Endof1994,175921,159479,90.65,2065187,35285,2482000
84年底Endof1995,171158,150364,87.85,2451970,49492,3004000
85年底Endof1996,165728,150036,90.53,2740723,135891,3496000
86年底Endof1997,167869,154378,91.96,2954861,260720,3797000
87年底Endof1998,255144,238524,93.49,3241292,295251,4277000
88年底Endof1999,357278,332461,93.05,3604279,408874,4752000
89年底Endof2000,362702,334880,92.33,3993355,622161,5158000
90年底Endof2001,360800,327992,90.91,4385679,909316,5472324
91年底Endof2002,363578,333678,91.78,4776619,1371153,5512121
92年底Endof2003,377116,350357,92.9,5182478,1703734,5645739
93年底Endof2004,390896,360640,92.26,5609767,1835846,5998095
94年底Endof2005,415701,387234,93.15,6057679,2050911,6314350
95年底Endof2006,425116,391830,92.17,6527151,2341426,6598227
96年底Endof2007,427907,412684,96.44,7012281,2644745,6940754
97年底Endof2008,428396,402015,93.84,7514541,2925183,7255850
98年底Endof2009,436453,405744,92.96,8003347,3466192,7118169
99年底Endof2010,449385,423152,94.16,8520463,3582424,7594712
100年底Endof2011,461860,438106,94.86,9067094,3648658,8222220
101年底Endof2012,466875,440611,94.37,9638970,3839912,8908044
102年底Endof2013,474917,450366,94.83,10228177,3989468,9605694
103年底Endof2014,485466,458987,94.55,10840098,4060815,10383734
104年底Endof2015,495735,467222,94.25,11478728,4134129,11042579
105年底Endof2016,503818,474867,94.25,12115151,4294014,11715031
