,羆璸_虫计,羆璸_计,笰狶寒穨_虫计,笰狶寒穨_计,膓穨のホ蹦穨_虫计,膓穨のホ蹦穨_计,籹硑穨_虫计,籹硑穨_计,筿縐穨_虫计,筿縐穨_计
81┏,166465,3219584,2016,24116,780,12318,116030,2460902,210,31236
82┏,175921,3275003,2130,22938,870,12875,120733,2462662,210,30855
83┏,171158,2968708,1949,18930,900,12379,123421,2461940,212,30092
84┏,165728,2887925,1863,17293,816,10186,119195,2251102,213,29792
85┏,167869,3014009,1777,16026,744,9225,114626,2205051,212,28798
86┏,255144,3960905,1746,14703,705,9299,112294,2241544,216,28477
87┏,255144,3960905,1746,14703,716,7092,111722,2160907,234,28080
88┏,357278,4834186,1574,13055,665,6644,105794,2177475,224,27620
89┏,362702,5002565,1530,13093,611,6082,104514,2208483,228,27288
90┏,360800,4791431,1518,11972,563,5181,101582,2024293,234,26039
