,營造業_單位數,營造業_人數,批發零售及餐飲業_單位數,批發零售及餐飲業_人數,運輸、倉儲及通信業_單位數,運輸、倉儲及通信業_人數,金融、保險及不動產業_單位數,金融、保險及不動產業_人數
81年底Endof1992,24374,297628,183,18978,8068,239066,4,167
82年底Endof1993,28903,348451,196,18794,8589,242973,12,211
83年底Endof1994,33383,383310,179,18995,8673,240070,0,0
84年底Endof1995,33238,314882,179,19973,8754,224335,0,0
85年底Endof1996,32550,288470,181,19952,8957,221485,0,0
86年底Endof1997,32895,287694,521,25144,9233,220775,1832,67137
87年底Endof1998,34259,272083,36915,349821,9620,208194,11910,344511
88年底Endof1999,31953,259365,140853,1075277,9596,212158,10872,343712
89年底Endof2000,32222,252476,142840,1129085,9800,223429,10472,346973
90年底Endof2001,31587,239609,142513,1113426,9907,216101,9912,339862
