,工商服務業_單位數,工商服務業_人數,社會服務及個人服務業_單位數,社會服務及個人服務業_人數,公共行政業_單位數,公共行政業_人數
81年底Endof1992,,,4386,74530,,
82年底Endof1993,,,4936,78647,,
83年底Endof1994,416,3233,6606,101878,1,168
84年底Endof1995,370,2354,6443,96989,1,165
85年底Endof1996,329,2050,6265,95439,1,162
86年底Endof1997,303,1884,8092,115896,1,133
87年底Endof1998,22871,211098,22742,317127,2409,47289
88年底Endof1999,22729,231150,30985,433506,2033,54224
89年底Endof2000,24886,276657,33344,461062,2255,57937
90年底Endof2001,25444,284178,35061,465911,2479,64859
