,總計,農、林、漁、牧業,礦業及土石採取業,製造業,水電燃氣業,營造業,批發、零售及餐飲業,運輸、倉儲及通信業,金融、保險及不動產業,工商服務業,社會服務及個人服務業,公共行政業
81年1992,303477,2534,1347,234807,5177,25698,2258,25763,28,,5866,
82年1993,350442,2529,1552,265938,5873,33462,2485,29601,34,,8968,
83年1994,383665,2582,1646,286779,5867,40711,2533,31293,0,354,11868,33
84年1995,390514,2429,1532,291769,6008,40552,3000,32059,0,311,12823,33
85年1996,288681,1709,1048,216652,4524,27879,2143,24632,0,198,9870,26
86年1997,212456,1109,737,157000,3139,19094,1625,17520,4256,127,7833,16
87年1998,287385,1085,641,163130,3274,19630,22542,18124,26186,12350,18052,2371
88年1999,364426,1039,565,162298,3394,18502,71699,18555,32485,16904,33544,5441
89年2000,388118,1040,544,171655,3393,18065,76914,19557,34254,20358,36076,6262
90年2001,395179,1003,480,168814,3367,17856,80063,20575,34779,23058,38140,7045
