地區別,總計,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,污染整治業,營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,傳播及資通訊服務業,金融及保險業,不動產業,及技術服務業,支援服務業,強制性社會安全,教育業,社會工作服務業,休閒服務業,其他服務業
總計,665379,1326,327,243458,2642,3092,25631,136180,24475,23373,25144,39659,9042,31299,23227,9286,13773,37167,3426,12850
新北市,90504,79,2,35644,320,244,3919,23166,3765,2133,2983,1708,1208,3218,3431,888,1868,4100,393,1436
臺北市,196691,109,13,22418,527,727,6690,54045,7934,10189,16649,30131,3896,15919,9346,2193,2973,7915,1050,3967
桃園市,67840,59,18,37426,151,343,1865,9979,4519,1420,360,796,593,2328,2021,406,1339,3246,271,701
臺中市,74106,114,23,32226,289,320,2863,14665,1484,2756,1286,2904,999,2427,2584,1070,1852,4405,381,1459
臺南市,41931,151,3,22972,184,128,1215,6876,528,1003,457,751,381,763,996,570,982,2900,177,894
高雄市,62472,230,27,24436,347,528,4501,11143,2896,2249,1191,1642,704,1453,2333,1132,1495,4492,334,1340
宜蘭縣,5355,112,23,1760,8,42,315,727,170,367,63,85,46,105,138,193,170,722,65,245
新竹縣,24760,13,11,15867,17,31,551,2551,576,295,449,74,492,2099,316,176,315,552,140,237
苗栗縣,9608,20,125,5396,113,38,447,817,141,182,77,82,77,548,278,212,227,557,56,214
彰化縣,22972,50,3,13690,105,113,540,3428,258,325,167,319,123,300,362,330,479,1898,46,435
南投縣,5318,46,13,2166,82,51,172,665,62,349,78,85,41,91,71,212,196,636,56,246
雲林縣,9057,44,3,5046,102,47,412,894,192,131,199,83,71,121,98,280,249,755,51,280
嘉義縣,5775,45,2,2847,13,21,219,719,27,99,232,24,9,50,165,210,199,657,13,224
屏東縣,6821,112,9,1974,96,76,322,1188,141,363,104,118,62,95,110,325,311,999,116,298
臺東縣,1708,28,15,42,1,36,79,273,60,219,33,31,17,41,45,150,87,362,23,166
花蓮縣,3980,25,33,571,32,42,265,647,110,359,71,103,44,86,97,201,134,834,101,226
澎湖縣,628,24,0,30,24,11,27,72,46,65,9,26,2,4,23,116,28,73,8,40
基隆市,3901,7,0,692,82,51,236,463,944,110,82,103,37,72,81,170,139,491,32,109
新竹市,27000,30,5,17515,75,169,754,2833,389,474,530,425,177,1470,529,151,508,673,76,215
嘉義市,3938,27,0,528,47,54,182,945,133,249,107,152,46,83,147,99,185,833,30,92
金門縣,891,2,0,198,22,14,49,78,75,37,14,15,17,26,50,171,33,60,7,22
連江縣,121,1,0,14,6,5,10,6,25,1,2,0,0,2,5,31,4,6,0,4
