,總計_單位,總計_人數,總計_金額,工資_人數,工資_金額,退休金_人數,退休金_金額,資遣費_人數,資遣費_金額
77年1988,2,254,5905,254,5905,0,0,0,0
78年1989,3,333,6181,333,6181,0,0,0,0
79年1990,3,897,13050,897,13050,0,0,0,0
80年1991,3,205,4136,205,4136,0,0,0,0
81年1992,1,59,598,59,598,0,0,0,0
82年1993,1,36,444,36,444,0,0,0,0
83年1994,2,328,3561,328,3561,0,0,0,0
84年1995,7,503,14207,503,14207,0,0,0,0
85年1996,4,1521,86399,1521,86399,0,0,0,0
86年1997,17,1461,124828,1461,124828,0,0,0,0
87年1998,16,1179,34531,1179,34531,0,0,0,0
88年1999,22,1826,113624,1826,113624,0,0,0,0
89年2000,43,3010,213287,3010,213287,0,0,0,0
90年2001,54,3327,287155,3327,287155,0,0,0,0
91年2002,112,6340,461837,6340,461837,0,0,0,0
92年2003,87,5260,332581,5260,332581,0,0,0,0
93年2004,53,1803,132112,1803,132112,0,0,0,0
94年2005,49,2695,215065,2695,215065,0,0,0,0
95年2006,82,3523,290515,3523,290515,0,0,0,0
96年2007,132,3652,303319,3652,303319,0,0,0,0
97年2008,145,5077,280438,5077,280438,0,0,0,0
98年2009,202,5735,541009,5735,541009,0,0,0,0
99年2010,123,1682,116232,1682,116232,0,0,0,0
100年2011,92,1020,66235,1020,66235,0,0,0,0
101年2012,108,1824,191253,1824,191253,0,0,0,0
102年2013,95,1936,149556,1936,149556,0,0,0,0
103年2014,108,1141,71355,1141,71355,0,0,0,0
104年2015,89,1040,73306,1038,64900,0,0,272,8406
105年2016,114,1591,159885,837,62011,3,589,1230,97285
