,101年,,102年,,103年,,104年,,105年,,自91年3月起累計數,,,,
總計,325,233,280,127,370,190,405,189,440,240,3281,"1,956",,,
性別歧視_總計,207,147,145,65,194,99,187,79,218,119,1804,"1,094",,,
性別歧視_按歧視態樣分_性別,207,147,145,65,194,99,185,79,216,115,1800,"1,090",,,
性別歧視_按歧視態樣分_性傾向,......,......,......,......,......,......,0,0,1,1,1,1,,,
性別歧視_按歧視態樣分_性別認同,......,......,......,......,......,......,2,0,1,3,3,3,,,
性別歧視_按歧視類別分_招募、甄試、進用,14,15,22,4,15,21,22,17,29,21,202,151,,,
性別歧視_按歧視類別分_分發、配置,6,7,6,5,10,4,9,3,9,5,57,35,,,
性別歧視_按歧視類別分_考績,3,3,0,0,2,2,2,0,3,2,17,11,,,
性別歧視_按歧視類別分_陞遷,1,0,1,0,0,0,0,0,1,1,5,3,,,
性別歧視_按歧視類別分_雇主提供之教育、訓練或其他類似活動,0,0,0,0,0,0,2,1,0,1,3,3,,,
性別歧視_按歧視類別分_雇主提供之各項福利措施,5,3,2,0,5,2,3,2,12,1,40,18,,,
性別歧視_按歧視類別分_薪資之給付,10,8,3,0,2,1,2,0,10,5,61,41,,,
性別歧視_按歧視類別分_退休,0,0,0,0,0,0,0,0,0,0,3,0,,,
性別歧視_按歧視類別分_資遣,49,37,25,18,41,21,29,14,46,28,387,254,,,
性別歧視_按歧視類別分_離職及解僱,62,41,63,23,78,36,59,26,78,42,692,446,,,
性別歧視_按歧視類別分_規定或事先約定因結婚、懷孕、分娩或育兒時，應行離職或留職停薪,61,38,27,16,52,16,68,21,50,22,456,215,,,
性騷擾防治_總計,95,72,103,53,127,69,156,86,146,84,1153,733,,,
性騷擾防治_雇主於知悉職場性騷擾之情形時，未採取立即有效之糾正補救措施,91,70,103,52,125,68,153,84,142,81,1092,690,,,
性騷擾防治_雇主於知悉職場性騷擾之情形時，未採取立即有效之糾正補救措施_敵意式性騷擾,86,67,96,47,120,65,146,81,135,75,955,575,,,
性騷擾防治_雇主於知悉職場性騷擾之情形時，未採取立即有效之糾正補救措施_交換式性騷擾,5,3,10,7,6,3,11,6,10,8,159,131,,,
性騷擾防治_雇主未訂定性騷擾防治措施、申訴及懲戒辦法，或未在工作場所公開揭示,9,5,9,6,16,7,14,18,17,14,140,102,,,
工作平等措施_總計,58,37,47,18,68,29,90,39,119,54,646,339,,,
工作平等措施_生理假,6,5,7,4,12,6,8,3,14,5,59,30,,,
工作平等措施_產假,15,6,10,3,11,3,19,7,16,7,244,151,,,
工作平等措施_產檢假,0,0,0,0,0,0,3,0,1,1,4,1,,,
工作平等措施_安胎休養請假,7,4,8,1,8,3,14,5,20,13,60,28,,,
工作平等措施_陪產假,2,0,3,1,2,0,3,1,10,3,28,8,,,
工作平等措施_育嬰留職停薪,19,16,14,4,21,12,37,18,45,22,175,86,,,
工作平等措施_育嬰留職復職,11,6,10,6,14,4,12,7,14,5,89,39,,,
工作平等措施_哺乳時間,0,0,0,0,0,0,0,0,3,1,8,2,,,
工作平等措施_育兒減少工時或調整工時,0,0,0,0,0,0,1,0,1,0,5,0,,,
工作平等措施_家庭照顧假,2,1,0,0,3,1,2,1,2,1,10,4,,,
工作平等措施_托兒設施或措施,0,0,0,0,0,0,0,0,2,0,2,0,,,
