,受理件數_自91年3月起累計數_總計,受理件數_自91年3月起累計數_性別歧視,受理件數_自91年3月起累計數_性騷擾防治,受理件數_自91年3月起累計數_工作平等措施,當期數_總計,當期數_性別歧視,受理件數_當期數_性騷擾防治,受理件數_當期數_工作平等措施,評議件數_自91年3月起累計數_總計,評議件數_自91年3月起累計數_性別歧視,評議件數_自91年3月起累計數_性騷擾防治,評議件數_自91年3月起累計數_工作平等措施,評議件數_當期數_總計,評議件數_當期數_性別歧視,評議件數_當期數_性騷擾防治,評議件數_當期數_工作平等措施
總計Grandtotal,3281,1804,1153,646,440,218,146,119,1956,1094,733,339,240,119,84,54
新北市NewTaipeiCity,841,505,300,155,73,44,20,16,799,484,283,147,70,42,18,15
臺北市TaipeiCity,764,470,246,144,74,32,30,16,375,214,150,58,36,13,17,8
桃園市TaoyuanCity,493,288,127,127,90,53,20,38,224,112,85,45,38,17,15,10
臺中市TaichungCity,220,116,68,50,43,17,10,19,154,82,52,27,29,15,7,8
臺南市TainanCity,260,110,103,51,67,28,28,14,71,35,22,14,20,12,6,4
高雄市KaohsiungCity,286,120,146,28,44,20,18,6,126,65,61,6,14,7,7,0
宜蘭縣YilanCounty,4,1,2,2,0,0,0,0,3,1,1,2,1,0,0,1
新竹縣HsinchuCounty,62,23,30,12,3,1,2,0,14,7,5,4,0,0,0,0
苗栗縣MiaoliCounty,20,11,6,4,2,2,0,1,15,10,2,4,3,3,0,1
彰化縣ChanghwaCounty,57,27,18,14,5,2,2,2,37,22,11,6,7,2,3,3
南投縣NantouCounty,27,10,14,5,9,1,7,1,17,5,11,3,5,1,4,0
雲林縣YunlinCounty,20,10,6,7,4,3,1,2,11,5,5,2,3,2,1,1
嘉義縣ChiayiCounty,15,8,4,4,0,0,0,0,10,6,3,2,0,0,0,0
屏東縣PingtungCounty,88,51,33,12,10,5,4,2,25,14,11,2,4,2,2,0
臺東縣TaitungCounty,6,3,5,0,0,0,0,0,6,3,5,0,0,0,0,0
花蓮縣HwalienCounty,15,6,6,3,1,0,0,1,5,2,1,2,1,0,0,1
澎湖縣PenghuCounty,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
基隆市KeelungCity,19,6,12,3,7,3,3,1,13,3,9,2,5,2,2,1
新竹市HsinchuCity,33,19,9,7,5,5,0,0,22,11,5,7,2,1,1,0
嘉義市ChiayiCity,5,3,2,1,0,0,0,0,2,2,0,0,0,0,0,0
金門縣KinmenCounty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
連江縣LienchiangCounty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加工出口區ExportProcessingZones,7,4,2,2,0,0,0,0,6,4,2,1,0,0,0,0
科學工業園區ScienceParks,38,13,13,15,3,2,1,0,21,7,9,5,2,0,1,1
