Yearandmonth,羆璸_Ωン计_璸,羆璸_Ωン计_╧,羆璸_Ωン计_,羆璸_ン计_璸,羆璸_ン计_╧,羆璸_ン计_,羆璸_肂,碞穨玂繧_Ωン计_璸,碞穨玂繧_Ωン计_╧,碞穨玂繧_Ωン计_,碞穨玂繧_ン计_璸,碞穨玂繧_ン计_╧,碞穨玂繧_ン计_,碞穨玂繧_肂,そ毙玂繧_Ωン计_璸,そ毙玂繧_Ωン计_╧,そ毙玂繧_Ωン计_,そ毙玂繧_ン计_璸,そ毙玂繧_ン计_╧,そ毙玂繧_ン计_,そ毙玂繧_肂,瓁玂繧_Ωン计_璸,瓁玂繧_Ωン计_╧,瓁玂繧_Ωン计_,瓁玂繧_ン计_璸,瓁玂繧_ン计_╧,瓁玂繧_ン计_,瓁玂繧_肂
982009,29182,4973,24209,121299,20002,101297,1905335,26472,4808,21664,109861,19364,90497,1720272,2710,165,2545,11438,638,10800,185063,,,,,,,
992010,37929,6803,31126,211814,38463,173351,3466109,34218,6500,27718,190281,36790,153491,3128374,3619,287,3332,21160,1613,19547,332772,92,16,76,373,60,313,4964
1002011,44387,7285,37102,231778,38529,193249,3915603,40498,6928,33570,209532,36441,173091,3570769,3739,332,3407,21331,1926,19405,333578,150,25,125,915,162,753,11256
1012012,60713,9407,51306,313705,48977,264728,5334331,56165,8947,47218,288364,46507,241857,4937642,4287,394,3893,23852,2122,21730,378080,261,66,195,1489,348,1141,18610
1022013,67568,10848,56720,366804,58353,308451,6334418,62595,10308,52287,338466,55342,283124,5898433,4582,415,4167,26064,2321,23743,407659,391,125,266,2274,690,1584,28325
1032014,73899,11620,62279,387924,61581,326343,6865367,68301,11013,57288,356731,58125,298606,6388104,5175,475,4700,28606,2609,25997,444792,423,132,291,2587,847,1740,32471
1042015,92342,14943,77399,497729,79808,417921,8974116,85872,14258,71614,461900,76061,385839,8435577,5929,520,5409,32531,2798,29733,497877,541,165,376,3298,949,2349,40662
1052016,92268,15636,76632,499168,84252,414916,9167379,85655,14909,70746,461808,80271,381537,8607505,6036,550,5486,33984,2990,30994,520070,577,177,400,3376,991,2385,39804
1るJan.,6718,1058,5660,37512,6009,31503,672784,6236,1014,5222,34151,5703,28448,621073,447,38,409,3081,237,2844,48187,35,6,29,280,69,211,3524
2るFeb.,5311,750,4561,33175,5392,27783,594818,4731,691,4040,30465,5121,25344,554114,535,41,494,2420,178,2242,37196,45,18,27,290,93,197,3508
3るMar.,11042,1911,9131,44156,6792,37364,801860,10260,1832,8428,40968,6488,34480,754055,750,68,682,2929,226,2703,44579,32,11,21,259,78,181,3227
4るApr.,8422,1590,6832,40689,6875,33814,743626,7971,1536,6435,37659,6582,31077,697163,406,36,370,2783,209,2574,43508,45,18,27,247,84,163,2956
5るMay,7958,1399,6559,42985,7238,35747,790487,7532,1364,6168,39826,6938,32888,742367,413,32,381,2958,234,2724,45661,13,3,10,201,66,135,2458
6るJune,7792,1355,6437,44348,7608,36740,818774,7383,1294,6089,41222,7270,33952,772861,353,42,311,2819,242,2577,42419,56,19,37,307,96,211,3494
7るJuly,7782,1369,6413,43066,7615,35451,801073,7434,1320,6114,40471,7322,33149,764667,314,42,272,2335,216,2119,33432,34,7,27,260,77,183,2975
8るAug.,8678,1411,7267,45059,7974,37085,838589,7849,1317,6532,42442,7664,34778,800688,793,88,705,2396,258,2138,35381,36,6,30,221,52,169,2520
9るSept.,7078,1212,5866,40593,7191,33402,747561,6268,1116,5152,37216,6807,30409,698680,733,71,662,3093,308,2785,45642,77,25,52,284,76,208,3240
10るOct.,7847,1395,6452,44210,7514,36696,821884,7371,1338,6033,40929,7112,33817,771987,407,39,368,2964,314,2650,46241,69,18,51,317,88,229,3657
11るNov.,6937,1176,5761,40889,7129,33760,756345,6461,1133,5328,37517,6754,30763,704025,417,25,392,3049,289,2760,48599,59,18,41,323,86,237,3721
12るDec.,6703,1010,5693,42486,6915,35571,779577,6159,954,5205,38942,6510,32432,725824,468,28,440,3157,279,2878,49226,76,28,48,387,126,261,4526
