,Ωン计_璸,Ωン计_╧,Ωン计_,ン计_璸,ン计_╧,ン计_,キА叫烩る计
1009-12る_羆璸,14676,2365,12311,81668,13650,68018,5.56
1009-12る_1_29,6598,1457,5141,36516,8500,28016,5.53
1009-12る_30_99,1717,219,1498,9343,1284,8059,5.44
1009-12る_100_199,874,100,774,4437,539,3898,5.08
1009-12る_200,5487,589,4898,31372,3327,28045,5.72
101_羆璸,56165,8947,47218,288364,46507,241857,5.13
101_1_29,23802,5373,18429,127044,29229,97815,5.34
101_30_99,6995,910,6085,33961,4367,29594,4.86
101_100_199,3313,364,2949,16140,1666,14474,4.87
101_200,22055,2300,19755,111219,11245,99974,5.04
102_羆璸,62595,10308,52287,338466,55342,283124,5.41
102_1_29,25313,5893,19420,142544,33367,109177,5.63
102_30_99,7907,1031,6876,41225,5359,35866,5.21
102_100_199,3924,438,3486,19651,2048,17603,5.01
102_200,25451,2946,22505,135046,14568,120478,5.31
103_羆璸,68301,11013,57288,356731,58125,298606,5.22
103_1_29,26184,5904,20280,141837,32423,109414,5.42
103_30_99,8796,1145,7651,44443,5941,38502,5.05
103_100_199,4690,501,4189,22862,2440,20422,4.87
103_200,28631,3463,25168,147589,17321,130268,5.15
104_羆璸,85872,14258,71614,461900,76061,385839,5.38
104_1_29,34647,7752,26895,189485,42688,146797,5.47
104_30_99,11662,1585,10077,60397,8248,52149,5.18
104_100_199,5715,616,5099,29653,3093,26560,5.19
104_200,33848,4305,29543,182365,22032,160333,5.39
105_羆璸,85655,14909,70746,461808,80271,381537,5.39
105_1_29,34729,8163,26566,192974,45625,147349,5.56
105_30_99,11737,1649,10088,60849,8558,52291,5.18
105_100_199,5885,746,5139,30021,3653,26368,5.1
105_200,33304,4351,28953,177964,22435,155529,5.34
