年,月底別,事業單位家數,較上期增減數,通報人數,較上期增減數,實際實施人數,較上期增減數
100年,底,109,,13034,,12487,
101年,底,62,,4450,,4289,
102年,底,42,,2513,,1501,
103年,底,16,,940,,940,
104年,底,57,,4761,,4756,
105年,底,21,,529,,529,
1月,中,37,20,1180,3581,1180,3576
2月,底,42,5,1346,166,1346,166
2月,底,45,3,1045,301,1045,301
3月,中,27,18,642,403,642,403
4月,底,25,2,703,61,703,61
4月,中,21,4,577,126,577,126
5月,底,25,4,598,21,598,21
5月,中,24,1,710,112,710,112
6月,底,30,6,837,127,837,127
6月,中,24,6,503,334,503,334
7月,底,26,2,658,155,658,155
7月,中,21,5,402,256,402,256
8月,底,23,2,524,122,524,122
8月,中,25,2,536,12,536,12
9月,底,26,1,544,8,544,8
9月,中,26,0,662,118,662,118
10月,底,24,2,542,120,542,120
10月,中,22,2,351,191,351,191
11月,底,24,2,350,1,350,1
11月,中,26,2,573,223,573,223
12月,底,28,2,861,288,861,288
12月,中,24,4,556,305,556,305
13月,底,21,3,529,27,529,27
