,в钉计,в计,в计_╧,в计_,狝叭羆计,狝叭羆Ω,毙▅癡絤羆计,毙▅癡絤羆Ω
841995,68,4364,...,...,0,...,...,...
851996,72,5393,...,...,0,...,...,...
861997,76,6229,...,...,0,...,...,...
871998,84,6416,...,...,0,...,...,...
881999,81,5657,...,...,0,...,...,...
892000,79,9743,...,...,0,...,...,...
902001,52,5237,...,...,0,...,...,...
912002,123,5027,...,...,104683,64536,22797,...
922003,50,4589,...,...,97101,51726,15563,...
932004,99,9297,...,...,918472,124934,13008,...
942005,47,3425,...,...,143824,116081,30483,...
952006,44,2891,...,...,106130,120181,25292,...
962007,48,2757,...,...,127764,102848,28066,...
972008,47,2663,...,...,286887,112241,24034,...
982009,48,2307,...,...,149563,241791,22610,...
992010,93,3542,...,...,334586,3137267,34214,...
1002011,76,3322,1049,2273,343967,3383911,44987,6350
1012012,85,3488,1029,2459,442214,4881817,41481,7183
1022013,86,3543,1027,2516,374385,4310515,39536,6906
1032014,84,3564,1053,2511,368905,4018963,50742,6150
1042015,84,4212,1471,2741,538298,3590106,44052,7555
1052016,89,4323,1491,2832,376785,4595859,41006,7125
