年別,志工隊數,志工人數,志工人數_男,志工人數_女,服務總時數,服務總人次,教育訓練總時數,教育訓練總人次
總計,89,4323,1491,2832,376785,4595859,41006,7125
本部,37,837,140,697,186973,3310412,7623,1614
新北市,7,329,103,226,24953,90777,4525,386
臺北市,4,135,27,108,21460,48639,441,132
桃園市,1,50,15,35,8448,5751,796,194
臺中市,11,805,408,397,12732,70187,11262,1552
臺南市,3,388,163,225,17298,24930,2612,311
高雄市,8,483,148,335,45267,438491,3399,1025
宜蘭縣,1,114,64,50,2445,240,24,160
新竹縣,1,119,60,59,1140,90,16,210
苗栗縣,1,60,17,43,3828,957,0,0
彰化縣,1,160,70,90,8150,526731,24,187
南投縣,2,106,33,73,3473,1339,2856,238
雲林縣,1,20,7,13,1489,7127,300,25
嘉義縣,1,85,30,55,5306,31620,456,99
屏東縣,1,20,2,18,2718,14352,132,12
臺東縣,1,57,30,27,210,105,0,0
花蓮縣,1,126,34,92,785,1690,1368,213
澎湖縣,1,15,1,14,660,5000,108,18
基隆市,1,31,8,23,1453,2809,378,57
新竹市,1,70,40,30,3700,1740,58,154
嘉義市,3,210,59,151,13302,9207,1086,133
金門縣,0,0,0,0,0,0,0,0
連江縣,0,0,0,0,0,0,0,0
加工出口區,1,103,32,71,10995,3665,3542,405
科學工業園區,0,0,0,0,0,0,0,0
