年別,已設立單位數(年底)_總計,已設立單位數(年底)_事業單位,已設立單位數(年底)_工會,新設立_單位數_計,新設立_單位數_事業單位,新設立_單位數_工會,職工福利金提撥金額,福利金受益人數
83年1994,8949,8856,93,3312,3312,0,8083856,921520
84年1995,9310,9213,97,401,397,4,1302762,126378
85年1996,9676,9578,98,403,402,1,1380618,114685
86年1997,10129,10031,98,492,492,0,1343768,148288
87年1998,10686,10587,99,633,633,0,2000960,224861
88年1999,11121,11023,98,524,524,0,1552666,206705
89年2000,11612,11511,101,627,624,3,5252641,214354
90年2001,11984,11879,105,456,451,5,2237445,139919
91年2002,12266,12153,113,438,430,8,1392518,106286
92年2003,12781,12668,113,612,612,0,1060721,100426
93年2004,13156,13046,110,493,493,0,1850409,139148
94年2005,13533,13412,121,544,532,12,2966692,129780
95年2006,13492,13375,117,511,511,0,1470154,120050
96年2007,13725,13607,118,389,388,1,960706,121943
97年2008,13882,13764,118,362,362,0,1427086,102101
98年2009,13890,13772,118,216,216,0,954553,64695
99年2010,14115,13996,119,324,323,1,3869749,98236
100年2011,14245,14128,117,283,283,0,1629025,74244
101年2012,14378,14261,117,195,195,0,1460115,75057
102年2013,14512,14395,117,177,177,0,496937,50997
103年2014,14699,14582,117,248,248,0,503478,47524
104年2015,13904,13791,113,282,282,0,3543108,94416
105年2016,14173,14061,112,494,494,0,1586210,112920
