年別,已設立單位數(年底)_總計,已設立單位數(年底)_事業單位,已設立單位數(年底)_工會,新設立_單位數_計,新設立_單位數_事業單位,新設立_單位數_工會,職工福利金提撥金額,福利金受益人數
總計Total,14173,14061,112,494,494,0,1586210321,112920
本部MinistryofLabor,13,13,0,0,0,0,0,0
新北市NewTaipeiCity,1480,1476,4,36,36,0,342092987,5910
臺北市TaipeiCity,3788,3781,7,162,162,0,852876177,52220
桃園市TaoyuanCity,1844,1844,0,114,114,0,148758969,17194
臺中市TaichungCity,1661,1642,19,43,43,0,43853656,6402
臺南市TainanCity,1513,1492,21,25,25,0,12294525,3377
高雄市KaohsiungCity,1010,993,17,37,37,0,83853497,8795
宜蘭縣YilanCounty,77,73,4,3,3,0,941000,374
新竹縣HsinchuCounty,360,348,12,23,23,0,14098200,9159
苗栗縣MiaoliCounty,180,179,1,4,4,0,2060152,745
彰化縣ChanghwaCounty,722,711,11,14,14,0,9608295,2326
南投縣NantouCounty,108,107,1,0,0,0,0,0
雲林縣YunlinCounty,176,176,0,5,5,0,2458000,897
嘉義縣ChiayiCounty,212,212,0,5,5,0,1819743,594
屏東縣PingtungCounty,139,139,0,6,6,0,16555000,1643
臺東縣TaitungCounty,12,12,0,0,0,0,0,0
花蓮縣HwalienCounty,25,25,0,0,0,0,0,0
澎湖縣PenghuCounty,3,3,0,0,0,0,0,0
基隆市KeelungCity,66,51,15,0,0,0,0,0
新竹市HsinchuCity,127,127,0,5,5,0,42601100,953
嘉義市ChiayiCity,20,20,0,0,0,0,0,0
金門縣KinmenCounty,9,9,0,2,2,0,974020,259
連江縣LienchiangCounty,3,3,0,0,0,0,0,0
加工出口區ExportProcessingZones,142,142,0,1,1,0,200000,200
科學工業園區ScienceParks,483,483,0,9,9,0,11165000,1872
