年底別,提存戶數,提存戶數_家數提存率,有餘額戶數,提存廠商開戶時員工人數,提存金額,撥發金額,累計提存金額(含孳息、收益)ˉ,累計撥發金額,基金運用餘額
77年底Endof1988,18378,17.11,0,1475696,0,0,35198598,6605535,25782300
78年底Endof1989,20211,16.48,17848,1533612,13093798,6668,49897170,13331697,31904700
79年底Endof1990,21044,16.01,18860,1551689,13778352,9393395,67018267,23044498,40083750
80年底Endof1991,21452,15.12,19347,1556529,16832339,11422735,87893396,34639313,53384537
81年底Endof1992,21778,13.95,19669,1569591,17395510,10216421,109745716,45091630,60593457
82年底Endof1993,22634,13.6,20363,1590995,19244511,12557432,134347952,58086009,70229890
83年底Endof1994,23620,13.43,21213,1612005,22302657,15384357,162444064,73885263,83254131
84年底Endof1995,24218,14.15,21855,1627586,24610032,15150411,193263294,97080217,89379301
85年底Endof1996,25176,15.19,22798,1661032,26169966,17739614,225941581,115315964,105061587
86年底Endof1997,28750,17.13,25140,1811255,29951499,20219829,262762690,135535793,121604570
87年底Endof1998,36655,14.37,32911,2277958,43236474,24699540,313982582,160235332,142413528
88年底Endof1999,42203,11.81,38709,2555277,53693743,27268581,376792705,187503913,177276158
89年底Endof2000,45930,12.66,42651,2735359,51322772,25740158,428115477,213244071,236842642
90年底Endof2001,48508,13.44,45634,2858192,68879287,38779427,496994764,252023498,261387148
91年底Endof2002,50287,13.83,47439,2901789,68817688,36557258,565812452,288580756,293048927
92年底Endof2003,52018,13.79,49183,2952468,66502127,32428355,632314579,317938816,329334224
93年底Endof2004,55277,14.14,52029,3031661,70008161,28425932,702322740,346364749,373847267
94年底Endof2005,99983,24.05,79854,3436762,68356825,42424845,770679565,388789594,391742648
95年底Endof2006,117373,27.61,103537,3581966,65979765,39821047,836659330,428610661,420109000
96年底Endof2007,125344,29.29,113497,3601644,67218568,40285663,903877899,468896324,458988409
97年底Endof2008,125912,29.39,115246,3557042,73859901,43773893,977737800,512670217,471619982
98年底Endof2009,122567,28.08,114156,3480245,70541786,44869634,1048279586,557539851,496826265
99年底Endof2010,125359,53.05,118163,3441108,68309782,31867546,1116589368,589407396,537809111
100年底Endof2011,124684,57.72,117970,3409506,56172476,32504221,1172761844,621911617,562128221
101年底Endof2012,122704,60.09,116257,3381389,56267972,39572456,1229029815,661484074,580045746
102年底Endof2013,124033,68.2,117025,3377162,57048759,51559431,1286078575,713043505,601618839
103年底Endof2014,131049,92.94,121704,3349991,65199302,58721227,1351277876,771764732,631035378
104年底Endof2015,123972,99.86,118896,3253662,83643017,61106780,1434920894,832871512,659473910
105年底Endof2016,112527,99.9,107983,3155910,226522792,75550946,1661443686,908422458,818383740
