,,提存戶數,提存戶數_%,有餘額戶數,有餘額戶數_%,提存廠商開戶時員工人數,提存廠商開戶時員工人數_%,提存餘額(含孳息、收益),提存餘額(含孳息、收益)_%
總計,,112527,100,107983,100,3155910,100,753021227,100
按規模別分,29人以下,95712,85.06,91541,84.77,815184,25.83,101979148,13.54
按規模別分,30~99人,12755,11.34,12425,11.51,646023,20.47,106302743,14.12
按規模別分,100~499人,3375,3,3336,3.09,656770,20.81,154616413,20.53
按規模別分,500人以上,685,0.61,681,0.63,1037933,32.89,390122923,51.81
按規模別分,不明,0,0,0,0,0,0,0,0
按行業別分,農、林、漁、牧業,242,0.22,207,0.19,6348,0.2,1262211,0.17
按行業別分,礦業及土石採取業,111,0.1,108,0.1,1852,0.06,332974,0.04
按行業別分,製造業,43018,38.23,41225,38.18,1464009,46.39,302115154,40.12
按行業別分,電力及燃氣供應業,186,0.17,163,0.15,46999,1.49,65400513,8.69
按行業別分,用水供應及污染整治業,528,0.47,492,0.46,18848,0.6,7364584,0.98
按行業別分,營建工程業,6734,5.98,6339,5.87,91143,2.89,10975530,1.46
按行業別分,批發及零售業,33406,29.69,32085,29.71,531449,16.84,72950105,9.69
按行業別分,運輸及倉儲業,2443,2.17,2372,2.2,108641,3.44,37066555,4.92
按行業別分,住宿及餐飲業,1540,1.37,1453,1.35,81469,2.58,4019390,0.53
按行業別分,出版、影音製作、傳播及資通訊服務業,2155,1.92,2078,1.92,91037,2.88,45809267,6.08
按行業別分,金融及保險業,913,0.81,885,0.82,211537,6.7,106319667,14.12
按行業別分,不動產業,1304,1.16,1235,1.14,27860,0.88,3424752,0.45
按行業別分,專業、科學及技術服務業,4435,3.94,4281,3.96,92748,2.94,27993979,3.72
按行業別分,支援服務業,2259,2.01,2148,1.99,70920,2.25,6623944,0.88
按行業別分,公共行政及國防；強制性社會安全,1525,1.36,1522,1.41,81430,2.58,23879679,3.17
按行業別分,教育業,4292,3.81,4166,3.86,44903,1.42,10525934,1.4
按行業別分,醫療保健及社會工作服務業,5492,4.88,5369,4.97,142723,4.52,22420384,2.98
按行業別分,藝術、娛樂及休閒服務業,384,0.34,363,0.34,16472,0.52,1344187,0.18
按行業別分,其他服務業,1560,1.39,1492,1.38,25522,0.81,3192416,0.42
