,提繳事業單位家數,家數提繳率,提繳人數,提繳人數_人數提繳率,提繳人數_男,提繳人數_女,平均提繳工資,實計提繳金額,實計核發退休金_一次退休金_件數,實計核發退休金_一次退休金_金額,實計核發退休金_月退休金_件數,實計核發退休金_月退休金_件數_首發,實計核發退休金_月退休金_金額,基金運用餘額
94年2005,325190,78.23,3923796,71.35,2009416,1914380,30447,28176187,139,1003,0,0,0,28213610
95年2006,360359,84.77,4291152,76.81,2194179,2096973,30352,98581450,5809,163151,0,0,0,127768299
96年2007,375061,87.65,4506601,79.73,2309930,2196671,30970,105765504,19648,660692,0,0,0,234680505
97年2008,385631,90.02,4573412,81.43,2338659,2234753,31763,113753412,25444,1228783,0,0,0,340315655
98年2009,399116,91.45,4737178,83.42,2418516,2318662,31776,114905436,25232,1598170,0,0,0,472413673
99年2010,418333,93.09,5196134,86.23,2673293,2522841,32322,124728768,27231,2081538,0,0,0,597374432
100年2011,434385,94.05,5482848,87.14,2814680,2668168,33179,138032862,51099,3569867,0,0,0,742798131
101年2012,443008,94.89,5641538,88.09,2893920,2747618,33977,148227924,62605,5489202,9,9,763,884124826
102年2013,453955,95.59,5798851,88.56,2975883,2822968,34736,156211697,70200,8165694,23,14,5363,1078776307
103年2014,468789,96.56,6020787,89.17,3075328,2945459,35386,164009866,74587,10327202,35,12,12316,1310203361
104年2015,481649,97.16,6221337,89.7,3163988,3057349,36127,174583310,98762,13997016,59,24,19572,1521272125
105年2016,492842,97.82,6395674,90.25,3248573,3147101,36825,183079848,107490,17810457,81,24,27223,1698179650
1月Jan.,482686,97.22,6259275,89.65,3187316,3071959,36496,15392211,6838,1333966,5,5,396,1542891888
2月Feb.,483329,97.25,6218008,89.8,3157759,3060249,36659,12797016,3588,813589,61,2,5810,1550759005
3月Mar.,484373,97.36,6251312,90.01,3174729,3076583,36651,16169902,7772,1559189,1,1,7,1543635185
4月Apr.,485169,97.41,6275248,90.08,3186232,3089016,36684,14538535,6501,1293166,2,2,283,1557907344
5月May,486047,97.47,6277691,90.1,3187790,3089901,36693,15733187,8646,1544590,69,3,6343,1582615391
6月June,486961,97.54,6241534,89.76,3179486,3062048,36845,14999716,7550,1368426,0,0,0,1592379163
7月July,488700,97.58,6308065,89.61,3220928,3087137,36667,14999673,8932,1541585,1,1,83,1606002775
8月Aug.,490051,97.68,6328628,90.15,3216236,3112392,36906,15927602,13264,1893582,75,4,6942,1622076705
9月Sept.,491047,97.71,6359960,90.24,3225845,3134115,37102,14538389,10090,1503681,0,0,0,1631258951
10月Oct.,492157,97.75,6396278,90.34,3242956,3153322,37040,16787620,11690,1688652,3,3,99,1651741272
11月Nov.,492917,97.78,6433155,90.37,3261863,3171292,37012,14745185,11832,1662577,78,3,7260,1673529479
12月Dec.,492842,97.82,6395674,90.25,3248573,3147101,37125,16450812,10787,1607454,0,0,0,1698179650
